dataset_id,citation_short,site_code,plot_code,coord_type,NBR_mean,NBR_stdDev,NDMI_mean,NDMI_stdDev,NDVI_mean,NDVI_stdDev,nbr_cv,ndmi_cv,ndvi_cv,snow_fraction,snow_pixel_count,water_fraction,water_pixel_count,wetland_fraction,wetland_pixel_count
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B4,USA.YukonKuskokwimDelta.72B4.42,plot,4419.755951104442,249.42418381020727,1248.5009650439642,330.21522627411537,7205.917220673389,155.8677282970601,5.643392679812543,26.44893640610741,2.163051885329517,0.0,0,0.0,0,0.2777777777777778,5
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB5,USA.YukonKuskokwimDelta.UB5.10,plot,3326.5115128039592,89.89519833491538,516.9780503550678,51.32672206520877,5689.332472562943,91.12734977794668,2.702386508776624,9.928220749402582,1.6017230530543318,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB5,USA.YukonKuskokwimDelta.UB5.12,plot,3375.2207401032706,119.36662674983013,526.9049053356282,63.573384801362,5757.582401032702,87.53524071679672,3.536557634040193,12.065438024507854,1.5203471634395724,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB5,USA.YukonKuskokwimDelta.UB5.8,plot,3320.416648741664,110.96763639246767,524.0630243063024,89.41415761294552,5632.213379221337,84.50784138232508,3.3419792794534082,17.06171843191995,1.5004374957471593,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB6,USA.YukonKuskokwimDelta.UB6.26,plot,4884.018021883719,1134.099086729378,2028.9150396910545,1449.9809692628694,7272.549452907106,481.14278821682194,23.220616337774423,71.46582981038279,6.615875097617817,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB6,USA.YukonKuskokwimDelta.UB6.28,plot,4031.3436492585424,137.56215663755827,1155.404255319149,191.29902332874218,5794.252310337417,134.4218677165638,3.4123153123614047,16.556891014383623,2.3199174029191703,0.0,0,0.0,0,0.7222222222222222,13
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB6,USA.YukonKuskokwimDelta.UB6.30,plot,4014.75241779497,140.6849271403671,1136.4805501826777,190.98744482722574,5718.737373737372,132.13507216450512,3.504199325387934,16.805166159379187,2.3105637403689823,0.0,0,0.0,0,0.6666666666666666,12
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB7,USA.YukonKuskokwimDelta.UB7.44,plot,4496.430901287555,204.1398923857523,1425.2980686695284,197.03981196702355,6636.927682403437,341.193125259707,4.540042911085251,13.824463548944124,5.1408293353009755,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB7,USA.YukonKuskokwimDelta.UB7.46,plot,4676.399699312717,175.54464075681005,1548.2012457044675,172.1035298882623,6934.774699312717,213.29846313323497,3.7538416740256313,11.116353921414861,3.075780719370368,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB7,USA.YukonKuskokwimDelta.UB7.48,plot,4263.698433140158,103.87577819645432,1273.464906632325,126.22175881344397,6378.464691993992,120.02063491801593,2.4362834244811062,9.91167939972819,1.8816539827940304,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B1,USA.YukonKuskokwimDelta.15B1.1,site,4186.476283057313,658.1208086476225,1169.3534937106162,664.2162162278183,6878.399615844075,671.4903163672609,15.720160921752747,56.80200382521746,9.762304516598803,0.0,0,0.0,0,0.3216374269005848,55
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B1,USA.YukonKuskokwimDelta.15B1.3,site,4186.476283057313,658.1208086476225,1169.3534937106162,664.2162162278183,6878.399615844075,671.4903163672609,15.720160921752747,56.80200382521746,9.762304516598803,0.0,0,0.0,0,0.3216374269005848,55
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B1,USA.YukonKuskokwimDelta.15B1.5,site,4186.476283057313,658.1208086476225,1169.3534937106162,664.2162162278183,6878.399615844075,671.4903163672609,15.720160921752747,56.80200382521746,9.762304516598803,0.0,0,0.0,0,0.3216374269005848,55
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B2,USA.YukonKuskokwimDelta.15B2.13,site,5262.276206088996,653.1969056877124,2434.5286416861845,739.4824795084736,8192.129718969556,551.9862109690788,12.412820614240967,30.374770164802783,6.738006231650714,0.0,0,0.0,0,0.3157894736842105,54
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B2,USA.YukonKuskokwimDelta.15B2.15,site,5262.276206088996,653.1969056877124,2434.5286416861845,739.4824795084736,8192.129718969556,551.9862109690788,12.412820614240967,30.374770164802783,6.738006231650714,0.0,0,0.0,0,0.3157894736842105,54
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B2,USA.YukonKuskokwimDelta.15B2.17,site,5262.276206088996,653.1969056877124,2434.5286416861845,739.4824795084736,8192.129718969556,551.9862109690788,12.412820614240967,30.374770164802783,6.738006231650714,0.0,0,0.0,0,0.3157894736842105,54
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B3,USA.YukonKuskokwimDelta.15B3.37,site,2799.322013227636,246.7113028926723,-121.2403020779586,226.85199883404158,6406.0606970308145,254.99907053751878,8.813251984833736,-187.1093975732374,3.9805909215894553,0.0,0,0.0,0,0.9415204678362573,161
