system:index,elevation,plant_biomass_gm2,.geo
109,380.0552978515625,0,"{""type"":""Point"",""coordinates"":[66.88015404307195,68.18240307130968]}"
110,493.2035217285156,0,"{""type"":""Point"",""coordinates"":[66.88575546946994,68.18580357172429]}"
111,300.68914794921875,807,"{""type"":""Point"",""coordinates"":[66.87149814931337,68.17714591684584]}"
112,402.658447265625,0,"{""type"":""Point"",""coordinates"":[66.88230681331166,68.18371011152317]}"
113,430.18353271484375,0,"{""type"":""Point"",""coordinates"":[66.88316316667557,68.18422999163401]}"
114,509.3865966796875,0,"{""type"":""Point"",""coordinates"":[66.88730208304692,68.18674227525494]}"
115,292.26129150390625,939,"{""type"":""Point"",""coordinates"":[66.87052149599343,68.17655256711747]}"
116,384.8533630371094,0,"{""type"":""Point"",""coordinates"":[66.8801905012621,68.18242520813111]}"
117,248.96913146972656,1105,"{""type"":""Point"",""coordinates"":[66.8652588001714,68.17335467524191]}"
118,340.0766296386719,797,"{""type"":""Point"",""coordinates"":[66.87622902002911,68.18001956424266]}"
119,384.8533630371094,0,"{""type"":""Point"",""coordinates"":[66.88035521650932,68.18252521992385]}"
120,220.16183471679688,1304,"{""type"":""Point"",""coordinates"":[66.8616617808094,68.17116832742369]}"
121,344.4026794433594,751,"{""type"":""Point"",""coordinates"":[66.87656085194709,68.1802210950476]}"
122,230.61920166015625,1512,"{""type"":""Point"",""coordinates"":[66.86305483321627,68.17201511412146]}"
123,493.2035217285156,0,"{""type"":""Point"",""coordinates"":[66.8857671122277,68.18581063853476]}"
124,324.1705322265625,797,"{""type"":""Point"",""coordinates"":[66.87429804696377,68.17884674687399]}"
125,267.17431640625,1351,"{""type"":""Point"",""coordinates"":[66.86739580261312,68.17465335837636]}"
126,332.4622497558594,712,"{""type"":""Point"",""coordinates"":[66.87514092957552,68.17935870698146]}"
127,502.18804931640625,0,"{""type"":""Point"",""coordinates"":[66.88631122701214,68.18614089438843]}"
128,259.1297302246094,1223,"{""type"":""Point"",""coordinates"":[66.86654935460152,68.17413898219532]}"
129,206.05897521972656,1703,"{""type"":""Point"",""coordinates"":[66.85945821094244,68.16982870468476]}"
130,328.5098571777344,851,"{""type"":""Point"",""coordinates"":[66.87468720787045,68.17908312344457]}"
131,500.5315856933594,0,"{""type"":""Point"",""coordinates"":[66.88590416516213,68.18589382523395]}"
132,296.4945373535156,919,"{""type"":""Point"",""coordinates"":[66.87104013131005,68.1768676600464]}"
133,296.4945373535156,919,"{""type"":""Point"",""coordinates"":[66.87113130930655,68.17692305348046]}"
134,508.9546813964844,0,"{""type"":""Point"",""coordinates"":[66.88711905888375,68.18663119510636]}"
135,337.218017578125,694,"{""type"":""Point"",""coordinates"":[66.87568028049567,68.17968629015141]}"
136,213.6371612548828,1388,"{""type"":""Point"",""coordinates"":[66.86070437908592,68.17058631417186]}"
137,505.74224853515625,0,"{""type"":""Point"",""coordinates"":[66.88702773330274,68.18657576774423]}"
138,246.6154022216797,1209,"{""type"":""Point"",""coordinates"":[66.86455290964129,68.17292565838677]}"
139,241.79156494140625,1011,"{""type"":""Point"",""coordinates"":[66.8643913469852,68.17282746328415]}"
140,218.9850311279297,1356,"{""type"":""Point"",""coordinates"":[66.86145448221191,68.17104231168517]}"
141,505.74224853515625,0,"{""type"":""Point"",""coordinates"":[66.88708714795341,68.18661182774652]}"
142,500.5315856933594,0,"{""type"":""Point"",""coordinates"":[66.88580403122951,68.18583304724551]}"
143,344.4026794433594,751,"{""type"":""Point"",""coordinates"":[66.87676313547566,68.18034394542971]}"
144,292.26129150390625,939,"{""type"":""Point"",""coordinates"":[66.87073806313995,68.17668414208414]}"
145,316.0317687988281,832,"{""type"":""Point"",""coordinates"":[66.87354107582752,68.17838694558154]}"
146,250.0894012451172,1295,"{""type"":""Point"",""coordinates"":[66.8654865477881,68.17349308862761]}"
147,337.218017578125,694,"{""type"":""Point"",""coordinates"":[66.87560816611878,68.17964249100628]}"
148,290.10272216796875,830,"{""type"":""Point"",""coordinates"":[66.87012138034437,68.17630947288704]}"
149,278.300537109375,963,"{""type"":""Point"",""coordinates"":[66.8688576754348,68.17554165627676]}"
150,259.1297302246094,1223,"{""type"":""Point"",""coordinates"":[66.86648096590208,68.17409742201755]}"
151,380.0552978515625,0,"{""type"":""Point"",""coordinates"":[66.87996888775464,68.18229064722263]}"
152,217.7046356201172,1099,"{""type"":""Point"",""coordinates"":[66.86121650437798,68.17089764417305]}"
153,248.96913146972656,1105,"{""type"":""Point"",""coordinates"":[66.86501043193105,68.1732037274333]}"
154,246.6154022216797,1209,"{""type"":""Point"",""coordinates"":[66.86455636335045,68.17292775748302]}"
155,430.18353271484375,0,"{""type"":""Point"",""coordinates"":[66.88314936689538,68.18422161420293]}"
156,218.9850311279297,1356,"{""type"":""Point"",""coordinates"":[66.861297252654,68.17094673155971]}"
157,384.8533630371094,0,"{""type"":""Point"",""coordinates"":[66.88040538417832,68.18255568052001]}"
158,340.0766296386719,797,"{""type"":""Point"",""coordinates"":[66.87634515977099,68.18009009963447]}"
159,474.5910339355469,0,"{""type"":""Point"",""coordinates"":[66.88523028951666,68.18548479760842]}"
160,502.18804931640625,0,"{""type"":""Point"",""coordinates"":[66.88643341900045,68.1862150584721]}"
161,250.0894012451172,1295,"{""type"":""Point"",""coordinates"":[66.86542795056785,68.17345747641514]}"
162,344.4026794433594,751,"{""type"":""Point"",""coordinates"":[66.87671165473034,68.18031268040632]}"
163,430.18353271484375,0,"{""type"":""Point"",""coordinates"":[66.88314120931791,68.18421666197985]}"
164,309.3923645019531,825,"{""type"":""Point"",""coordinates"":[66.8724870026365,68.17774664136755]}"
165,384.8533630371094,0,"{""type"":""Point"",""coordinates"":[66.88032807155803,68.18250873812542]}"
166,267.17431640625,1351,"{""type"":""Point"",""coordinates"":[66.86761600379577,68.17478716747458]}"
167,250.0894012451172,1295,"{""type"":""Point"",""coordinates"":[66.86547864043547,68.1734882829752]}"
168,480.17535400390625,0,"{""type"":""Point"",""coordinates"":[66.88563934045708,68.18573308455645]}"
169,361.312255859375,629,"{""type"":""Point"",""coordinates"":[66.8782799976029,68.18126511298081]}"
170,343.2360534667969,889,"{""type"":""Point"",""coordinates"":[66.87648770951968,68.18017667396688]}"
171,256.2261962890625,1044,"{""type"":""Point"",""coordinates"":[66.86626317807182,68.1739650699996]}"
172,423.0245666503906,0,"{""type"":""Point"",""coordinates"":[66.88298688297128,68.18412297455816]}"
173,282.208740234375,1002,"{""type"":""Point"",""coordinates"":[66.86921620971724,68.17575950492886]}"
174,256.2261962890625,1044,"{""type"":""Point"",""coordinates"":[66.86616315063499,68.17390428163792]}"
175,480.17535400390625,0,"{""type"":""Point"",""coordinates"":[66.88554244300029,68.18567427002891]}"
176,267.17431640625,1351,"{""type"":""Point"",""coordinates"":[66.86762249397508,68.17479111131739]}"
177,268.8300476074219,1517,"{""type"":""Point"",""coordinates"":[66.86763334296641,68.17479770384605]}"
178,430.18353271484375,0,"{""type"":""Point"",""coordinates"":[66.88331672995398,68.18432321478652]}"
179,500.5315856933594,0,"{""type"":""Point"",""coordinates"":[66.8858682654878,68.18587203536183]}"
180,398.6134033203125,0,"{""type"":""Point"",""coordinates"":[66.8816964948516,68.1833395786703]}"
181,372.20672607421875,432,"{""type"":""Point"",""coordinates"":[66.87917168688314,68.18180658147277]}"
182,364.6490783691406,324,"{""type"":""Point"",""coordinates"":[66.87851229400864,68.18140617533761]}"
183,432.1962890625,0,"{""type"":""Point"",""coordinates"":[66.88371069439894,68.18456237336616]}"
184,373.1739196777344,289,"{""type"":""Point"",""coordinates"":[66.8794439211851,68.1819718867059]}"
185,361.312255859375,629,"{""type"":""Point"",""coordinates"":[66.87813342569613,68.18117610590053]}"
186,344.4026794433594,751,"{""type"":""Point"",""coordinates"":[66.87671946125765,68.18031742143313]}"
187,384.8533630371094,0,"{""type"":""Point"",""coordinates"":[66.88030374336294,68.18249396657353]}"
188,260.2828063964844,1305,"{""type"":""Point"",""coordinates"":[66.86694523663729,68.1743795583104]}"
189,335.5677490234375,665,"{""type"":""Point"",""coordinates"":[66.87589716959012,68.17981801798484]}"
190,217.7046356201172,1099,"{""type"":""Point"",""coordinates"":[66.86098748845362,68.17075842259112]}"
191,224.624267578125,1432,"{""type"":""Point"",""coordinates"":[66.86211920566087,68.17144638779854]}"
192,500.5315856933594,0,"{""type"":""Point"",""coordinates"":[66.88596249182459,68.1859292274145]}"
193,355.1602478027344,732,"{""type"":""Point"",""coordinates"":[66.87755733296073,68.18082626057053]}"
194,248.96913146972656,1105,"{""type"":""Point"",""coordinates"":[66.865153945007,68.17329094895449]}"
195,412.38909912109375,0,"{""type"":""Point"",""coordinates"":[66.88293202149663,68.18408966939663]}"
196,344.4026794433594,751,"{""type"":""Point"",""coordinates"":[66.87673039158392,68.18032405958827]}"
197,281.0725402832031,933,"{""type"":""Point"",""coordinates"":[66.86897588611829,68.17561348269308]}"
198,355.1602478027344,732,"{""type"":""Point"",""coordinates"":[66.87764549968021,68.18087980262413]}"
199,386.730712890625,0,"{""type"":""Point"",""coordinates"":[66.88056787982943,68.18265434329271]}"
200,441.9632568359375,0,"{""type"":""Point"",""coordinates"":[66.8839392066128,68.18470109042059]}"
201,292.26129150390625,939,"{""type"":""Point"",""coordinates"":[66.87087512634616,68.17676741365418]}"
202,282.208740234375,1002,"{""type"":""Point"",""coordinates"":[66.86914296571621,68.17571500161475]}"
203,318.5662841796875,802,"{""type"":""Point"",""coordinates"":[66.87368587484522,68.17847490145398]}"
204,259.1297302246094,1223,"{""type"":""Point"",""coordinates"":[66.8664453116601,68.17407575467348]}"
205,364.6490783691406,324,"{""type"":""Point"",""coordinates"":[66.87840231939316,68.18133939333661]}"
206,286.0195617675781,939,"{""type"":""Point"",""coordinates"":[66.86996307166262,68.17621328918902]}"
207,269.7567138671875,1280,"{""type"":""Point"",""coordinates"":[66.86793526036794,68.17498116602172]}"
208,292.26129150390625,939,"{""type"":""Point"",""coordinates"":[66.87066969558252,68.17664260569543]}"
209,355.1602478027344,732,"{""type"":""Point"",""coordinates"":[66.877622772414,68.18086600079492]}"
210,217.7046356201172,1099,"{""type"":""Point"",""coordinates"":[66.86102312776215,68.17078008829448]}"
211,355.1602478027344,732,"{""type"":""Point"",""coordinates"":[66.8775760137632,68.18083760510864]}"
212,290.4486389160156,939,"{""type"":""Point"",""coordinates"":[66.87043040081566,68.17649722187652]}"
213,441.9632568359375,0,"{""type"":""Point"",""coordinates"":[66.88408263224223,68.18478815512466]}"
214,274.40069580078125,1254,"{""type"":""Point"",""coordinates"":[66.86864481875402,68.17541232032136]}"
215,461.1537170410156,0,"{""type"":""Point"",""coordinates"":[66.88455617973807,68.18507561053498]}"
216,361.312255859375,629,"{""type"":""Point"",""coordinates"":[66.87824257074439,68.18124238526957]}"
217,296.4945373535156,919,"{""type"":""Point"",""coordinates"":[66.87111006900055,68.17691014937039]}"
218,305.3950500488281,721,"{""type"":""Point"",""coordinates"":[66.87233559379567,68.17765466351105]}"
219,316.0317687988281,832,"{""type"":""Point"",""coordinates"":[66.87366335492312,68.17846122213618]}"
220,290.10272216796875,830,"{""type"":""Point"",""coordinates"":[66.87025168186966,68.1763886395424]}"
221,465.9166564941406,0,"{""type"":""Point"",""coordinates"":[66.8849588152443,68.18532001382852]}"
222,316.0317687988281,832,"{""type"":""Point"",""coordinates"":[66.87347865062792,68.17834902613467]}"
223,241.79156494140625,1011,"{""type"":""Point"",""coordinates"":[66.8643312263206,68.17279092268672]}"
224,227.1076202392578,1331,"{""type"":""Point"",""coordinates"":[66.86230756839261,68.17156088780466]}"
225,227.1076202392578,1331,"{""type"":""Point"",""coordinates"":[66.86247060491986,68.17165999168229]}"
226,213.6371612548828,1388,"{""type"":""Point"",""coordinates"":[66.86079339067034,68.17064042660449]}"
227,259.1297302246094,1223,"{""type"":""Point"",""coordinates"":[66.86649922261415,68.17410851673645]}"
228,227.1076202392578,1331,"{""type"":""Point"",""coordinates"":[66.86233595403108,68.17157814245795]}"
229,465.9166564941406,0,"{""type"":""Point"",""coordinates"":[66.8848041251523,68.18522611631383]}"
230,252.95950317382812,1094,"{""type"":""Point"",""coordinates"":[66.86569392460314,68.17361911995486]}"
231,239.83763122558594,1485,"{""type"":""Point"",""coordinates"":[66.86415824238469,68.1726857844163]}"
232,398.6134033203125,0,"{""type"":""Point"",""coordinates"":[66.88172465481048,68.18335667528707]}"
233,224.624267578125,1432,"{""type"":""Point"",""coordinates"":[66.86207148842905,68.17141738172157]}"
234,480.17535400390625,0,"{""type"":""Point"",""coordinates"":[66.88561206380673,68.1857165282933]}"
235,392.03192138671875,0,"{""type"":""Point"",""coordinates"":[66.88066730932516,68.182714713579]}"
236,480.17535400390625,0,"{""type"":""Point"",""coordinates"":[66.88568884350194,68.18576313162782]}"
237,329.8739318847656,657,"{""type"":""Point"",""coordinates"":[66.8750283500667,68.17929032866458]}"
238,412.0228576660156,0,"{""type"":""Point"",""coordinates"":[66.88243987876557,68.18379089552943]}"
239,355.1602478027344,732,"{""type"":""Point"",""coordinates"":[66.87750946291777,68.18079718983518]}"
240,373.1739196777344,289,"{""type"":""Point"",""coordinates"":[66.87936418966014,68.1819234726799]}"
241,311.61651611328125,807,"{""type"":""Point"",""coordinates"":[66.87317538932047,68.17816481153376]}"
242,316.0317687988281,832,"{""type"":""Point"",""coordinates"":[66.87351692032111,68.1783722726234]}"
243,241.79156494140625,1011,"{""type"":""Point"",""coordinates"":[66.864401561614,68.17283367159565]}"
244,423.0245666503906,0,"{""type"":""Point"",""coordinates"":[66.88302474047477,68.18414595692607]}"
245,465.9166564941406,0,"{""type"":""Point"",""coordinates"":[66.88492114920157,68.18529715047154]}"
246,500.5315856933594,0,"{""type"":""Point"",""coordinates"":[66.88597056898298,68.18593412994812]}"
247,319.94873046875,761,"{""type"":""Point"",""coordinates"":[66.8738128449427,68.17855202677201]}"
248,259.1297302246094,1223,"{""type"":""Point"",""coordinates"":[66.86635978574232,68.17402377974862]}"
249,337.218017578125,694,"{""type"":""Point"",""coordinates"":[66.87558246901719,68.17962688365321]}"
250,224.624267578125,1432,"{""type"":""Point"",""coordinates"":[66.86208939712287,68.17142826796577]}"
251,402.658447265625,0,"{""type"":""Point"",""coordinates"":[66.88230008323488,68.18370602567715]}"
252,207.47499084472656,1963,"{""type"":""Point"",""coordinates"":[66.85979731363234,68.17003486847072]}"
253,210.35752868652344,1882,"{""type"":""Point"",""coordinates"":[66.85996220804995,68.1701351175094]}"
254,238.48519897460938,1347,"{""type"":""Point"",""coordinates"":[66.8638539243147,68.17250081952045]}"
255,386.730712890625,0,"{""type"":""Point"",""coordinates"":[66.88058862652784,68.18266694002983]}"
256,343.2360534667969,889,"{""type"":""Point"",""coordinates"":[66.87642694574151,68.18013977056962]}"
257,283.5845947265625,777,"{""type"":""Point"",""coordinates"":[66.86962514832935,68.17600797370959]}"
258,224.624267578125,1432,"{""type"":""Point"",""coordinates"":[66.86181525638865,68.17126162337122]}"
259,373.1739196777344,289,"{""type"":""Point"",""coordinates"":[66.87927399241096,68.18186870343656]}"
260,344.4026794433594,751,"{""type"":""Point"",""coordinates"":[66.8765989395451,68.1802442264422]}"
261,217.7046356201172,1099,"{""type"":""Point"",""coordinates"":[66.8609769382055,68.17075200891792]}"
262,246.6154022216797,1209,"{""type"":""Point"",""coordinates"":[66.86465902987035,68.17299015595901]}"
263,281.0725402832031,933,"{""type"":""Point"",""coordinates"":[66.86907526255476,68.1756738647521]}"
264,311.61651611328125,807,"{""type"":""Point"",""coordinates"":[66.87323207322893,68.17819924416419]}"
265,402.658447265625,0,"{""type"":""Point"",""coordinates"":[66.88203665325702,68.18354609533797]}"
266,500.5315856933594,0,"{""type"":""Point"",""coordinates"":[66.88590617866775,68.18589504736141]}"
267,324.1705322265625,805,"{""type"":""Point"",""coordinates"":[66.87436944878282,68.17889011681535]}"
268,217.7046356201172,1099,"{""type"":""Point"",""coordinates"":[66.86094550167563,68.17073289809765]}"
269,256.2261962890625,1044,"{""type"":""Point"",""coordinates"":[66.8661491554948,68.1738957765245]}"
270,292.26129150390625,939,"{""type"":""Point"",""coordinates"":[66.87052004404197,68.176551684981]}"
271,373.1739196777344,289,"{""type"":""Point"",""coordinates"":[66.87971595264537,68.1821370659444]}"
272,361.312255859375,629,"{""type"":""Point"",""coordinates"":[66.87823772242184,68.18123944108922]}"
273,234.58631896972656,1489,"{""type"":""Point"",""coordinates"":[66.86325498406822,68.17213677256605]}"
274,384.8533630371094,0,"{""type"":""Point"",""coordinates"":[66.8803201656453,68.18250393782932]}"
275,259.1297302246094,1223,"{""type"":""Point"",""coordinates"":[66.86657351302692,68.17415366335669]}"
276,303.3455505371094,779,"{""type"":""Point"",""coordinates"":[66.87170932004871,68.17727420537692]}"
