"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDMI_peakSummer","spectral_NDVI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_green_peakSummer","topo_eastness","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_red_changePSLS","site_code","presence_absence"
2598.9481062099,3139.25515078014,3354.01925593377,1982.32471964535,178.564486473112,5203.46105959478,-6056.14054134331,-6063.49754186526,625.923041621107,-0.00168377710118269,0,1387.13450994873,26.5669491517992,-5585.25340704748,-6.49323662175005,"Canada.CoutureLake.TD7","presence"
279.216858763355,339.27907332595,701.186083256348,316.481799233688,-1718.33629793652,560.92171462197,-1514.4383920442,-1085.99320772496,1540.16097719182,0.219207182526588,0,459.831358669841,-4.41923968512827,-1384.17746433721,-25.7399625672555,"nonveg_578","absence"
1114.60437310622,1136.85610262143,1238.55147750978,305.16455891823,-767.057365735574,1448.54557604202,-3583.828401349,-3720.93092286536,688.184391009326,0.00422522192820907,0,961.564256234125,-1.0837437554836,-3235.15229438155,-1.08936231283524,"nonveg_671","absence"
2602.82539738625,2846.30602854285,3661.38993666397,2196.57899188215,2030.81691341087,5809.68867575911,-6932.0726518813,-6123.18510792087,620.985695189878,0.0175039479508996,0,1897.53693948523,31.3210233968365,-5913.13675799478,-18.8285767039266,"Finland.Javrresduottar.A-Sphagnum","absence"
3901.09322986976,4041.61032251083,4539.46507958557,2384.66174924514,1945.39821583183,5879.47853936456,-6802.04754953017,-6764.82085713703,606.329697180183,-0.0678449540088574,0,1889.61969285588,10.6107560336427,-5708.63960535994,-11.5343967434124,"Sweden.Abisko.NT-MesicHeath","presence"
2639.19634267534,4233.27080497855,5410.24608175005,1720.86400201081,3097.2870435373,6577.00549180313,-7222.6279955423,-7148.90319373855,666.141380155223,-0.00907902675680817,1,4265.68836640031,45.2330740793415,-6294.69553984746,2.5942782667652,"Finland.Kilpisjarvi.17","presence"
2586.63138108334,3729.96366919725,4076.96020352774,2109.08499071323,1138.22946106682,6173.87480990601,-6551.23084177417,-7042.05006762888,488.249190884799,-0.000191801913186083,1,2098.99192517602,30.7596458159846,-6031.67547543448,3.41864242932138,"Canada.ClearwaterLake.AB2","presence"
1223.50333259809,290.002663973579,766.046784131532,1078.43057609565,-1129.95865381551,1696.08713016584,-3804.91164942645,-2960.8972345539,801.787386338984,0.113934069871902,0,933.500668624511,-18.9812192311335,-2750.11745142817,-22.8775822357753,"nonveg_832","absence"
159.32592393069,74.324423666258,459.712911837752,242.357547862767,-931.842351375917,613.735434590821,-968.99030922675,-583.257353838798,1331.18021114547,0.244417130947113,0,385.388488171494,4.65467759629631,-601.354857635547,0.630926150979217,"nonveg_703","absence"
45.8982149194212,194.33849926221,489.898356112704,1016.52760653159,-3398.94314827489,1517.25417032431,-1943.62437919346,-1668.5690092214,1139.82812925785,-0.207187607884407,0,970.629391612169,-3.44016823721716,-1668.5690092214,-8.21791682804483,"nonveg_695","absence"
848.392145265668,144.648532708557,518.058845551418,261.613810314834,-2878.115784784,1460.73262745735,-1793.61970186098,-1430.89000353779,864.509828418879,-0.215740889310837,0,703.743612557111,23.1409207165773,-1430.89000353779,-9.06435616932563,"nonveg_757","absence"
-140.694476549325,9.06739620058556,732.717450041926,-671.524059379911,4890.10849394145,24.9245475773553,-1329.48180239044,-1114.49436266124,595.081320658619,0.000945008476264775,0,1404.24150942184,11.5533432954479,124.216592164705,-8.47876507009207,"nonveg_1794","absence"
2602.82539738625,2846.30602854285,3661.38993666397,2196.57899188215,2030.81691341087,5809.68867575911,-6932.0726518813,-6123.18510792087,620.985695189878,0.0175039479508996,0,1897.53693948523,31.3210233968365,-5913.13675799478,-18.8285767039266,"Finland.Javrresduottar.A-Sphagnum","absence"
-601.637291744251,408.786788057932,268.598132983487,496.044036781653,-4396.54846446652,505.548541927177,-967.257603656471,-1143.91628586485,696.606251609452,-0.077581949532032,0,1097.6813285259,-10.5440647034966,-967.257603656471,4.09498808736134,"nonveg_1499","absence"
386.23862488084,1103.5395102807,751.902167312856,403.238998603148,-3616.72995631031,1707.69507338114,-1205.64364611896,-1992.57043751111,790.373596393072,-0.0475657284259796,0,717.30088539986,8.04469194090682,-1992.57043751111,28.2878998782585,"nonveg_867","absence"
3327.44494166135,4206.06404592312,4433.74297013717,1901.83766382707,2221.37102178646,6085.61735440117,-6818.47919762226,-7157.63089299142,540.949992760865,-0.00866328859701753,0,2577.01783541648,30.2429569028879,-6497.26615184138,-9.17520185836662,"Finland.Kilpisjarvi.16","presence"
1800.32286645609,2043.44653520623,1993.68255969846,1283.92878644096,-1091.86866029947,3572.02785878419,-4933.42229160697,-5391.35109443854,652.401338702438,0.0475163338705897,0,945.674962130842,31.4088239244375,-4614.25227058748,-6.62712076751789,"Canada.BanksIsland.GreenCabin-C10","presence"
1471.53403008736,2191.90834695355,2658.87054251552,1069.54211479617,-256.353757720767,3708.75456057044,-5147.05936334996,-5037.93825181465,739.409634217704,-0.00274746133945882,0,1783.80199721745,40.524244971431,-4982.00894646553,-4.27511983188037,"USA.NorthSlope.FranklinBluffs-C17","absence"
431.397450914239,1033.57940495779,1320.43616263562,1095.49717452786,-1591.31532293603,1528.44564686759,-2026.11455657163,-1615.06468753468,1675.41087681895,0.00663080858066678,0,889.038711721379,-5.62805208191489,-2026.11455657163,-16.0407956303301,"nonveg_863","absence"
753.33390961857,62.4514133287772,677.846351277766,77.4029853512222,-2707.76657390747,-1112.89330430223,-2321.33897737582,-1561.30667128728,1498.63541729804,0.143409952521324,0,1614.22928401408,-28.4332836286888,-1561.30667128728,-251.016426161115,"nonveg_645","absence"
1405.0088197157,1403.09784631483,1614.76634357616,1565.68962955411,-525.6964173909,2641.29125452312,-2495.41902155193,-2352.69262840549,1359.59461998396,-0.000548839918337762,0,286.81758224048,4.77791534620013,-2282.58273568152,-10.0060526337873,"nonveg_680","absence"
184.026849192648,364.44862887383,-395.451166612216,-418.779712998959,-2315.63454098208,-97.9915423855099,-231.08345830088,-1118.65658448999,696.099537063455,0.505668878555298,0,783.228341872789,7.02525850396864,-526.643438312079,8.80962617356574,"nonveg_1089","absence"
57.8571503179609,-149.738244631728,23.1247396093061,182.856244482283,17.8386310399701,356.822614222436,-152.363933365838,-8.24436033006624,606.609486738076,-0.35617271065712,0,374.07200813994,1.72822995941372,186.69951541882,-2.50782575289983,"nonveg_536","absence"
-680.346261593904,585.878754168918,-348.197059767047,-1971.40645748261,-505.176778809679,-3997.84199649642,8600.74307015194,6669.60509201531,199.437577673578,-0.000355027033947408,0,2557.28521165153,45.8181175545772,8119.85005591623,26.1169660004628,"nonveg_1797","absence"
