"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_peakSummer","spectral_green_lateSummer","spectral_EVI2b_annualMean","spectral_NDVI_annualRange","site_code","presence_absence"
-634.138606827523,445.6945815915,-851.378327126819,10000,10000,1207.05154823863,-334.788404677408,3080.57929915377,"nonveg_1236","absence"
3536.86872169164,2123.49949290789,1956.55612540968,-5476.35991924209,-6546.60275901162,708.051308509011,3053.3049585868,4283.92199203058,"USA.BrooksRange.8","presence"
2472.49490902769,2595.41791702686,1500.51461873163,-5006.98722990882,-6129.64595582697,686.769409691963,3109.51261727476,2180.56355153113,"Canada.DeceptionBay.TH8","presence"
1093.79770298937,1176.45278748386,466.221316064349,-2791.01583925882,-3449.29202303596,941.766401047706,641.95775105038,1560.4818849172,"Canada.Ivujivik.TP12","presence"
2581.85234104661,2417.83615103334,1420.11729345779,-5447.84944594798,-6605.94622453974,512.801886558952,1978.08533517394,2270.84697664413,"Finland.Javrresduottar.A-Sedge","absence"
2882.69970509286,2342.54683640476,1902.84280378133,-5369.32787293264,-6133.81508416037,612.761115495213,2616.55944038775,2541.53571138936,"Canada.ChukotkaRiver.TH4","presence"
4888.35174770956,4363.78222337048,2726.37537967805,-5998.90806136266,-7558.44762726295,718.443302240521,4239.08482340584,2694.43522310428,"Finland.Kevo.11","presence"
2683.39514835484,2361.90660426039,1999.99191302939,-5398.06884358518,-5739.32319337789,668.737420632824,2713.32034911679,1966.86320093885,"Canada.ChukotkaRiver.TH1","presence"
2462.87670519342,1188.83643120494,837.655341566737,-5085.07551151452,-6223.98387671827,627.810148954035,2111.35437436919,4257.47847217672,"USA.InteriorAlaska.23","presence"
2226.3202142168,1997.6589449624,1569.56138830171,-4944.99671453316,-5355.94397666976,663.42063226424,1941.16503805125,3403.59546846333,"USA.YukonKuskokwimDelta.15B3","presence"
951.654783245621,381.918164321637,78.6285943434636,-536.087382140473,-1109.06220083519,1017.555407948,491.224403456972,1163.36929761604,"nonveg_988","absence"
1410.10817285298,1333.46555763175,1293.22174401927,-3328.84242007618,-3532.50212285525,1026.83787525473,1494.96411136546,654.323581510433,"nonveg_898","absence"
2853.65528446534,2309.31210873468,2342.59456143389,-4944.01477837154,-5356.56324575904,682.546567942269,2767.30393773147,1404.26144636004,"Canada.Yukon.UPPERPALDO","presence"
3564.0347486453,2934.1052147198,2525.65930251945,-6148.3726590068,-6600.07034774289,700.028807702298,2949.55315174819,1091.93919188946,"Canada.Yukon.SOUTHSTONEBOY","presence"
-177.82023152721,475.508661867007,782.394781992852,-2248.45231541421,-929.780238983455,1372.60676439983,457.88392856291,733.247998799436,"nonveg_1037","absence"
2535.83077767045,2658.10673723363,1925.53989004206,-5709.03354393423,-6520.94151018155,536.325003623021,2682.14201066437,2923.55357524061,"Norway.Javrresduottar.EC-Hummock","presence"
2709.82077218265,2202.96504475562,1780.84491396852,-5643.24296601274,-6315.8491116853,538.835217777932,2579.70851748042,4646.20838892296,"Canada.DaringLake.Tower3-DwarfShrub-1","presence"
1963.1306746972,2122.83058337447,924.678098701743,-4752.50339433349,-5106.82011254323,863.7312593292,1796.30468285828,1959.33435457892,"USA.Kougaork.LowShrub","presence"
611.523926295806,13.9015344158667,147.070270333868,-540.181261769136,-915.312629663735,535.161503191539,224.496203426312,733.805005184211,"nonveg_596","absence"
3048.66906602313,3409.31115312822,2203.9284588057,-5991.54665650522,-6449.22230046613,705.116630524418,3171.28527089316,3318.75428965005,"Russia.Tiksi.Bog","presence"
3085.92037591662,2556.55869052086,2245.15490775347,-5561.45516711343,-6325.7573165765,713.244747965899,2593.25108505986,1550.752179488,"USA.YukonKuskokwimDelta.UB7","presence"
