"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMean","spectral_NDWI_changeESPS","site_code","presence_absence"
2870.20285080371,2864.79183466809,2944.38503921734,3251.97668340221,2146.12641351365,-5277.29301629686,-5730.28454517362,-6165.61497235009,0,3013.88149139764,2954.26401167448,1139.72422766983,31.9156443841107,-5140.53297039842,-16.7436547413735,"Russia.Yamal.OstrovBelyy-1","presence"
481.218505015303,326.03884587582,478.429662530917,765.435692574944,176.573037798399,-1434.52120900256,-2058.09819397941,-1996.64946791864,0,517.889612785569,316.837216441807,999.382727146012,20.3724061193099,-1471.26660407457,-17.7743636798197,"Canada.Ivujivik.RTP13","presence"
1738.59182678302,1609.68405840039,2199.64976494008,2657.53975895502,1030.53087880417,-4439.4707780546,-4768.11664393761,-5146.49911602134,0,1699.64937138562,1667.86984991736,1585.04973858072,30.5542223788249,-4938.15422515834,-37.7182820554373,"USA.NorthSlope.FranklinBluffs-C17","presence"
2795.76042067128,2467.54834554104,3620.07161425231,3829.99367471746,1213.72545245772,-4374.4831160491,-5095.33285325964,-5439.43346217934,0,2693.59548558991,2648.14152520237,2646.54078631417,41.9867484731043,-4842.24793858773,-53.8203673521469,"Canada.DeceptionBay.TH8","presence"
-269.951092032895,-299.925296362282,355.159293363536,5.22883819743585,-355.209318297042,-684.632195903617,873.537805151514,215.556803807019,0,-269.951092032895,-112.939515026249,710.368611660578,2.36828406289298,-74.9542874486976,-0.0133711387399573,"nonveg_1145","absence"
641.918097403154,426.048295148497,-629.471739031634,303.017034835055,-134.299483856488,-555.095470620899,-1380.90313854707,-2931.17377287442,0,303.017034835055,121.442440899717,1271.38983643479,19.9030149040934,-1633.37848294634,-41.2741530581436,"nonveg_1654","absence"
2840.19303065607,3192.47214272938,3432.9137339849,3585.85986544245,1372.1470431276,-5039.75382495713,-5591.83867540956,-6060.38445365649,0,3572.8512112248,3091.037713075,2202.47512366498,30.8329024044042,-5617.61594948125,-25.3240190359069,"Russia.Tiksi.FloodMeadow","presence"
855.736116236152,1903.28446235192,1475.3578569982,1836.47841144455,956.53055849938,-5032.73685334949,-3217.02416520997,-4525.16027197146,0,1475.3578569982,1405.47748110604,1047.54834611577,-3.35981474210759,-4085.97484531786,34.7084513513262,"nonveg_529","absence"
-560.436303690783,-494.623483895358,457.109394904618,714.602857362641,-735.715966576223,-1909.1792691743,-1936.456291656,-1020.83308563619,0,-494.623483895358,-123.812700379021,1450.31882393886,5.84265542951465,-1450.28797229686,36.7636804128946,"nonveg_932","absence"
2821.25248264873,2408.16155895399,3185.67446838305,3463.50325319245,2143.00791512927,-5253.35130160435,-5513.60651735505,-5805.2883171791,0,2919.78217538366,2895.92119056477,2892.03969170428,16.5284576987829,-5322.11907355824,-4.95469192265866,"USA.YukonKuskokwimDelta.UB3","presence"
3535.34768768072,2745.05258176652,3358.99806993407,3663.9038280656,2827.10806267196,-5952.50783019566,-5695.77133158036,-6508.15575009293,1,3642.89081306497,3478.92498470282,1414.68039351408,35.367009837852,-5552.98938050305,-55.214524507659,"USA.InteriorAlaska.20","presence"
689.746190483105,-192.022877624232,913.414050814344,1397.95745340099,-13.7404671066257,-2181.45901816691,-2603.47357859216,-1840.0860417039,0,689.746190483105,559.070869993515,1589.98033102522,43.9679160993582,-2169.44076675367,34.7781791956489,"nonveg_606","absence"
190.77347497655,776.117363518881,548.392952488867,571.422772703061,-506.32962473066,812.067364292761,937.464723566516,-851.078839317825,0,548.392952488867,316.07538779134,1282.44698824954,17.0025146270051,1168.22954576448,-49.2770581995322,"nonveg_1794","absence"
1856.67085040907,2084.57969413286,2254.95202933463,2298.51202998341,1196.05345324643,-4588.5609603671,-4839.19790114852,-4869.11094257388,0,2095.42550860481,1837.49329872304,1571.50324010868,-6.49139302916823,-4440.33708816985,59.7829414724925,"Canada.PayneLake.TD0","presence"
445.436968026153,616.002155907838,451.575480397659,132.887560846121,90.5613276262733,-1162.92004811257,-731.422650790746,-1290.96917131103,0,445.436968026153,347.292698560809,525.440828281564,15.42937566956,-1260.11296240346,-33.1363870596975,"nonveg_775","absence"
353.668572392382,562.356591363417,181.523280350038,24.2909266770504,440.801871392043,-1057.9073999364,-875.18433454047,-1558.64644830484,0,353.668572392382,312.528248434986,538.065664686367,-3.48533195998643,-1151.89557897986,-29.1287014172543,"nonveg_994","absence"
1203.2314709156,212.979691709849,602.629594465752,78.9323624698236,210.977796740491,-424.378213817058,-2237.42719467407,-1850.2323553714,0,212.979691709849,461.750183260302,1124.29910844577,39.6901469670042,-1624.75525702032,-89.0401001942297,"nonveg_941","absence"
441.4514009767,1734.12776763483,1896.85850016388,1837.34980840905,-749.369225444454,-1353.57601615704,-3384.95069139643,-4246.2708323108,0,1734.12776763483,1032.083650348,2646.22772560833,45.8007933238905,-2010.36754873251,-121.862108638405,"nonveg_1813","absence"
1101.29754350073,2026.72504111691,2627.93324096953,2669.14320198703,1304.64001943175,-3786.49609165171,-3611.65335371788,-2397.38572082474,0,2026.72504111691,1945.94780940119,1567.8456584863,-8.84097721439212,-2957.6425013776,47.6262321936327,"nonveg_1177","absence"
-182.885422044302,-61.5778998278665,254.947529972411,341.107080794333,393.721399003631,-77.4483509592876,-286.431546615285,-163.575952073575,0,254.947529972411,149.062537579641,576.606821047934,-22.1771854249205,341.826714629311,-7.37495815459983,"nonveg_1642","absence"
3021.99487741643,2925.6557060066,3506.22709875487,3810.71819853458,2276.60940719212,-5547.92117702663,-5894.26703890472,-6068.0134838498,0,3153.96949494346,2861.31581880439,1769.33131450571,23.6243830124837,-5799.07995864523,-21.8810551598685,"USA.YukonKuskokwimDelta.15B4","presence"
-368.496294404701,33.672917389841,613.505070028959,820.502439339219,531.207268932804,-2348.99852157966,-1985.75177243766,-1293.80491782821,0,531.207268932804,326.078280257225,1188.99873374392,-35.9881425335002,-1463.83960353237,51.1953531037006,"nonveg_733","absence"
265.211546999238,426.511150157976,660.456065198558,515.349447745857,-127.903794596838,1514.06490875809,-2071.00572245854,-2618.45076886307,0,426.511150157976,347.924883100958,788.359859795396,11.231866902745,-550.908690627162,-124.902481511033,"nonveg_1626","absence"
1853.94481443707,1818.82800833108,2264.93356109491,2570.66696656427,1257.00577689262,-4868.55311525821,-5133.75622249855,-5564.1192868665,0,1443.04295855765,1825.10817813763,1709.7091022124,12.464432003698,-5297.48976957628,5.54298509039012,"USA.NorthSlope.16","presence"
2721.81115673688,2959.75386758084,3312.83359288284,3382.69787547871,1588.83902708124,-5175.84824482742,-5704.49588291039,-5976.11137412965,0,3063.9248562548,2810.749527008,1752.94730525594,39.7319598768375,-5040.80263146339,-34.1248593764846,"Russia.Tiksi.WetFen","presence"
-185.86862439419,513.899563464784,-1154.61700178911,1404.54627247122,-364.681552226955,-1335.57641427734,-307.873879658443,-2123.64978705934,0,-185.86862439419,42.6557315051513,2559.16327426033,8.94064639163822,-981.699185740886,50.1633525174291,"nonveg_670","absence"
