"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
1521.16489706597,883.289514114348,1069.04984101858,1193.77246032753,795.076621242029,1314.9647564435,-1244.02517360637,-2151.1316126399,-1841.98273653549,0,726.088275823944,29.0435310329578,-1962.56926299932,-1880.27144210399,"nonveg_863","absence",1,0,0,0,0
2035.21236718667,1479.71998787004,2387.617518117,2637.1327225732,990.922057282336,2389.09878874993,-4391.9952617593,-4489.17910707939,-5331.62831808487,0,1767.1361400691,54.9188442626473,-4701.33103668679,-4423.41922391216,"USA.NorthSlope.FranklinBluffs-C16","presence",0,0,1,0,0
541.743532918911,486.758198784562,-31.0079849020044,750.252086213214,577.296037589312,-347.685826335318,-2163.4911952532,-2467.98072049312,-3097.94090113697,0,781.260071115219,-1.87118445633689,-2467.98072049312,-1997.32764271582,"nonveg_1672","absence",0,0,1,0,0
3421.1443162845,3304.26734080429,4201.71150779166,4696.97299268325,2235.41808744265,4558.59089957733,-6335.85320159661,-6285.33857086416,-6854.78277953848,1,2795.50044967615,34.7335626029639,-6345.59250881498,-6254.10130818839,"Norway.Javrresduottar.A-Hummock","presence",0,1,0,0,0
101.875322081057,786.778931394198,957.351204363534,764.478786520164,154.512587729557,222.536103241324,-2313.49226653106,-1547.69812854506,-1763.36683512303,0,855.475882282477,-1.87990234458931,-1748.00229711591,-1770.59116195359,"nonveg_688","absence",1,0,0,0,0
1620.91314525782,1183.12801719675,1619.54536370961,983.69390448094,1660.3139344682,2864.63795800889,-2847.20984445356,-2890.59894481349,-4043.60444963238,0,676.620029987259,-1.51541496962987,-2890.59894481349,-2900.83936649896,"nonveg_632","absence",0,0,1,0,0
2515.90397538874,2011.85233667102,2811.72318665719,2970.58197683833,1984.21304076874,3849.78053400817,-5999.99242497724,-5710.61323365179,-6057.08861381453,0,1299.95917815662,31.3152034715341,-5273.7217746862,-5116.98954120843,"Canada.ChukotkaRiver.TPO3","presence",0,0,1,0,0
705.585156624026,725.338516846938,609.77533060465,889.126604455162,159.447375173812,378.74807913789,-1413.43192424016,-2183.96605485474,-2880.06367873455,0,729.67922928135,15.1704939291726,-2183.96605485474,-1843.39569680494,"nonveg_804","absence",0,0,1,0,0
2205.89646121698,2444.3307333504,2728.48811140666,2635.23143938984,1668.94367849003,3028.71477607876,-4925.14651369239,-4950.00398577035,-5284.06679012498,0,660.014287698724,12.7934067736449,-4952.9102425738,-4782.28891808478,"Finland.Kevo.12","presence",0,0,0,1,0
897.908211388769,1028.33166928927,539.375833005436,374.741256963196,584.613532109511,1075.63850161727,-1837.11859521114,-1755.49726028889,-2600.26363730646,0,653.590412326073,12.0497953568946,-1837.11859521114,-2067.28204519592,"nonveg_899","absence",1,0,0,0,0
488.830050060771,65.8850384100313,-415.720635282319,716.537834641357,490.416405012422,1193.85521659832,-2002.12675763882,-447.165417226186,-1488.6138586591,0,1132.25846992368,-0.0566555339875237,-1488.6138586591,-1412.46192987486,"nonveg_919","absence",0,0,0,1,0
891.754286418425,300.044225073139,536.256599791916,869.525484892623,203.133869520747,412.542859401508,-1768.93358056332,-2589.83504856535,-1857.81269566752,0,688.620416897679,20.8672853605357,-2290.5641231755,-2200.54266219327,"nonveg_543","absence",1,0,0,0,0
1290.87534553247,827.943525221616,1071.45333051954,1743.04874514761,612.414963416933,1728.89366258237,-3746.47172235291,-3135.75635955033,-3980.36821180486,1,1130.63378173067,25.1281623005753,-3746.47172235291,-3502.39351072377,"nonveg_856","absence",0,0,0,1,0
4109.59006394885,3840.31550802898,5122.0877627885,5429.77571726363,2476.64382149047,4072.15671589121,-6372.76449376318,-6654.48045110588,-7508.51281447936,1,2846.41469064121,39.6155559374208,-6628.80755076623,-6267.67708224272,"Canada.ClearwaterLake.AB1","presence",0,1,0,0,0
415.455386288516,175.233305173834,405.790244121592,857.808993309011,880.976191628963,1274.09698118974,-2284.7982395945,-2650.86707643271,-1756.9766534104,0,705.742886455128,-17.2415113089054,-2284.7982395945,-2032.75363794139,"nonveg_940","absence",1,0,0,0,0
3324.23293121773,3311.21086163551,4013.71990668903,4335.62313581207,2395.53718110662,5201.56617529984,-7010.23550403344,-6560.54004056332,-7648.22555597653,1,1987.75686795569,55.3769383322832,-6945.78007835672,-7024.27378824219,"Finland.Kilpisjarvi.15","presence",0,1,0,0,0
3378.3145177624,1539.0256665565,3557.70514830218,4876.56662251973,2037.31042927981,3465.88155534073,-5667.66604940382,-4697.50684394965,-6033.55750895389,0,2469.61847513156,11.571647506372,-5064.29392603708,-4837.02691536058,"Canada.KluaneLake.Outpost-MixedTundra","presence",0,0,0,1,0
2627.50248183391,2486.96633927557,3220.70077140186,3380.92926770142,1947.55808385489,3734.34301753305,-5185.90595271736,-5527.43101052121,-5771.06482739464,0,1331.13161156505,14.7675422000854,-5404.2585335886,-5287.8453993331,"Russia.Yamal.Nadym-2-IH","presence",0,1,0,0,0
3360.48702177795,3398.47944805104,4256.11057877397,4562.89598409097,1572.95724238275,3422.43102416324,-5984.02423158863,-5658.22841940334,-6779.15571271022,1,3041.97715514088,80.3793655934119,-6169.74789986679,-5936.14150446227,"Sweden.Abisko.KJ-SalixShrub","presence",0,0,0,1,0
866.373210446398,1058.47919254066,430.291319737053,470.739693358156,833.617834166642,1228.46837448128,-1242.76744219592,-1020.97156127587,-1884.12032435061,0,628.18787280361,1.42414679477199,-1242.76744219592,-1376.93974470417,"nonveg_674","absence",1,0,0,0,0
