"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDVI_annualMean","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
3174.9339275091,2457.10625908516,-6643.53328885582,2280.79110490504,67.9511159616344,5277.79296201251,-6228.45354062491,-5462.02626896338,"USA.InteriorAlaska.DEW","presence"
1334.48938107858,1568.36146123569,-3128.96275204403,1501.02751234082,-45.4856821921462,1963.73245534563,-3128.96275204403,-2441.55907522231,"nonveg_600","absence"
317.683005431539,867.44463279102,-1872.41857838336,823.612038541338,-3.68098995527272,682.058494145792,-1473.19686561917,-1426.47929587315,"nonveg_1037","absence"
542.470505106454,275.36040274995,-1272.11515486994,626.98011060377,-23.991333883151,548.541887013267,-1312.7333278949,-864.625732903783,"nonveg_594","absence"
185.936571692608,-512.261188494526,3338.24227944203,865.996549437813,43.2998274718907,203.367481012574,3338.24227944203,3284.33953449454,"nonveg_1646","absence"
-369.062238519015,-100.77261597346,7843.07301155019,674.819542497214,-35.1439877848772,-1820.56693281335,7660.99494520226,7909.30805335078,"nonveg_1695","absence"
2353.34955871979,1321.16178485058,-5340.55966422042,2437.85135087181,8.37121084418649,3904.2886314094,-4696.87751771283,-4378.09924714746,"Canada.DeceptionBay.TH7","presence"
1874.04531451939,1507.54119365193,-5966.57364225916,1679.03291492134,12.8273899387296,4973.31838940066,-5860.14470143028,-5944.74852474261,"Finland.Javrresduottar.A-Salix","presence"
511.649191659443,-664.907939377595,-1172.44090366854,1176.55713103704,39.7727126506232,111.447096653289,-1172.44090366854,-1164.42722175806,"nonveg_761","absence"
2070.64795009383,2049.45403727476,-5695.06167894778,2390.24928377167,69.301534929578,5059.24034339787,-5142.80780802781,-5350.50592488453,"Russia.Kolyma.WT1","presence"
3181.49337566758,2526.90996082898,-6860.25938532436,2160.04396712766,19.8532103709162,5889.19991929844,-6675.90082225496,-6634.1638408332,"Norway.Javrresduottar.A-Betula","presence"
2391.66713144079,1813.50381917612,-5209.73571766993,1895.62874726535,33.5306335571217,4304.19525806346,-4830.13373414125,-4536.82877419764,"Canada.PayneLake.TD2","presence"
2764.51995992701,1213.30460813696,-5091.90735080744,2384.2122152305,19.8868741472176,3868.93282624308,-3616.91402812746,-3430.5222873493,"USA.Kougaork.LowShrub","presence"
1569.01191876206,1008.41785404878,-5426.74379157291,994.455249186501,38.2482788148654,4888.45038652957,-5243.22244950612,-5279.85705260677,"Canada.ChukotkaRiver.TH5","presence"
2644.69811070349,2770.26433023805,-5835.54466128239,1310.37859273799,19.1844431424695,5327.30175784595,-5568.73186626751,-5612.27178237083,"USA.BrooksRange.6","presence"
1247.99527557641,405.628603203606,-2417.71506381566,842.366672372808,2.95588842214533,1421.97718226734,-1997.96833932106,-1764.21846953475,"nonveg_725","absence"
588.380493071922,0.48469023802312,-1247.38554361065,587.895802833899,14.0013083281662,593.397033033079,-1174.28204510932,-1162.79109444839,"nonveg_997","absence"
533.897150739136,1486.67269540887,-1205.72004465649,1486.75087614589,-53.0982455766391,1396.95767246255,-1205.72004465649,-1059.75474968873,"nonveg_919","absence"
1005.60114178803,918.74179227189,-1796.30411493053,797.176942218001,11.8089124224893,1346.16191544778,-898.598555202193,-1165.27303290464,"nonveg_535","absence"
949.048642772438,1613.89867903704,-4158.74615655399,664.850036264604,-3.8750403617114,2885.8755042284,-3824.1896084482,-3776.34093329741,"nonveg_1069","absence"
2478.02070840508,2098.30823502109,-7231.62831137182,2867.11036689352,6.58148281589696,6807.51904621696,-6775.24133239427,-6177.13956202253,"Finland.Kilpisjarvi.17","presence"
1878.60630460062,938.161539495692,-5100.1926365044,1264.67962510845,21.1161722676846,4039.65503278698,-4909.49493228665,-4601.40230377172,"USA.NorthSlope.Deadhorse-C15","presence"
2136.52052861317,2056.90164514621,-5868.85376116822,1401.42380613529,9.47798546448361,4835.50304657469,-5077.31548204243,-5363.45701934981,"Russia.Yamal.Nadym-2-IH","presence"
-407.115331715963,282.554157520669,-2039.80852345922,980.415725008961,9.37891083136543,338.876833184175,-1935.87963545786,-2057.23286373938,"nonveg_1261","absence"
679.766169075905,668.169476899788,-2295.56343073292,321.27335629605,-3.72129740791966,933.143962601547,-2058.1375323017,-2031.3918925122,"nonveg_940","absence"
3155.01882932105,751.518449502433,-6045.57210974871,1792.28119576572,41.9043185228583,5893.23620805189,-5458.10947069077,-4858.85776335651,"Sweden.Abisko.KJ-BirchShrub","presence"
810.509699841783,674.723871566698,-2411.6943353018,1229.37454659286,-37.5362446983636,1183.4214461272,-1924.43829141415,-2082.14187645245,"nonveg_606","absence"
191.546426934771,-344.146263835509,-1781.45347871222,553.830512639688,15.9381997852545,464.995758013047,-1291.00215855187,-1099.96119568896,"nonveg_903","absence"
