"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","site_code","presence_absence"
2164.42484726884,3189.51686776117,1917.99278115107,5167.32694157665,-5938.16943033686,-5919.90419548189,-4400.62800986158,0,"Canada.ChukotkaRiver.TH4","presence"
433.51411302736,1099.89019054166,361.96136278442,1613.11443337735,-2131.96881301897,-2248.27856032403,-1560.44356713832,0,"nonveg_998","absence"
2248.11862566163,2814.01634327758,1948.43187798484,5205.39678777176,-4706.36538929811,-4842.68152781977,-3918.12465985006,0,"Russia.Yamal.VaskinyDachi-3","presence"
470.54106709315,270.412606819727,83.8107440395955,734.119695012484,-1445.23812356276,-1721.35367649441,-1168.68516611252,0,"nonveg_775","absence"
2456.78195191066,2725.65065051714,1476.39322860402,4750.18710942063,-5282.22961793478,-5263.04214061618,-3434.2730389476,0,"USA.NorthSlope.Barrow","absence"
2799.57055442312,3471.38048627729,2570.32038264189,6178.31330645693,-6089.75725451102,-6215.85161674208,-4601.73983880831,0,"Sweden.Abisko.NF-DryHeath","presence"
-26.9258129736131,90.5643760403391,550.426677933342,-256.264102799774,-1225.69273094453,-745.55484068321,-251.109347892142,0,"nonveg_1268","absence"
2325.27279506666,3563.24914571574,2116.94539031992,6530.47074619712,-5670.00591308772,-6595.91092725275,-4979.57401423733,1,"Russia.Kolyma.T1","presence"
89.8754961355125,810.202319766606,1061.87994819529,1501.96760534602,-2733.10326859082,-2547.90800911035,-269.643006315504,0,"nonveg_666","absence"
729.884353007062,606.291791576007,525.175354667803,1535.72353566596,-2332.74800782671,-1925.1206969559,-1819.36949019653,0,"nonveg_760","absence"
2041.70958787182,3026.11510717247,1173.3943303051,4949.34261277007,-5603.06828666213,-5313.80604443566,-4364.887793792,0,"USA.YukonKuskokwimDelta.15B7","presence"
3886.56594052787,5425.10033084886,1829.86343221496,6874.64764378544,-7726.46273115293,-6988.58752947257,-4603.44310052618,0,"USA.Kougaork.TallShrub","presence"
2364.02760863938,3616.06975518761,2800.9499576591,6756.23719547797,-6406.39855242995,-7111.3498627267,-4735.27667145236,1,"USA.InteriorAlaska.20","presence"
623.136880835984,702.723577467892,-182.507994207573,641.709263508071,-1762.93252012674,-1098.65438632548,-62.711253902198,0,"nonveg_897","absence"
672.378368391436,1297.08158505531,547.544641499395,1737.02384158845,-2951.63296759064,-2176.96953103015,-218.84517841944,0,"nonveg_619","absence"
4015.64276360747,5097.05569267832,2611.28985322793,8056.64994875282,-7217.72648908579,-7336.16756291734,-5837.41667550705,1,"Finland.Kevo.4","presence"
2533.62879796028,3650.69383674003,2051.13697599913,5314.12592293399,-5098.99354941018,-4869.15703566622,-4793.6158954506,0,"USA.YukonKuskokwimDelta.15B5","presence"
155.086213909892,-99.3787907789848,823.062751604655,1061.31409114677,-1540.30846060207,-2131.48239396092,-613.053614943855,0,"nonveg_681","absence"
1551.27873967054,1719.81219982141,1385.97164770373,3860.83737751647,-4312.68857631352,-4874.54941682359,-3579.00874003512,0,"Canada.ChukotkaRiver.TPO5","presence"
2939.94682378981,3561.92899061479,1877.0943934603,5658.54765370513,-5924.46078089508,-5905.22724474148,-3987.58945059542,0,"Russia.Tiksi.GraminoidTundra","presence"
268.958062065688,560.72488208776,659.057855926467,507.566962234223,-1422.622740305,-942.977561839543,-97.587822522901,0,"nonveg_994","absence"
2456.78195191066,2725.65065051714,1476.39322860402,4750.18710942063,-5282.22961793478,-5263.04214061618,-3434.2730389476,0,"USA.NorthSlope.Barrow","absence"
1687.1886037045,5234.69509821814,1349.87166754311,6287.74397516147,-5734.29474725239,-7316.7706230186,-3488.87266970773,0,"Canada.KluaneLake.Outpost-ShrubTundra","presence"
4108.94957195763,4814.68314196686,2564.01175083888,7561.96918417384,-7459.60405570432,-7226.07564742384,-5588.08848212689,1,"Finland.Kevo.11","presence"
2450.27540098286,2964.04269075743,1824.27178302095,6355.20444647193,-6165.67392583907,-6804.40649099758,-4831.62917299401,0,"Finland.Javrresduottar.A-Sedge","absence"
989.202037377756,1049.46139755671,1212.33972028338,2016.47210008388,-2623.48557744715,-2358.99117856428,-1711.03210420017,0,"nonveg_746","absence"
2871.43012707187,4471.09602628229,2307.79518236074,6369.04678904441,-6407.1152249599,-6756.27858502032,-5126.48882391071,0,"USA.InteriorAlaska.CALF","presence"
-2.62419158301901,1067.62082175055,170.168298979783,-525.090269943779,-2456.73689889775,-735.417490358408,-1085.45754051294,0,"nonveg_733","absence"
2778.05910324503,4873.55847108244,2454.35901054815,6733.08413803879,-6142.43727420849,-6041.85209682677,-4261.19421099525,0,"USA.Kougaork.GraminoidShrub","presence"
137.669110937411,230.210326258407,-29.5250176202215,298.445157574587,-1362.75475463152,-1178.10638288349,-640.752853394785,0,"nonveg_1499","absence"
2921.09358212751,4721.2310146275,2540.96302503903,6204.66427161421,-6489.11934955258,-6557.79949953238,-5547.58614823514,0,"USA.NorthSlope.Ivotuk1","presence"
167.815025261849,503.743324758866,-211.527229821008,2636.97032020526,-426.971865490053,-1317.6034101098,6461.76486992319,0,"nonveg_1794","absence"
2477.30017134016,3237.18555390937,2154.61127638144,4568.70679014212,-5122.57320076076,-5303.91190530909,-4004.88090477126,0,"Russia.Tazovsky.Unburned28","presence"
2998.5433748726,3918.62250265178,1537.87900425763,6260.5414525988,-5893.88358755874,-5877.49612740893,-3514.61290601256,0,"Russia.Tiksi.FloodMeadow","presence"
