"spectral_EVI2b_earlySummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualMedian","spectral_NDMI_changeLSES","spectral_NDVI_annualRange","spectral_SWIR2_annualMean","site_code","presence_absence"
-525.823233505673,-810.36403155609,7376.36259262238,5515.14227595924,-89.32874107416,12.0623440456268,1842.40554113332,118.677965490627,"nonveg_1637","absence"
2569.89241326468,2062.38003780388,-5470.37847495834,-6036.49706647637,2877.55267196051,-41.107121595941,4543.47627742452,1334.71258603272,"Russia.Yamal.Laborovaya-2","presence"
2666.87356352082,1997.01348795542,-5460.400360134,-5766.70969539831,2868.7866225456,-89.8644395511563,1805.44842842832,1327.00698755642,"Canada.DaringLake.Tower1-MixedTundra","presence"
1345.70667146922,-456.02246217215,-1452.19630877077,-2118.16500615885,660.436294268997,88.7626128686693,2101.16432489176,3696.41926504375,"nonveg_568","absence"
576.8825615468,356.888314369805,-2073.22667481016,-1941.4132328717,680.937528088872,-14.002322294496,1090.54630568818,1968.81740064108,"nonveg_576","absence"
3025.92377375167,2362.47598825879,-6369.49920951525,-6143.8591260622,3397.54585405606,-23.7293025153374,2634.97304831234,1296.6828064106,"Sweden.Abisko.NT-BirchShrub","presence"
1994.59706755345,1245.25934446848,-4742.09946338703,-5384.52825346047,2079.23114585716,9.56606554282314,2775.60563646395,1259.62455191416,"Canada.DaringLake.Tower1-SedgeTussock","presence"
3278.45195026234,1892.3872491763,-5843.08772223411,-6333.1409006262,3357.92445809751,-55.0129185250343,3226.89612920636,1353.2237446751,"USA.InteriorAlaska.LOWERQUARRY","presence"
2536.85010892135,1584.61385760312,-6120.85324044501,-6588.55745687395,2670.89438925141,51.4494194248029,2348.83666443547,970.220458541513,"Norway.Javrresduottar.EC-Salix","presence"
-51.7568929060374,-313.052146065662,4271.69639812523,3455.46365697485,-51.7568929060374,-11.1363457698064,1944.43632163945,113.382994899169,"nonveg_1646","absence"
2135.46768378751,1587.45333931098,-4357.62920851091,-4901.64117299532,2183.93700121572,51.8145432457837,2020.18037701751,1571.94289337816,"Canada.BonifaceRiver.LSA4","presence"
400.167088729605,235.09635728221,-1388.49340006503,-1554.97762534026,313.28692036813,13.9696305164891,1129.38836542474,2166.48079434971,"nonveg_560","absence"
3766.90261764494,2127.98203780463,-6198.81472059706,-6907.04884304079,3931.96944678545,-69.0897538824005,3691.43688494512,965.93936568681,"Canada.BonifaceRiver.AB8","presence"
1541.42981723042,1048.47518353807,-3499.567710481,-4357.19205461011,1564.09122815603,23.6812082466023,1524.74025631144,1422.02681278376,"nonveg_529","absence"
226.397536040082,216.141305777456,-1456.91423656165,-721.400616115902,226.397536040082,-176.610799224092,1065.03991803185,2675.34832573556,"nonveg_1234","absence"
1017.54953120972,575.702455675786,-2642.33794384553,-2829.29971896767,1284.47333585158,142.205086698309,1395.29313412444,1489.88577145866,"USA.NorthSlope.HoweIsland-C13","presence"
86.1409844981687,64.4506746401534,332.437952291919,59.0791467888316,86.1409844981687,18.8280667235981,557.225286065281,583.363744226891,"nonveg_536","absence"
1766.1029078231,1293.61725515291,-4808.3639095896,-5759.18403904781,2006.94520432061,6.46089882826342,3676.9939513571,1419.03996879787,"USA.NorthSlope.16","presence"
252.365488572205,172.776574745152,-804.086585748257,-1157.57783337412,252.365488572205,-8.43980802879681,991.435047079313,1887.37081880369,"nonveg_794","absence"
2903.4614423875,1848.59633453121,-5894.63157246563,-6439.19217590509,2962.07443090155,3.80792571946556,2926.56886251059,1148.14809918005,"Canada.CoutureLake.TDA7","presence"
