"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_earlySummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NIR_earlySummer","spectral_green_peakSummer","spectral_green_startSnowfree","texture_NDVI_peakSummer","topo_eastness","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NBR_changeSSES","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NIR_changeLSES","spectral_blue_changeSSES","spectral_red_changeESPS","spectral_red_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2558.82650417079,2157.70902010178,2775.39518259415,2822.19142585239,1171.73047723847,2931.76264647414,5719.06947343237,4979.16719582945,6071.77002921922,6240.66383291146,3250.8476799841,-4714.01354661189,-5794.94216152107,-5853.11468245262,-6136.06324120563,1973.22659636702,485.855504812769,457.947576146687,181.621844971961,0.055337592959404,3.28866696357727,0,2113.83444788413,1868.8773569185,1723.01576947489,41.3012209609431,-35.9008623968891,-48.4490812752475,97.8737255186126,3142.43040548998,-5609.56490122055,-5515.27551219479,-25.8825030317198,8.13347391649325,-3.85361810224179,-10.8440125327729,"Finland.Javrresduottar.EC-Hummock","presence",0,1,0,0,0
2926.75517332883,2407.2621931211,2779.68280201911,3183.66176719369,2424.39436361219,2879.57777678614,5283.43163491737,4681.55204233139,5009.8809792264,5397.69545790608,4486.50832228036,-4893.81277360233,-5008.60330411086,-5299.79449375708,-5618.83407859836,2672.21878698429,779.382985114705,843.126628223138,-165.303933779772,0.00463512614369391,11.1206047693888,0,2751.12707912931,2723.55039135148,1244.97781886719,26.1401049312613,1.83297958203104,-26.2469438528506,37.5072045073566,2627.32914465984,-4824.47911858051,-4946.71846246418,-28.4445998714985,7.56784969196086,4.52351521588446,32.3209660781596,"Canada.Yukon.UPPERPALDO","presence",0,0,0,1,0
840.237934842557,282.357542073257,349.564220817086,874.141140338468,782.339035204214,-926.096602680741,1151.00036174218,410.728569279548,509.033776750983,1235.4765729695,1075.00974716904,-967.19254978864,-1701.45941836563,-1595.53794798132,-956.600421003076,3554.23265586047,2652.15888762975,2710.82764262314,664.450774479243,0.00290045770816505,0.450459480285645,0,782.339035204214,625.727974655116,591.783598265211,2.31595598553371,-174.858973173794,-22.4022262479431,-51.146582836279,824.748003689956,-967.19254978864,-1121.28478284013,-14.4331367753786,-9.3524881482949,0.40858233637573,-48.0424701582959,"nonveg_733","absence",1,0,0,0,0
553.660495824724,1188.29308511167,931.376562540933,899.012607293146,523.163291620837,-2216.60992312138,1823.1371529816,2839.73760369473,2471.71709109065,2385.14536517653,1746.36763207292,-2886.77941756293,-2203.43067224377,-2589.42396670331,-2613.26408826019,1005.33715711666,707.573070034458,656.341929452505,237.540843640267,-0.00358042330481112,2.43069458007813,0,899.012607293146,819.101208478263,665.129793490837,1.27071684182859,5.39399254129792,42.8194204284569,-12.5272471798601,1093.36997162181,-2613.26408826019,-2606.2335383573,37.3047817880829,-2.97287426949833,4.5715756265405,1.32828619324603,"nonveg_985","absence",1,0,0,0,0
2182.76379938946,2255.86660111219,2518.47394978101,2766.02077858515,1329.89739845848,2730.72825471734,5516.89233427926,5512.87572006639,6006.71984703586,6489.2561734083,3837.27830177959,-5178.39260633237,-5999.35154202252,-6503.1278323936,-6327.25880073236,1656.4713554925,452.858730483019,471.042797711466,167.325027646085,0.0397387161850929,2.45122399330139,0,2550.11255307932,2518.94246787009,1343.69285960066,16.6948345803027,-5.29426550362066,-25.880451132235,34.9992856941138,2226.37005092209,-6133.1666046894,-6102.65177732681,-8.0269585047119,-5.90723337225215,-3.36177607226799,4.98227535889846,"Norway.Javrresduottar.EC-Salix","presence",0,1,0,0,0
-70.3482840364796,11.4293421059544,-188.651261635789,-3.57552610461261,-269.001260013497,4177.92177154179,-1356.57584385721,-1880.68946228909,-1515.66817259399,-1061.99047300097,-2123.48568647462,7303.46396760685,10000,8259.15915055144,7564.08866492498,209.069267103605,443.680901275855,452.656514401481,-864.935426897301,0.000400612480007112,0.0404676385223866,0,-70.3482840364796,-104.029397936885,280.430602119452,14.1894982840727,-12.3383823687451,13.3387069161162,-229.386709816434,1061.49521347365,7564.08866492498,8053.33716687169,13.8718183018848,0.261478430163891,-0.94436957376855,-4.29882452049562,"nonveg_1695","absence",1,0,0,0,0
3646.56594859971,3156.45189307188,3921.94080031769,4438.83625476754,2094.78206341342,4559.33477493468,6934.28421875824,6005.20093392049,7363.15265132139,7915.18903119892,4799.28634149859,-6621.26036235687,-6762.62624250085,-7267.46562048354,-7570.87401453481,2429.46507114256,433.631128920863,495.351191514822,64.3536304299743,-0.0237895503640175,1.41958520412445,1,3751.42183151896,3528.49262319133,2752.09103867979,72.354766733848,-34.2504339642359,-2.5332049690355,120.910867170743,3732.01448775972,-6225.70156529685,-6605.03491864781,7.71468824359824,11.1683774573334,-10.0647953005139,-2.11498886567598,"Finland.Kilpisjarvi.15","presence",0,1,0,0,0
2693.39588396173,2766.09810110237,3016.44841795165,3334.15513281031,2075.30675397872,2753.40072590426,4905.28456085655,5122.42537457199,5405.07763099527,5879.75048803105,3695.29358401832,-5271.66936034865,-5341.95866197965,-5696.6527134131,-5514.35590009329,2357.1508363002,768.538035012751,752.601782341441,218.017362042611,-0.00348444376140833,3.07637619972229,0,2506.02018269441,2733.60090715085,1467.97666561361,-11.5771000151765,-26.5266850090048,-34.7368517291131,-31.3433107450426,2128.16192287015,-5527.88706525985,-5238.30653934697,-15.9546559495163,-12.3658864952468,6.7549970634617,-6.98864374771493,"Finland.Kevo.8","presence",0,0,0,1,0
3662.98684724319,2893.35820763168,4052.87719628515,4671.57285285388,2532.20664977451,4173.16783786596,5724.00516186056,4971.77860068506,6221.81590227671,6873.46739214995,4374.11367924148,-6028.20045492193,-6054.6384306664,-6482.13450743109,-6608.17273678555,3076.62289922276,697.12645089691,716.028305923898,22.4329862478345,0.0312107215635479,2.20942234661844,0,3315.67728237225,3573.61663701191,1824.90914408467,20.8038277233263,1.43564927462917,-82.9929173382007,19.7541055984924,2335.76207916463,-6209.74704577439,-6142.98244419615,-43.5480421656563,-5.63630548888834,-1.92431299730888,14.8290821971768,"USA.NorthSlope.Ivotuk1","presence",0,0,1,0,0
893.171245108153,1174.68329995237,353.113806273551,1016.92293716545,564.056513347311,-32.2004450127851,1471.85257694368,1968.09511332351,907.634490881332,1729.36114641899,1049.66656941272,-1842.89312677276,-1577.0893805839,-2609.87336958002,-1817.42116789793,2294.58321941367,1404.74385215338,1323.14821772552,-174.914438622158,0.00696096988394857,1.37796580791473,0,893.171245108153,800.389560369366,821.569493678818,12.6582589138785,-221.269710297298,205.392373419704,-36.6982752748497,1060.46062244218,-1817.42116789793,-1926.61084651877,126.548528758078,1.98167303756971,-3.86371312411132,-83.7394105314987,"nonveg_899","absence",1,0,0,0,0
