"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NIR_startSnowfree","spectral_green_endSnowfree","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDVI_changeSSES","spectral_NDVI_changeLSES","spectral_NDWI_annualMean","site_code","presence_absence"
-750.044168673561,-302.697667767673,-318.349121118434,-204.792125770122,-2332.18885421649,-1578.92725767598,3744.53003527915,4288.20931841761,467.128826772967,871.278078288244,-302.697667767673,666.682639933044,-10.0560882242538,-43.9639985070599,3769.70494018671,"nonveg_1367","absence"
2045.6877002811,2272.86842633096,2481.26025357891,1566.7545251008,4617.32017429636,2814.97801631455,-4741.5887050664,-4780.31984601629,2055.63032776436,728.073138281516,2412.25844087759,1002.35837249688,3.1519310124142,-44.881964194636,-4497.14299574859,"Canada.BonifaceRiver.LSA4","presence"
288.823837223031,415.13231544126,474.611804963573,794.24331525495,724.867205945948,1243.76790203472,-1434.80089873693,-1444.5003880003,2739.18670996712,1205.69100840543,415.13231544126,897.589436635644,-59.0773835328314,-13.6948923631551,-1230.69768406104,"nonveg_560","absence"
556.170601552451,1226.858461605,820.598889147609,1595.85054261495,1681.17931436863,2444.22528102307,-3189.22495960801,-2683.65991867189,2410.99169451951,967.626761177716,1226.858461605,1039.6799410625,-7.00419624143632,-68.727012271182,-2493.44780968084,"nonveg_680","absence"
2375.34107501122,2706.94665232466,3166.4396399336,2305.54541333463,5511.1920762833,3939.99924334577,-4871.13632397216,-5357.15077295242,2360.65875130278,766.366705638642,3111.95397658915,610.257358349184,-18.830594140387,-28.628794701697,-5207.06726543036,"Canada.Yukon.UPPERPALDO","presence"
2643.65757478658,2335.2340248041,3211.50006164945,2057.22890532001,5684.52619237279,3833.36087032831,-5564.27416269474,-6275.39824931865,2135.4322360417,630.104943426826,3022.06926265718,1820.93747723852,33.0303026517096,101.563143632576,-4865.74037822085,"Finland.Kevo.10","presence"
1495.27822614773,2144.45847295958,2532.2054512649,1746.37237960133,7307.71714574675,5405.26497125158,-5632.4545275535,-5866.27099501057,1258.48473946603,303.260313310264,1913.7290104304,878.047396713303,27.9526592859374,-10.4540853702939,-5781.8772389907,"USA.InteriorAlaska.1","presence"
1478.18830694078,2114.54146827042,2761.59531506104,1730.56565680474,4796.42002226198,3272.69947060383,-3782.04935069825,-4359.34042906581,2125.85589213203,702.132125551346,2309.01088037721,2234.12279251027,70.013431260293,-18.3975550613446,-4465.7336564539,"Canada.Yukon.WHEATEAR","presence"
121.72469199884,479.57329712668,193.223794146057,50.3204085827588,703.882278368703,453.757463058735,-1012.37577832091,-977.840512975386,1431.12234523052,916.310396320001,139.813451855158,429.252888543921,8.97626831623477,-26.1728667785158,-1408.52676865356,"nonveg_682","absence"
2651.62783645079,3589.5931216195,3805.52457671724,1933.63780880924,6188.55365443234,3521.52408658934,-6657.44927745225,-6690.12912367026,2135.17848706137,506.832656659147,3473.81734003479,2178.79163242646,44.3029824721118,-42.3568129464442,-6199.79088687551,"USA.YukonKuskokwimDelta.15B6","presence"
2558.38346107017,3076.13237924625,3302.46218158706,1604.6168104602,6830.79102187224,4018.95531523353,-5979.25649549554,-6195.86284986787,1518.32173692556,525.298130628526,1902.88578524728,1332.64091177427,70.4517578748901,-58.7991435373499,-5235.64100463446,"Norway.Javrresduottar.EC-Salix","presence"
