"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NIR_changeESPS","site_code","presence_absence"
2565.99365550197,2350.52885050268,-5164.38102577283,-5591.6443366601,2857.30545944151,1927.33654588352,-5805.8444752842,4.13243756537063,"USA.YukonKuskokwimDelta.UB7","presence"
-55.7438722017195,-53.1752748132267,3009.3047735058,6213.97415661892,-258.265892791612,555.69022823371,4406.1694752353,1.31829373540128,"nonveg_1720","absence"
-55.7438722017195,-53.1752748132267,3009.3047735058,6213.97415661892,-258.265892791612,555.69022823371,4406.1694752353,1.31829373540128,"nonveg_1720","absence"
457.209429550342,344.18598292295,-1524.97033634648,-1476.16613159684,383.317589915794,191.408480770202,-1524.97033634648,-1.97585983185496,"nonveg_936","absence"
996.152869443519,-769.291071177989,1030.79249383678,-1489.11391197059,268.388036237265,1765.44394062151,-1489.11391197059,6.65749151500221,"nonveg_1626","absence"
331.242976813304,506.690093312163,-1140.66743701109,-516.579416886757,142.778529971571,773.901907039527,-1140.66743701109,-21.7236380695736,"nonveg_848","absence"
930.091287297699,432.356432308725,-1569.31387745545,-939.261555925471,432.356432308725,866.801794656904,-1569.31387745545,-28.3501648217053,"nonveg_866","absence"
2925.85601922273,1863.39240368558,-5438.33856574918,-5345.69790761483,2976.01895790988,1251.35743686949,-5606.60277867599,-0.313758959998628,"Russia.Yamal.Kharasavey-1","presence"
930.091287297699,432.356432308725,-1569.31387745545,-939.261555925471,432.356432308725,866.801794656904,-1569.31387745545,-28.3501648217053,"nonveg_866","absence"
1977.10180211099,1606.85481500259,-4764.0225743018,-4882.02018050801,2118.82681830175,1175.61118764968,-5023.39271228078,18.4540098961116,"USA.NorthSlope.Sagwon-C16","presence"
