"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_peakSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_changeSSES","spectral_NDVI_annualRange","site_code","presence_absence"
1701.64571463598,1998.23267722383,2103.30348554401,1184.23620791439,3620.09756559487,4038.38138448204,-4385.15295752295,-4958.56082372667,-5244.89256071089,-3530.35417233897,1.51456912358602,0,1976.89174359277,42.3788349913307,2242.30991421472,"Canada.BanksIsland.GreenCabin-C11","presence"
-127.272701267179,105.04051984112,750.536596791654,539.713650217104,1579.87232590427,1457.89811374167,-2770.64932633513,-2332.45932233572,-901.271067504485,-1269.42185938307,29.5159206390381,0,539.713650217104,9.95575713009285,1830.0856926835,"nonveg_790","absence"
815.138594578454,838.218625940191,1093.96215989463,547.191178435071,1522.41765227656,2272.89584931956,-2740.70793066646,-2818.10345436112,-2497.72873874806,-1294.56938842458,1.93509828127348,0,1055.11921988094,51.1337541641668,2497.90520793351,"Canada.EllefRingnesIsland.Isachsen-C01","presence"
3227.79902225108,3585.37985473836,3817.59297757355,2169.05905825286,5175.39928336839,6170.79943941292,-5733.63768739518,-6378.78517983809,-6260.56051011259,-4777.93717988964,1.81401193141937,0,3503.77121735589,32.3854205979825,3277.92125162148,"Russia.Yamal.VaskinyDachi-2","presence"
-167.013161442285,744.445199729088,357.856204926968,249.215410663313,651.268869410539,526.756322090833,-2215.17294334159,-1144.11621969363,-1546.80924411354,-995.092124911896,0.450459480285645,0,357.856204926968,9.07922640394626,1257.23552508353,"nonveg_733","absence"
1330.39947081325,1759.25467470902,1590.77708176288,976.9126000929,3587.33441964093,3537.17953056556,-3997.33106979521,-3780.71012508613,-4017.42564480812,-3073.22888923873,2.68563556671143,0,1295.26085510883,31.4201576045749,1753.45914220393,"Canada.PrincePatrickIsland.MouldBay-C05","presence"
1120.55336442335,1471.11938436451,1424.21422432379,782.855539752265,2218.60909970281,2798.66865577517,-3132.1231777374,-3032.50550974229,-3393.64909569158,-1406.68192411883,4.5703649520874,0,1411.47732804029,15.9374746684566,2612.02248577065,"Canada.Ivujivik.TP12","presence"
-114.937115781905,-233.705739126324,718.898922275004,592.621878749686,-921.279216346241,1549.16364391069,346.139675159876,-2999.3235711954,-2501.49631609085,-1366.02578832535,31.3636989593506,0,-114.937115781905,-68.4847753015928,2470.44286025693,"nonveg_623","absence"
1614.5257834717,3446.48784107903,4385.94902473932,2265.79235984612,5857.33856070086,6233.11467482225,-4328.28658477548,-5094.27194180894,-6489.9672640562,-4255.16471607174,8.38183765411377,0,3155.91570993508,69.1283129474126,3296.34569786333,"Canada.KluaneLake.Outpost-MixedTundra","presence"
44.7774725965546,-262.405406057341,139.085800673739,-96.0484518712967,11.5732352414462,124.225394589835,-822.163555672633,-1240.07654109101,-737.752973591261,-872.424311693579,4.21474647521973,0,44.7774725965546,4.55896369164396,484.860149100842,"nonveg_995","absence"
75.0888438522455,-219.72231005039,184.449735357647,349.387712920128,342.400573837289,603.102749950655,-854.730067471219,-1292.89654829194,-772.511540189935,-570.279236491038,23.4449310302734,0,75.0888438522455,-12.5835544431464,738.935779217888,"nonveg_870","absence"
2633.95156988458,3093.18130988817,2891.38311269409,1756.96417451588,4497.20602454488,5589.97800220942,-5383.37011421152,-5638.68814841188,-6346.01205719008,-3638.58199183474,1.83251081572638,0,2672.92549694169,11.1644338613207,4109.77697152478,"Canada.PayneLake.TDA2","presence"
2193.23891154197,2337.2151575748,2563.88940137692,1851.36113220231,4020.80958297003,4761.30078195849,-4579.60524112617,-4815.87608640599,-4864.01449072315,-3089.99838441663,4.25285161866082,0,2108.39141252627,16.4616477712914,1853.77485980804,"Canada.BonifaceRiver.LSA4","presence"
575.051619971185,65.9226618744376,4.37125222520837,168.63626089327,980.52801190928,430.117867049072,-927.721248636238,-1722.53079741656,-1823.28935786626,-1579.33926573427,28.9488277435303,0,168.63626089327,47.0772582703208,720.497667748297,"nonveg_972","absence"
198.345009147375,695.613527953599,678.988864851952,-48.9661504649054,1665.62734584207,1108.41367313662,-2651.1809728297,-2154.08045776032,-2426.14588271735,-2556.14792814172,1.70387876033783,0,678.988864851952,35.5394461598166,1739.25354946928,"nonveg_849","absence"
-114.944393728238,2.13975210844231,32.4860656929645,-23.638722812797,-333.42464826922,299.756932509121,-216.28311438047,-549.372542000778,-742.712857227441,-179.511276325152,31.5680522918701,0,-23.638722812797,-18.7856154841262,633.181580778341,"nonveg_1089","absence"
-496.371862905276,117.881139735208,-83.4030380629954,-324.714681120017,3041.24024917385,4077.44500213416,4771.18077115103,2359.40882207524,1090.55850374285,1809.85678646701,1.11918592453003,0,-176.854510687295,5.2807203725972,2904.47505944041,"nonveg_1880","absence"
2896.14334438772,2947.8682267046,3264.96631480297,2128.36869877021,4943.85303049668,5589.65496611648,-5469.18655661099,-6037.83301690955,-5608.8865254372,-3975.55008080472,0.121537451446056,0,3147.24113206206,34.3346485935062,2858.57419036397,"Russia.Yamal.OstrovBelyy-1","presence"
2839.15456545678,3779.32302674411,3994.09135235842,2413.90478932289,5234.14010838014,6416.08111221716,-6466.24769306684,-6491.68147783138,-6629.17589260327,-4201.22548432082,1.24030292034149,0,3362.25164567515,17.5014780187177,1935.8442233497,"USA.YukonKuskokwimDelta.15B6","presence"
1854.36265713143,2946.87196676403,3559.47403133407,1362.84933492915,5663.3705343495,7053.44463294261,-5932.4130033565,-6300.44206534946,-6477.49117531271,-4104.63769108348,1.41311900350783,0,2450.45364463942,19.5335052147311,3712.75613909513,"Canada.DaringLake.MediumBirch","presence"
1139.56629099216,1238.07771461081,1156.95736564975,773.073517241016,2101.10357771045,2518.62727975219,-2872.28838543235,-2875.09114362324,-2955.00161632477,-1174.55543800227,1.56329137086868,0,1092.74321123041,11.9753987498999,1450.81730678435,"USA.NorthSlope.HoweIsland-C13","presence"
-26.7774268294265,27.2640488492696,440.898066573927,-316.448852670578,725.705083755699,1088.69079907019,-1573.45922410649,-1821.72248403159,-1457.91267838269,-1326.02726222011,5.99322652816773,0,27.2640488492696,19.3638963685685,1262.22579221953,"nonveg_542","absence"
2753.24343282885,3071.96040434894,3252.9549363904,1498.19608249524,4823.8350390533,5463.46627294275,-5312.12927818799,-5935.06631117498,-6155.74411285404,-3289.75167682966,0.973909676074984,0,3133.30519931736,55.5625175134976,3429.39502130097,"Russia.Yamal.Kharasavey-2b","presence"
