"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_changePSLS","spectral_NDMI_changePSLS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changePSLS","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NIR_changeESPS","spectral_NIR_changePSLS","spectral_NIR_changeLSES","spectral_green_changePSLS","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2506.46912976676,2441.90627829339,3308.62315010721,3373.11313965275,1836.44905688769,1630.11819356637,4640.33625159981,4535.32134001346,5736.94734607519,5918.21047517845,3291.96244363332,-5117.9470724928,-5790.3289521236,-5502.60933128544,-5742.36157511978,-3265.8478958947,719.121354956662,3.11257595486111,0,2502.07811372719,2464.95767359917,1758.52887912888,24.0354157335255,-34.0391621965863,-31.9750999282969,4576.07394401339,4431.25695613755,3165.62678159687,-34.4690769733827,-4576.00584374421,-4554.96163369794,7.28744206744916,-11.4495413104232,-12.5157509082556,-12.1770392834168,-6.24393241261233,"Canada.BonifaceRiver.LSA6","presence",0,1,0,0,0
394.999151852533,485.985666621563,923.01706279929,669.865920928813,521.23300193775,-2.53321697929636,539.807355054702,690.255174875358,1296.23017579521,955.061680303856,716.58144390071,-1476.18252816604,-1468.67494704253,-939.975672653838,-1190.12464100053,-684.125890184429,2604.05820952558,0.450459480285645,0,521.23300193775,599.02016082799,528.017910946757,-5.0493540034087,70.0272590536709,74.7709171435339,716.58144390071,839.587165985967,756.422820740508,113.722831830452,-1190.12464100053,-1151.81673580947,8.21965190573407,53.4446822702146,-92.1608620223794,18.3683079845609,-39.9958859318179,"nonveg_733","absence",1,0,0,0,0
169.345166789248,414.370418012347,-224.959538778585,-129.003016112897,-91.7844085562071,1094.82272228069,311.640041993335,383.845716723047,-241.668732367729,-44.4422933741394,-304.123310033822,5.28702533384535,-443.653184453804,-1135.43232163465,-975.040871592527,-189.693078380979,1109.28968505647,29.133918762207,0,-91.7844085562071,27.593724270781,639.329956790932,4.50223405768025,-9.97396819175576,-12.2289402584132,-44.4422933741394,21.0502845881382,687.969026756869,-15.1712645379684,-443.653184453804,-547.706486145623,-10.56569097893,-18.7130816285845,30.1303085143438,-11.9097569913166,7.08424620906186,"nonveg_875","absence",0,0,0,1,0
2538.2504485246,2421.48975803425,2968.67071567002,3009.22629333666,1650.49173542191,2720.30057559815,5028.54591899055,4849.11328989834,5720.95371968755,5678.29876703835,3577.51909664284,-5402.56891058201,-5711.54908580158,-5747.89895891038,-6153.58010744217,-4974.64800873662,551.370455228893,1.05868991836906,0,3083.95180713035,3020.03835854664,1265.62531828655,30.6292770443442,168.90270200259,181.073023263873,5344.05144925583,5186.07023246303,1625.65233190332,68.80993764563,-5405.13941798212,-5869.38987271777,-10.4855465895564,25.9722684624796,4.54657504921445,17.2912305070131,18.2031180285034,"Russia.Kytalyk.T1","presence",0,0,1,0,0
2928.88358607109,2101.76334361748,3436.09124500565,3784.27894420048,1725.82282213655,2822.60726814407,6338.08583522792,5524.72888585504,7375.64796879199,7537.8598147501,4470.90223996767,-5952.23627354793,-5836.67813187293,-6003.29449022845,-6636.81400475392,-5210.448352584,490.956975865382,0.217862104376157,1,2574.91663490077,2454.33279782182,2824.63739909474,44.4977556783568,16.6875950703709,7.81302053434174,5637.72355577354,5629.11879916928,4513.92023528201,-3.51707444418186,-6580.92171282595,-6487.41470585442,11.9581527806685,-4.53851037511334,-31.0350147109673,2.43304013981451,-5.88852423775343,"USA.InteriorAlaska.5","presence",0,1,0,0,0
2767.78931315175,2543.97596108364,3104.50429606358,3618.15684216615,2064.66074859468,2588.60439115777,4570.01779853688,4621.10339491762,5147.4903184168,5633.17014584572,3663.50675656002,-5331.53934391412,-5401.40790426214,-5910.33797003129,-5945.97067508993,-4813.00067279563,792.792139210128,0.494099560711119,0,3224.83830237391,3005.72064290183,1689.89673066894,24.2753258518605,-22.2958789362573,-20.334604596265,4972.32137475585,4789.51866943214,2267.04085607403,-25.0488519459513,-5712.38060175535,-5506.25905174314,2.45013012123877,-12.6649851484883,-13.0187646252472,-3.79080010431532,1.36904360184649,"USA.YukonKuskokwimDelta.UB3","presence",0,0,1,0,0
662.237702946703,50.6832461482715,1047.10816889949,951.04359820753,1146.28175511116,-955.126992614557,1652.97638038021,1157.76720606279,2430.85261889773,2262.9004736557,2035.1765244791,-1742.17663830979,-2913.89706288038,-1593.21424107782,-1704.50900303791,-505.730282602238,878.970190454918,1.49521458148956,0,951.04359820753,771.470894262632,1095.59850896289,-12.4113859529348,22.9708867010602,18.6271063419039,2035.1765244791,1907.9346406951,1273.08541283495,18.6613494713376,-1704.50900303791,-1691.90544558163,4.34384857772505,8.33223709840809,-79.5672259958256,4.83278073801259,-47.6718961898472,"nonveg_576","absence",0,0,1,0,0
2682.81775358451,2761.07764984966,2837.35443201023,2969.53341560041,1474.04239269824,2999.68248711397,4616.17138326145,5054.7132893803,4879.4431836612,4963.36527034352,2227.41587741245,-4461.87641846703,-4640.13718030078,-5651.08184611353,-6010.19698777715,-1871.74615048889,651.375409123442,0.826613306999207,0,2989.44782946041,2680.49570690115,1834.31350184526,56.6662230967922,-33.8950880022869,-29.4616812769892,5176.89388375223,4642.0506890863,3254.73792065994,-41.9802207812321,-6404.96100615985,-5844.17860654418,-2.48622782218992,-11.8926385386988,-7.03963784427732,-3.63699962209357,8.57262624057838,"Russia.Yamal.Kharasavey-2b","presence",1,0,0,0,0
878.766325510648,1355.15416096192,779.961715289569,812.441871286039,114.201228988216,-921.204535194422,2102.04831800519,2759.90882767773,2132.01973378693,2203.27774054453,336.136214066085,-2274.39417848031,-1857.14849304927,-2592.82338849791,-2756.06182858064,-736.643916842558,745.721825262976,6.23371505737305,0,812.441871286039,788.105060407279,1240.95293197371,14.4257565381591,1.91255188123887,0.877797337378092,2132.01973378693,1906.67816681609,2423.77261361165,-3.56290033788016,-2274.39417848031,-2043.41436109014,-2.31053867585878,-0.761264523033276,20.0849172719751,0.518715906049965,10.5580902857371,"nonveg_619","absence",0,0,0,1,0
176.708254771846,-271.633287931985,514.179475642085,51.8372194236436,-583.31019332774,5058.0510161458,-2368.46699427491,-2906.61656280471,-1277.16511435617,-1586.34559350011,-5687.34805779872,5994.26132649593,4892.57558621083,4845.16596567545,4135.37338074029,8356.00201319379,295.698752098249,0.028717489913106,0,51.8372194236436,-22.4437062844301,1097.48966896982,25.3339482699862,47.8832916113099,71.6380865619589,-2368.46699427491,-2765.18846454693,4410.18294344255,20.6120319429295,4892.57558621083,5644.67565446326,-8.94403154261372,27.3326810853623,-27.2034513127332,15.2811288202773,-9.72958149784926,"nonveg_1810","absence",0,0,1,0,0
