"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NIR_changePSLS","spectral_NIR_changeLSES","site_code","presence_absence"
2266.70475616556,2915.3608572614,2876.26822910726,1741.65747331226,-5322.95539951872,-5549.27321243406,-5679.76198071264,-4578.4167472852,1.81895989841885,0,2817.73352506221,3140.05679531933,-5587.75969766441,-33.1081937534542,12.434678674785,"Canada.ChukotkaRiver.TH1","presence"
906.504055021211,1181.45922349269,1257.22895244829,622.937437687078,-1597.04669081399,-2580.82330543626,-2859.85481421198,-2235.27332128081,0.179700762033463,0,1181.45922349269,1157.91863901001,-2580.82330543626,-0.308769492434465,-7.89777192807932,"nonveg_507","absence"
2534.57678534005,3308.95535335153,3666.48314805188,1968.52470101192,-3696.45023842119,-5192.99912208652,-6225.45311782063,-4774.92106745763,1.40355360507965,0,3421.882621962,2402.13479054344,-4854.12465546932,-10.9367980238686,-9.46199703893659,"USA.InteriorAlaska.24","presence"
425.129773278787,-7.34617900884825,-313.674289992656,349.361801538701,-1198.56522371975,-754.601031076487,-1617.64452289232,-221.173756031959,28.9719467163086,0,-7.34617900884825,738.804063271443,-1198.56522371975,8.87546078277605,17.607229156783,"nonveg_932","absence"
1700.24247709643,2646.29937091069,2165.39026383802,986.358859236803,-3628.46632085561,-4766.58075806868,-4874.99616860935,-2357.51946054598,0.252589126427968,0,1889.13056776055,959.383465687799,-4272.33879268411,10.3622716760298,-0.673761118784179,"USA.NorthSlope.13","presence"
2604.90785671167,3044.30136585855,3408.05885833228,1819.49154459833,-5494.98125099616,-5273.59010852798,-5752.16918138715,-4648.97582047275,0.10163414478302,0,2922.20182900598,1756.96655497416,-5483.97315184993,-30.2819589079403,38.3176049792344,"Russia.Yamal.Nadym-2-IH","presence"
2.10333160460988,180.035244582468,253.118834948542,-963.287285189603,-2427.65227394952,-1557.17392682825,-1071.28347629406,3315.93098464521,0.923214018344879,0,180.035244582468,1216.40612013815,-1071.28347629406,-9.8928632997538,-35.8639019754268,"nonveg_1888","absence"
-175.68292347037,726.769778392579,281.911273110192,-633.466042676722,-1309.19891395637,-2020.53025042343,-1489.51873162864,-1624.26156366945,0.0436437577009201,0,-67.507090331313,1360.2358210693,-1624.26156366945,21.2921091713407,-36.6755048331106,"nonveg_1654","absence"
2991.95703467697,3286.67841452459,3340.76092868949,1612.90922851875,-5078.42125286822,-5613.74093210413,-6075.90665708604,-4333.45101198772,0.848267376422882,0,2692.21517886218,1756.45338273132,-5693.41441124294,39.3814210330698,-15.2247495949923,"Russia.Tiksi.WetFen","presence"
2987.69843317126,3815.56327700143,4418.08444897767,2313.49977632121,-6208.07135374445,-5830.31252921128,-6502.06505945467,-4595.80602617055,8.42851320902507,0,3115.1321947376,2613.09328332581,-6545.40536294799,-6.25330503088477,-5.08562642303652,"Canada.ClearwaterLake.AB3","presence"
