"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_startSnowfree","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
-125.375312291763,429.350379584728,-172.925134937577,-3719.48646895114,-2057.11801315344,-125.375312291763,758.869344412638,-3200.8122428742,"nonveg_730","absence"
1560.86103520364,707.691497326852,8.9013362631386,-239.894320748236,-1269.81539746983,438.686969060315,1551.9596989405,-1127.3451841838,"nonveg_733","absence"
2883.5365677913,4355.63895331142,1832.73386898285,-7753.76213289137,-3141.42307448933,3007.94256643201,2826.45038014965,-5493.3444034794,"Sweden.Abisko.VJ-Wetland","presence"
288.663672941998,-445.734395291111,494.397665302799,-1493.97816367494,815.994049515356,288.663672941998,1121.11554537521,-987.744538479296,"nonveg_1473","absence"
18.9350079089523,523.415496584562,242.488807226966,-1929.8745816422,-1313.67040573512,291.820830458786,868.756958158614,-1644.85286719122,"nonveg_922","absence"
2869.09529958034,3649.32927810741,2006.9720631479,-5608.51816372189,-4768.31614407066,3288.98732386383,2073.5058259695,-5949.79099856517,"USA.YukonKuskokwimDelta.15B1","presence"
2913.23317448507,4166.73721695579,2526.73457764994,-6073.50926307591,-5478.96351566961,2985.02962314936,2419.95224137445,-6181.42017949425,"USA.YukonKuskokwimDelta.72B1","presence"
1421.3705589942,2593.346937674,1119.37234433854,-5367.2844889666,-3820.95642830547,1802.27512462501,2253.13658857101,-4880.24863507462,"USA.YukonKuskokwimDelta.1","presence"
1582.9411804049,2720.48664819101,1078.94236918935,-4512.1141645563,-3524.54579839511,1742.13340455599,1768.55696638368,-4666.48472541583,"USA.NorthSlope.FranklinBluffs-C15","presence"
-545.107340895624,409.978528487489,-655.453983163679,5010.89421540712,1846.50074793698,-94.5514153482471,1065.43251165117,3297.08406159734,"nonveg_1736","absence"
1000.79051250853,-44.5895795942834,247.570323202154,-741.837152283779,-1865.73888096773,406.397740365617,1045.38009210281,-1672.47373695897,"nonveg_695","absence"
2653.05193470949,3332.20488934634,1563.46405036924,-6092.01483413625,-4946.18344678011,2662.13115177049,2599.93503243617,-6123.22187311428,"Norway.Javrresduottar.EC-Sphagnum","presence"
85.7381019058979,279.697814109797,1144.83499006929,-3097.82312400228,-971.412295338326,618.944252742616,1059.09688816339,-2179.976041513,"nonveg_663","absence"
2945.142453854,3527.81632260491,1760.6382158326,-5969.16157679441,-4360.69911281942,2770.75735804295,2422.96438544105,-5417.82987861861,"Russia.Tiksi.WetFen","presence"
495.835526639493,303.077835293048,277.752988357416,-1952.93825147163,-1141.87990438756,422.457152499964,218.082538282077,-1803.29886430793,"nonveg_935","absence"
-94.8502313265764,-13.3472548619506,106.113653975093,-1031.8096541997,-770.15443971027,-13.3472548619506,743.086541837113,-880.688041479925,"nonveg_703","absence"
-314.615466021961,543.032164870369,-51.7522078959338,-2621.64818132692,-1414.09386927316,543.032164870369,1314.18793122382,-2106.78226662996,"nonveg_666","absence"
20.8769259654025,461.510223583304,406.026496714963,-2447.02935927688,-1515.62977327681,427.752371713232,606.468708176159,-1919.60330530878,"nonveg_968","absence"
1993.24478689015,3342.4802459667,1665.80976936623,-4741.29405746608,-3955.42940850427,2482.4514642993,1920.39263717273,-4696.05982163895,"USA.NorthSlope.Oumalik1","presence"
634.988745999484,1316.00694127103,405.002937028731,-2351.34151793228,-2163.39156549414,634.988745999484,911.004004242302,-2335.25259251401,"nonveg_575","absence"
471.028010970932,601.050562876599,283.22150215091,-205.95572076692,30.4782109651836,354.311057974966,678.495501418758,-490.214360748277,"nonveg_848","absence"
2870.90088368978,4277.85379696994,2795.4021632327,-6592.7794003942,-5821.91444108823,3823.11395884,1609.42145236154,-6754.76784609765,"USA.InteriorAlaska.21","presence"
365.292527793492,430.87391683714,113.791051136024,-82.1769636867768,-1689.01681726308,365.292527793492,768.458929913659,-1298.42529578121,"nonveg_919","absence"
1117.35074606076,1288.30058824821,495.528059196728,-2733.80159227689,-1351.56545869309,1432.47666034141,1263.85805217532,-2200.18432359834,"USA.NorthSlope.HoweIsland-C13","presence"
2656.62755105268,3967.59680149693,2782.38246334143,-5765.14794061181,-5115.19679693155,3608.11397923465,850.054852397719,-5485.21308321141,"USA.BrooksRange.6","presence"
2764.55382398109,3540.82167727139,2053.91151249346,-4935.88032512087,-4181.94705410905,2814.48278540634,1648.44936959332,-5162.2323262834,"Russia.Yamal.Nadym-2-H","presence"
2645.74329701834,3458.21588226847,1599.05730280365,-5621.50012167375,-3076.0711319807,3073.09594258921,1881.22916420104,-5498.13556185589,"Russia.Yamal.Kharasavey-2b","presence"
423.279381465592,789.24686134839,158.964461975809,-1823.36607351031,-256.40023929524,72.9608129106128,1736.69658351208,-1931.90660537899,"Canada.Ivujivik.RTP13","presence"
446.450962970333,564.41733924508,692.333941570392,-610.055664996328,-905.320039784822,524.297151041182,587.054700625797,-1074.47495737309,"nonveg_682","absence"
859.014121968304,50.5923494533422,963.750375742886,-2027.51458398554,-1504.6450975028,859.014121968304,955.930436365553,-2337.28760072736,"nonveg_986","absence"
1002.0757343848,1193.39403213536,843.708402827005,-2939.89779246212,-1696.07639635441,1242.24776765512,943.934634856168,-2306.04001189544,"Canada.BanksIsland.GreenCabin-C07","absence"
