"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
3620.72390494532,4764.56192353266,2217.4294806368,-6745.6819256409,-7091.47508424299,-7296.56932922198,4063.21383740588,-6854.54998912606,"Finland.Kevo.14","presence"
-218.349678885841,22.5696820131298,-584.446966795135,21.9184961419052,123.781167959897,191.112292737081,-191.895182955014,113.764044448799,"nonveg_592","absence"
701.63306253235,221.791384480747,373.440301166655,-1735.01166120917,-1679.20770465711,-2327.69030071908,373.440301166655,-1967.50059371241,"nonveg_602","absence"
662.830154892035,-205.881913627111,-940.124652253869,10000,10000,10000,-205.881913627111,10000,"nonveg_1236","absence"
2807.217722334,4073.30018393305,2082.86266383069,-5528.99317128641,-6272.13730172124,-6167.90264706557,2735.11303753657,-5720.45425491114,"USA.YukonKuskokwimDelta.B","presence"
-661.602379749831,-51.2906353384255,-755.999109597206,4478.0469790812,3379.25193353146,4025.75072887444,-672.378464903834,5029.43756991703,"nonveg_1810","absence"
1486.20772974361,542.407803581313,-946.659981466706,-2195.85435942225,-2747.37942466708,-3498.07641384729,971.233376465566,-2998.88331240782,"nonveg_680","absence"
232.091887259245,761.399450916353,400.32966380032,-2593.06356507347,-1711.797577147,-2284.22195073593,761.399450916353,-2010.19147524351,"nonveg_849","absence"
2696.76737309662,3274.69741071675,1923.68349023287,-5478.49386324603,-5904.96119343031,-6023.69548195094,2546.89398086734,-5467.38652780847,"Canada.PayneLake.TDA2","presence"
3323.23214381707,4653.40051146256,1721.45773420916,-6321.92203747976,-7231.93306307438,-7496.8639612909,3606.36497374139,-6200.88920491046,"Finland.Kilpisjarvi.19","presence"
65.1840827943269,122.369816909711,118.312916295126,-1440.68445629128,-1434.86807888474,-2080.71425392591,118.312916295126,-1143.9386636778,"nonveg_903","absence"
