"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_NDVI_changeESPS","spectral_NDWI_annualMean","site_code","presence_absence"
-80.1725368720353,-118.073041874591,454.626579566807,-373.122654777763,81.1911209724378,-694.711622922339,-681.802923114467,-1063.41352301037,-1552.13266863656,-666.238663012735,195.693404720146,0,-80.1725368720353,21.9424089245233,-753.578874610797,"nonveg_842","absence"
-415.870895321004,836.621679889159,1458.46813036597,251.957156358013,865.782298064394,386.099847097136,-1859.15903275266,-2898.37041159066,-1532.10118016598,-825.983515849356,-1876.69752384423,0,619.431890882684,32.5667787892171,-1798.46233284058,"nonveg_624","absence"
2774.22680454157,3786.8124491812,4332.38544126358,1991.79957400972,6123.31681413272,3931.28012354548,-6334.12345313336,-5860.71047929376,-6930.0403236589,-7184.60366464091,-4617.08093081602,1,3905.3014611057,27.8388889254334,-6083.34048642413,"Canada.ClearwaterLake.AB2","presence"
3229.7140975248,3333.30565872789,3567.87301115412,2184.64630526321,5606.38748325694,4491.6557171035,-6377.34011261396,-6048.27970774881,-6703.05489978264,-6678.7604306891,-4941.83540332552,0,2837.08690528148,20.9566126268951,-6344.69324802902,"Finland.Kevo.5","presence"
674.908585737721,151.691266262481,266.262761794845,51.8469707552332,118.23377040374,117.392292119162,-1931.89987792718,-629.976555820484,-1807.4167400246,-1728.50035935606,-1223.73178818039,0,151.691266262481,19.907816510049,-1464.30506426174,"nonveg_775","absence"
367.406711493617,818.005088007992,652.091954373551,1264.49355451674,108.528887386519,1462.26553027141,-2475.36999471554,710.63615045483,-2204.56914946829,-2551.98085211729,-858.307343889411,0,652.091954373551,44.4669846353706,-1475.91823794714,"nonveg_623","absence"
73.7791149448333,-216.482597651146,888.246362474668,415.539553186605,470.855621883502,668.404986857033,-1564.28781155449,-1812.95757023919,-2327.76270408028,-668.282878368146,-971.1054252757,0,239.22094311971,18.0772128834961,-1468.87927790356,"nonveg_956","absence"
3155.75809632653,3600.64752977964,4083.53124807828,2295.69250031095,6304.75304006881,4635.70673122501,-6191.62990415545,-5964.6742966962,-6740.28685209381,-6659.91704707049,-5432.75868204036,0,3240.71786574152,15.3129908294954,-6080.08997486857,"Sweden.Abisko.NF-BirchShrub","presence"
2593.27504482744,2914.50321252992,3062.52956299105,1864.97911624622,5186.88038375455,3477.68492114208,-4951.02465221337,-5745.41778893506,-6245.10292186741,-6501.71134576824,-3571.06975497756,0,2949.91782030357,19.2238645620702,-5182.87051206971,"Canada.PayneLake.TDA2","presence"
1045.65423956105,1672.90867883833,1075.3072933649,498.766498763424,1854.47134501653,1358.77981779781,-2536.41580311385,-2247.57837232915,-1832.70811158897,-2602.06706237936,-1824.52277735625,0,1045.65423956105,22.9879865361976,-2208.65842535352,"nonveg_612","absence"
560.704819681578,722.644458851925,898.659428095556,911.99411212427,2210.68911329952,1223.39637381957,-2559.40180058293,-3451.91298207726,-4025.16962361753,-4083.08484775913,187.443927672627,0,898.659428095556,19.7192287082188,-2786.42506527284,"nonveg_671","absence"
2045.57803249011,2783.22725371567,3419.44833946695,1648.43459854109,4213.87234236713,3150.38248384709,-5167.60694424688,-5596.55567183476,-5567.84711058064,-5209.37168243723,-4234.75596251694,0,2018.97008784948,46.8727892243242,-5339.76343992299,"USA.YukonKuskokwimDelta.15B7","presence"
16.2109248871796,10.6764851443722,657.798364887348,310.189162753717,1154.49645768463,966.154411753827,-2275.20170280365,-507.719940805342,-1374.71323246986,-1560.21937618102,-1449.60048474243,0,264.821090455423,18.8024118615642,-1433.49094740046,"nonveg_919","absence"
439.577704935103,113.719091619107,443.169337707224,-2265.40184135683,-2951.73125248987,-7895.66848803762,8654.19120976989,9310.30471418748,8098.84768570698,7510.81024739063,10000,0,113.719091619107,66.2377802502236,8714.83077141099,"nonveg_1797","absence"
2723.42420345418,3555.16723248334,3895.50241408575,2672.83272507408,4510.97633306774,3982.53788906193,-5156.24425456017,-5805.55566040386,-5717.5951457829,-5571.00002825343,-4323.91511831545,0,3031.3617111522,6.00051703677419,-5529.99167661778,"USA.YukonKuskokwimDelta.UB6","presence"
2593.27504482744,2914.50321252992,3062.52956299105,1864.97911624622,5186.88038375455,3477.68492114208,-4951.02465221337,-5745.41778893506,-6245.10292186741,-6501.71134576824,-3571.06975497756,0,2949.91782030357,19.2238645620702,-5182.87051206971,"Canada.PayneLake.TDA2","presence"
-694.688955257723,766.910505449283,-621.227456335257,10000,-264.671978574668,-588.026523196476,-686.84168913026,-1210.56224454766,-244.225215536692,-1641.18878317089,45.7529892128943,0,-363.783021889027,4.44167788707808,-747.412988634521,"nonveg_1241","absence"
