"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
3281.77682772656,3602.19763156219,2586.01458426405,7869.65431813464,-6819.32516242736,-7254.99447265832,1722.66904606299,-6654.36652325996,"Finland.Kevo.7","presence"
678.719646198863,386.43076253629,-650.487575889661,1684.70563179869,-322.286022341029,-1093.23959959574,1598.27839487506,-1093.23959959574,"nonveg_682","absence"
1985.09262170083,3099.77356920115,2550.62457059033,7479.9267111502,-6530.43659779618,-6118.39462209163,1572.31037444881,-6450.24054034425,"USA.InteriorAlaska.22","presence"
1272.85846569827,1161.57461917331,742.612553036649,2337.80712080312,-2305.72844350045,-2660.36861189688,598.870306563692,-2540.76865636321,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
545.656298871938,99.9992076664986,42.8472336522677,442.093529627642,-1210.12087276039,-2696.07500351026,502.80906521967,-1339.61589491146,"nonveg_792","absence"
939.375232474842,799.545701153908,1689.59502652219,1971.20838782957,-2779.92494063597,-3140.07173326462,904.888814891311,-2779.92494063597,"nonveg_680","absence"
2330.98338976606,2869.11095561767,1183.63787354306,5959.52116618455,-4934.78716118056,-5780.22866774557,2369.43260819759,-4135.85089967175,"Canada.DeceptionBay.TH7","presence"
2351.30265912601,3245.74218740374,2208.71653586032,5581.92247402084,-5816.28736802877,-5820.8679354027,1505.90986227701,-5458.61683372707,"USA.YukonKuskokwimDelta.U","presence"
33.1741974654746,-315.576124554512,905.592395598169,872.683769481534,1204.41410233425,-1846.97266391396,1221.16852015268,-1327.075774366,"nonveg_594","absence"
3281.77682772656,3602.19763156219,2586.01458426405,7869.65431813464,-6819.32516242736,-7254.99447265832,1722.66904606299,-6654.36652325996,"Finland.Kevo.7","presence"
604.491025047342,-351.338487666128,-362.830287067401,-1099.14400446987,8106.06795278532,4752.28614195291,967.321312114744,8164.38773877115,"nonveg_1994","absence"
1359.34026094121,2906.17951373546,1224.59370568985,6667.66609436291,-4860.65728715903,-5478.30616665368,2506.10606555849,-4943.1642943207,"USA.InteriorAlaska.23","presence"
1910.63584124091,2510.46183948145,1547.73492419632,5101.84113182081,-5223.75965759752,-5212.49303801036,2037.3735794391,-4884.62067760668,"USA.YukonKuskokwimDelta.15B3","presence"
2215.88681078249,2632.93800939575,1798.01662277921,4771.76530021767,-4982.91957085563,-4751.25648595317,1117.22350648669,-4456.6476356965,"Canada.BonifaceRiver.LSA2","presence"
-239.212289909501,1170.37623611449,-416.616779655895,139.461981649961,-2297.70985216747,-657.198553752277,1586.99301577039,-1757.89853492481,"nonveg_733","absence"
389.156868871955,844.626673126067,665.785379870617,1521.87341764447,-2322.57307554287,-1897.45649123171,561.370197755171,-1958.51458533792,"nonveg_849","absence"
3065.76023104247,3152.50752369305,1732.5414967888,5742.78674900771,-5531.77295387209,-6366.49859866144,1860.41087688355,-5357.74980141667,"Russia.Tiksi.WetFen","presence"
723.127057883642,450.720432855498,617.00060957223,797.34189874921,-886.076303498379,-1407.07283470403,272.406625028144,-1028.1360633162,"nonveg_768","absence"
-265.781330245644,195.858227219663,296.207763630189,679.686931881282,-1067.52178145949,-580.634180283368,678.268054078024,-580.634180283368,"nonveg_1268","absence"
235.580075490247,409.238714963288,-35.4226905021586,771.561154336125,-1386.56903481502,-1363.87970992952,493.135023950092,-1374.02380841498,"nonveg_775","absence"
-276.736769721679,293.450351073494,567.658913360841,618.31113298342,-1401.69071038078,-991.621077627812,844.39568308252,-1401.69071038078,"nonveg_616","absence"
2223.13540363378,2957.28470250146,1648.75626741831,5720.5154946983,-5432.32303529896,-5397.96804893781,1553.22780838248,-4652.12625433085,"USA.YukonKuskokwimDelta.15B7","presence"
1029.53868886497,2038.40139985003,1139.45483879908,4836.24806935773,-5896.42911094293,-5517.81176537075,1110.61472348011,-5189.5567485986,"USA.YukonKuskokwimDelta.1","presence"
3505.76407644869,4338.90780484567,1304.04215101117,8356.11651114873,-5968.6527539258,-6980.41286709058,4370.58291706094,-6328.99422996981,"Finland.Kilpisjarvi.19","presence"
350.214917734429,315.318161995214,307.326540767167,1359.85911625959,-2173.39055541949,-2359.1585408892,339.37334698341,-1883.19258588294,"nonveg_935","absence"
