"spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
6246.48343373406,-5420.0563386146,-5901.63274745569,-5861.90090128476,0,2853.92266809675,1573.51480483066,-5721.17305916767,"USA.NorthSlope.Sagwon-C18","presence"
2482.37041297878,-2499.23275344861,-2834.76347761432,-2788.78447233998,0,1068.67007855745,1331.14136199855,-2651.04982993257,"USA.NorthSlope.HoweIsland-C12","absence"
6363.79178588194,-5773.14845202905,-5920.49557263602,-6344.71251427719,0,3263.33634904059,1632.35426707857,-5760.05506673118,"USA.NorthSlope.HappyValley-C18","presence"
2119.64219310149,-1814.24587955544,-2627.77262958825,-1960.38978811735,0,1178.49984460148,971.527897819243,-1960.38978811735,"nonveg_561","absence"
2576.39760296301,-2826.35382100653,-2512.29086192323,-2436.25892610788,0,1340.96317531829,529.749109515737,-2531.64959804412,"nonveg_701","absence"
7581.59133508614,-6012.76993183956,-5959.26982422253,-6984.21856746641,1,3429.76586073004,2682.58552510989,-6075.9465717436,"Sweden.Abisko.VJ-SalixShrub","presence"
1081.19359170516,-1590.97165388394,-1995.68795132362,-3352.91298017323,0,878.196044127263,922.854590514597,-1910.40096187187,"nonveg_986","absence"
6904.12803207395,-6006.7796995272,-6016.96688083703,-6587.54499795711,0,3432.44845185651,2423.1891528109,-6172.77198002978,"USA.NorthSlope.Ivotuk1","presence"
6946.26810414503,-6100.30833818509,-5950.52398388697,-6461.1789822727,0,3124.93847563276,2579.14060227316,-6140.10868763302,"USA.YukonKuskokwimDelta.72B4","presence"
6985.42493712828,-5461.76922929415,-6203.42941394039,-6403.59753547634,0,3214.05079861974,2794.98807083955,-5893.17273073324,"Canada.PayneLake.TDA0","presence"
5185.99406188047,-5379.67266551344,-5687.84031860048,-6189.74608656381,0,2646.10771736277,2625.62859323642,-5227.99100496088,"Russia.Tiksi.DryFen","presence"
