"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_lateSummer","spectral_NBR_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_endSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeESPS","spectral_NIR_annualMean","spectral_green_changeESPS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2369.70673249434,2506.77222557974,3004.9310431396,3311.19458527563,2048.02500855391,3064.70430322529,3251.61270816411,4025.16105544461,4388.92052130871,4942.68102849716,5308.90996762629,3536.09099337066,-5331.46712222445,-5311.54981746332,-5573.24037684147,-5658.72979858499,-4045.7070759088,2472.1158811603,0.994287490844727,0,2806.64758610303,2654.62500698126,2036.50108819222,13.9434780487535,27.9023294255522,-12.7793018022937,33.3327141078795,26.7201885764635,4767.88513132487,4447.14800481823,2743.51524010227,-5409.36852974766,-5179.03533505042,1.4664552522196,2590.20760488924,1.64126754514707,"USA.YukonKuskokwimDelta.4","presence",0,0,1,0,0
1190.53658398139,712.126238533524,717.967175304238,637.21418661354,711.101127382522,-2398.64596453502,-2627.31373922586,2534.7250776792,1870.35070816413,1940.395546551,1839.49641376725,1664.29634164079,-2056.52089569522,-2568.01067394756,-2683.87063362997,-2829.91167302033,-2283.60972205548,1250.19694906148,1.29504609107971,0,712.126238533524,793.789062363044,553.322397367855,16.5322571240991,-18.4440799122618,-0.389395784714263,-33.9507002588708,-30.9645433262109,1870.35070816413,1969.85281756047,870.428736038416,-2568.01067394756,-2484.38471966971,-25.7796925775036,1313.26836657447,-5.84507698751576,"nonveg_746","absence",0,0,1,0,0
705.972411740591,712.517474914449,370.340226080254,101.37054271817,188.857594090859,-3419.31269076754,-4027.27394914965,1528.48605177915,1584.84594585329,1224.43628910161,899.186571304086,533.93998788157,-1166.05658185218,-1066.54239637241,-1878.20980502273,-2467.39697193168,-1063.67443511426,1240.29459314277,1.47050523757935,0,370.340226080254,415.811649908864,611.146932196279,14.7747090757066,-17.2743391149263,22.8118165889463,-21.6546973196626,-24.7133140406958,1224.43628910161,1154.17896918394,1050.90595797172,-1166.05658185218,-1528.37603805865,-37.1811540022715,1066.77996495818,-10.0727037829757,"nonveg_979","absence",0,0,1,0,0
1386.17963837098,2333.76626429919,2368.67913661007,2306.37186599787,897.173491543866,2164.46379169826,2060.29104855052,3184.14807296754,4744.94462974302,4869.62704381884,4857.61564692506,1851.87744633015,-4781.37641137847,-3998.39227485227,-5061.31027727281,-5590.78021548873,-2603.08927694682,2156.34056954552,0.252589126427968,0,2158.93877077918,1979.8709263417,1727.86289735043,31.2209316935045,23.7504379641185,-8.47815134088988,39.6266743130137,21.6811049466118,4824.82957989773,4165.03832278644,3416.08791939785,-4035.66993836741,-4056.63017147914,-27.3375883618956,1940.55566229494,-1.35310793343584,"USA.NorthSlope.13","presence",1,0,0,0,0
3398.27374398769,3528.99752980401,3967.01498606907,4246.20951617459,2500.59111548956,5072.06937768426,5472.3005498187,5205.36246783668,6875.5925299929,5800.91529057376,7644.75438172858,5849.48737159598,-6734.69615317206,-5225.71690415293,-6934.50554096637,-6380.61452336273,-3884.95633650767,2705.19545906852,3.2831324338913,1,3675.40171199315,3675.24874623258,2025.17105729084,32.5636760477065,27.0001785784947,-40.8430079719216,60.2541930951755,53.4475141854375,6167.94059140574,6283.39698134654,3144.62934461916,-6190.12341808228,-5764.80840872318,-11.4770546080878,2824.58438841521,0.173870244498533,"Sweden.Abisko.VJ-MesicHeath","presence",0,0,0,1,0
2339.59875540482,2371.57327778495,2591.5058038183,2703.12718697355,1552.10950738775,3055.6972033307,2998.23636366179,4107.04408548664,4467.64581390371,4748.6190687061,4875.31674791348,2856.13951537906,-4562.9071833662,-5228.50680330727,-5285.39762238765,-5257.26140227929,-3333.51451977164,2275.05970618159,0.354255310694377,0,2299.02593086939,2446.44661634828,958.28080105646,6.41606663320526,5.67860595140197,-101.634892264587,-2.76326924251738,-0.320387055179127,4285.85484660624,4506.54461267272,1680.63026088511,-4829.58563560457,-4796.1231632124,-46.7785704228373,2338.76659869295,-6.63542320068444,"USA.NorthSlope.Barrow","presence",1,0,0,0,0
542.815526315199,38.6501393533143,574.554167543027,757.840148894378,207.825134584822,76.472707519981,585.292677299945,655.956936319325,117.492298456629,769.847262834189,1031.19387735613,262.301642630607,-1749.01845089941,-2286.59229216971,-1743.71825045986,-1545.53850385137,-1926.99030606792,2604.28320044329,1.52118134498596,0,542.815526315199,424.337023338148,719.190009541063,10.8061416687219,6.71951945559931,-48.7185480172466,28.0121790100788,28.9053075711482,655.956936319325,567.358403519377,913.701578899506,-1749.01845089941,-1850.37156068966,6.35874834525126,3016.46455327402,3.19985069242809,"nonveg_1261","absence",1,0,0,0,0
1297.90483459485,1335.63158636909,174.044192793075,561.783405014025,608.774832486381,-1723.71535243465,-938.484669213252,1714.96797545121,1783.27358779619,331.143855123918,818.183579187868,832.697552745962,-1134.4835817672,-1027.59448370133,-2239.79872908677,-1783.73048830914,-1495.58135294264,3175.36485402888,3.06557130813599,0,608.774832486381,795.627770251483,1161.58739357601,20.8827273366202,-22.3067099872976,387.19579785867,-33.7293297301779,-24.4526959581421,832.697552745962,1096.05331006103,1452.12973267227,-1495.58135294264,-1536.23772716141,-19.6741486830891,2830.62861721839,-6.50430355941856,"nonveg_624","absence",1,0,0,0,0
2352.23973680969,2278.1730786291,2577.41019218153,2848.16426692396,1613.96596135304,2226.83906378387,2494.17578768564,4348.84703674096,4209.96774253448,4727.37313897383,5083.42211457125,2884.98420394774,-4222.01071909373,-4733.51100138949,-4805.08118124683,-4790.10208476957,-3296.14083273439,2237.98963532653,4.35480597284105,0,2714.50993829252,2691.9795715315,972.632291990459,12.5684209129511,3.49027189618952,-25.6587953115641,-5.30227737434361,-7.52329740897407,4940.43025220575,4727.67297193173,1807.20353891595,-4891.40251449498,-4571.48304351601,-32.8954201408903,2515.39862284996,-10.5071343819035,"Canada.BonifaceRiver.LSA4","presence",0,1,0,0,0
531.859799115348,377.268396603252,-55.7121210163913,620.10028234129,74.079419833896,-3873.22079921912,-2825.39590995253,1481.50630534277,1587.28462127653,980.448276538521,1827.6512977054,625.040224672312,-1916.0823873865,-2478.27849901185,-3064.22108333307,-2145.94074535289,-1935.89708846977,929.278266230236,1.49521458148956,0,377.268396603252,309.519155375479,675.812403357681,11.7379584431141,2.26257649297288,43.2980517619644,3.69551297188178,2.48099754821662,1481.50630534277,1300.38614510711,1202.61107303309,-2145.94074535289,-2308.08396071082,-5.89380405042018,920.672675420602,-0.914580887603136,"nonveg_576","absence",0,0,1,0,0
