"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NBR_changeESPS","spectral_NDMI_changeSSES","spectral_NDVI_annualMedian","site_code","presence_absence"
600.530580991778,674.169439539269,598.785706064478,-699.97292380059,-860.943115475646,-1008.17130245332,-1471.08895919054,1716.96823298149,-0.00057508988538757,0,598.785706064478,168.031689723488,-97.4960966181452,-262.684947011066,816.819439146057,"nonveg_1834","absence"
377.423119706786,694.841682016576,950.070797687796,-1737.32041744179,7.09028516099679,-462.088265184603,-1733.83885784424,-344.758549099344,-0.344030499458313,0,377.423119706786,834.882083000149,1.7287238645627,-61.9310904255335,719.307586038854,"nonveg_988","absence"
-127.615245950972,281.349270369566,498.293629395703,-1086.80874976377,-1925.70509692594,-1393.36250796101,-1385.99048516773,-951.352199711216,-0.0312410816550255,0,285.702453283714,625.908875346675,-10.2035290614957,-1.78118331565829,448.730177096071,"nonveg_912","absence"
886.214116113525,627.575354811441,446.824543755347,-2734.01617144961,-1327.51011410073,-1814.17417505135,-1906.53307378888,-1719.56314638382,0.00635723024606705,0,574.223845096536,794.052846633638,29.339291950678,-24.5228881836807,897.621275055013,"nonveg_583","absence"
479.277442792386,1004.93402139231,547.344158594102,-529.403350084178,-1074.28092524661,-328.03270675924,-1093.60108793555,-199.943518714732,-0.255682557821274,0,647.842133692292,525.656578599928,-21.7015741506209,-35.4803116430124,1007.88959191658,"nonveg_560","absence"
2711.6042375932,4045.03498978695,2296.64658245495,-5350.57154683075,-6788.92416823528,-6418.53943870855,-6260.02133850089,-4403.96453971709,-0.0167822130024433,0,3822.82357898997,2675.1935494747,22.3333961329239,33.7835805940966,6284.47115143349,"USA.YukonKuskokwimDelta.15B6","presence"
2381.65446750963,2696.8976407215,1841.39484356339,-5110.30889754378,-5104.27706590876,-5240.83056781812,-5440.83581450603,-4252.51187876036,0.00842499285936356,0,2161.42234973898,825.242057383311,14.8724284710621,8.92460972636084,4338.14097273354,"Russia.Yamal.VaskinyDachi-3","presence"
-435.127029466858,12.9764055838209,493.453701067017,-1867.47386238848,-2095.19169167409,-1614.76922219423,-1042.49722437393,-1047.29039938321,0.0202740374952555,0,12.9764055838209,950.281446303153,89.7377488283815,-91.8517482699451,358.337934525987,"nonveg_900","absence"
3013.92063882062,3972.29545263414,1705.14441790847,-6310.67944981946,-5938.13463257001,-6672.86723428385,-6691.42245818059,-4606.15810538031,0.0471034261087577,1,3457.05983705989,3359.86100219182,136.301089484565,114.550709160593,6396.23748319808,"Sweden.Abisko.VJ-SalixShrub","presence"
1365.88324478293,1324.7510473355,821.267204659903,-2676.15157201809,-2600.11912885483,-2680.91364594196,-2707.13020856431,-1100.00302906818,-0.0264334059320391,0,827.667734069736,847.702373780234,20.2352659248644,-1.32120337725646,2078.4916504937,"USA.NorthSlope.HoweIsland-C13","presence"
2871.49906378539,3327.34009297305,2195.97602065033,-5346.99608733939,-5564.26231415721,-6396.87685392186,-6435.88741720155,-3939.31649926662,0.112090518077215,0,3226.57578491468,1115.42048813342,5.23033534716863,-12.5450529755505,5659.42590334036,"Canada.ClearwaterLake.AB3","presence"
233.466220221499,679.893751994625,264.996462345697,-2024.31706718052,-1931.17170364657,-1847.26270920559,-2933.53699357733,-510.448230636648,0.0116372127085924,0,233.466220221499,822.568871491337,-40.9832461073476,-76.3108204721316,546.090895198794,"nonveg_869","absence"
1125.20976759241,122.124305776107,412.58383258365,-2329.29452573503,-1310.61745728434,-2846.61160429171,-2429.11021101807,-1234.55965849406,-0.0118703851476312,0,412.58383258365,1003.0854618163,9.55497741455534,-15.0301988338399,1135.74432225101,"nonveg_882","absence"
1440.18444617326,1254.77642505926,1227.92044862225,-2659.81699670603,-2153.084630723,-2498.05215652806,-3478.78897098616,-2219.92389980991,0.0448121279478073,0,1227.92044862225,731.587263318998,-18.8049536872163,-7.47038152086964,2260.87645963298,"nonveg_764","absence"
815.654584146034,1257.29662658124,1356.98425287664,-2248.531289397,-2197.52613546133,-1864.07290845301,-2194.74939011217,-862.923747160538,-0.00441957311704755,0,1077.1928027113,546.900942723152,14.1472349591395,-46.7435911841527,1740.25953457579,"nonveg_540","absence"
