"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
2897.5647119587,3425.09536520834,2587.30693392236,5383.90756410149,-6815.68227781729,-4690.14584998572,1336.79305271618,-6205.41279447877,"Canada.DaringLake.Tower1-DwarfShrub","presence"
-30.6793606050472,246.281823716875,-618.606254200164,-236.518536087518,2701.8003281434,3189.42406459029,864.888077917039,3189.42406459029,"nonveg_1854","absence"
120.996538505752,-494.295879682536,320.239064922621,427.677089193269,-1560.04905957177,-1243.64106863474,814.534944605156,-1464.7874880308,"nonveg_900","absence"
-19.4056106097749,111.222836995434,50.18709572383,354.982134472703,-937.280018070806,318.658856591634,171.916160296567,-889.754875245465,"nonveg_1213","absence"
1935.39172652827,2942.44487483553,1391.11821666117,6957.41768368595,-6560.13935674087,-4002.32835280892,2468.58779394003,-5988.90978944357,"Canada.DaringLake.MediumBirch","presence"
2041.45749577154,1700.36183509041,1242.59017823583,3310.82586619488,-4175.64971016882,-3076.59110357723,646.753363704001,-3727.73421796943,"Russia.Tiksi.BareSoil","absence"
374.773006925,641.846494521584,298.873858379802,812.793918796434,-1364.05670050951,-1635.61064694295,353.258733227946,-1551.27101368103,"nonveg_768","absence"
2483.01386170553,2676.07604116833,1670.0191506389,5859.9867796489,-5749.86548298853,-4690.20001571773,1887.5410911433,-5446.75139174661,"Canada.ChukotkaRiver.TH1","presence"
-121.715805586896,-112.42237595118,10000,1077.15433785434,-614.698003310321,-306.622730473653,10121.7158055869,-614.698003310321,"nonveg_1241","absence"
2605.94325145523,3417.26227486617,1746.88939397982,6146.56932359811,-6668.81366369347,-3227.32463670923,2461.48020816775,-4926.65764215556,"Sweden.Abisko.KJ-Snowbed","presence"
2677.32434014003,3628.68939973913,2296.57529324863,7022.27617071211,-6619.07087111725,-4268.23210243706,1854.48933240516,-6471.29856504803,"Canada.ClearwaterLake.AB3","presence"
-431.901584279512,1720.65429529772,-263.080758437249,2928.65196112552,-2328.38120538373,-1631.27073572024,2152.55587957723,-1631.27073572024,"nonveg_666","absence"
504.774865061267,2052.47133996953,1066.27671749357,3448.01598079759,-3491.06638556141,-2605.49197598781,1547.69647490826,-3048.17940114645,"nonveg_662","absence"
2642.35974834025,3203.19763031816,1191.35200098212,6366.49284132573,-5862.67220069674,-2910.33116153599,2893.3408594217,-5428.51971139087,"Canada.DeceptionBay.TH8","presence"
2418.6260981881,3593.08955626958,1993.87776123673,6539.71956281708,-6334.75348170134,-4918.58619397453,2770.85600130718,-5672.78001031056,"USA.NorthSlope.Oumalik2","presence"
1094.8421595798,1645.712475471,603.439584063485,4311.35433623271,-4862.51223582578,-2242.19728614356,1042.27289140751,-3106.91310626239,"nonveg_856","absence"
-172.724035468639,1012.42515172227,-627.834926388653,3705.55446574644,-2581.71352313887,2892.5904516519,1640.26007811092,-2258.91262048106,"nonveg_1626","absence"
2916.19303570355,4081.05890718105,2520.85999014513,6906.50191170152,-6585.39488701591,-5547.42914484544,1799.43052348632,-6180.76474598536,"USA.NorthSlope.Ivotuk1","presence"
566.299343034067,797.796984866088,603.80830972667,1088.81757961239,-2217.27675977091,-680.40698586495,352.934080232632,-2007.66744533729,"nonveg_861","absence"
306.828981038879,248.26751823081,-148.942234264119,883.909713217667,-494.955970030816,1156.00551686989,1110.31617194491,662.352109000732,"nonveg_593","absence"
142.083871626163,-276.085848953394,266.668761343864,-107.686069983223,2743.72480454137,10000,574.933258877493,4387.96630260461,"nonveg_1720","absence"
2092.79507725946,2678.1681823416,1717.74691159113,5490.51066281576,-5405.13130243104,-3687.83130444825,1890.37414408534,-4342.02210554643,"USA.InteriorAlaska.BROWNSCREEK","presence"
1993.2392194626,2385.09509183169,1719.13799549647,5366.34386298601,-5421.70419680256,-4997.06856480016,2077.02812629544,-5359.64753898171,"USA.YukonKuskokwimDelta.15B5","presence"
3252.90376964065,3610.71128173652,2119.61764298938,6747.07312370282,-6247.30938765073,-4569.19601958099,2116.3351770293,-6253.03435372716,"Sweden.Abisko.NT-SparseVeg","presence"
