"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_endSnowfree","spectral_NBR_peakSummer","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_lateSummer","spectral_SWIR2_startSnowfree","spectral_green_endSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NDMI_changeESPS","spectral_NDMI_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_SWIR1_changeLSES","spectral_blue_changeESPS","spectral_green_changeLSES","site_code","presence_absence"
1191.78854396803,596.766029893313,985.207091961493,889.54676835882,265.167552243679,-913.555182988679,-717.337923581421,-1170.43680478994,1763.90467418781,1010.26072847893,1533.34993811127,1444.22696615643,-1494.8087863596,-2095.74780856204,-1880.24811682692,-2122.61855517177,-2229.69540179454,2374.0162057515,2287.23799658689,1429.5308778601,2.06429862976074,0,889.54676835882,785.695197285067,926.620991724351,-25.8960708045454,-24.4126788677708,-24.8310802125222,1444.22696615643,1263.4507414987,1198.39327362873,-34.8726139754897,-2095.74780856204,-1964.62373374297,-26.1864178153553,-10.0043773243314,-8.80527733714759,"nonveg_975","absence"
762.202333386458,223.096648670887,617.795958529795,315.117499902085,506.16496773848,-2094.29177194124,-2256.39644346093,-570.886916931637,1113.87682605421,496.542348305007,1025.0254095231,641.696898623421,-737.565677785357,-1864.60590404323,-1332.66150529492,-1874.68616817941,-476.972564983973,2112.01841861654,2960.46478284404,1462.36071697705,13.9149684906006,0,506.16496773848,484.875481645541,539.105684715571,-49.3374137323635,-39.6953129506226,-41.8442010397683,641.696898623421,762.767006767861,617.334477749204,-66.0603826522613,-1332.66150529492,-1257.29836405738,-39.9469273384581,-21.5405159918068,-11.6175680344639,"nonveg_936","absence"
2634.65220243756,2468.70933470701,3283.94337287301,3415.65145508403,1942.77175055962,2948.52619161043,4105.98637795561,1882.05185574441,4708.64605552827,4559.37644436177,5694.99593575214,5722.21963017143,-5280.34452083597,-5720.84907199898,-5311.18688183746,-5878.84027155259,-4492.23805619006,2860.97295891588,1221.98728660778,481.936201349064,0.0913162877162298,0,2698.87131110418,2806.31909309529,1684.20845770655,-31.7976115042796,31.1769425391545,-88.9239104976945,4809.152204779,4916.97492051671,2579.8962117363,-44.2847106131792,-5213.59432045206,-5291.77152730844,-18.5751157858618,4.20423068043563,-25.3486746219796,"Russia.Yamal.Nadym-2-IH","presence"
1602.70649092855,1307.44833266802,1655.02537395579,1875.57211980741,774.861397241068,1457.05505762501,2124.03102508382,731.136869131867,3257.85573242524,3192.58359193951,3743.44966482569,4031.45979196325,-3756.28206292436,-3961.01745363863,-4462.16481291524,-4693.41965057348,-1905.91633589352,1678.5200164137,1370.90258055561,673.132072243703,0.549547106027603,0,1928.22865434111,1846.39771447044,1148.81347970286,-23.1215629375754,26.0832824113502,-21.2954737455848,4110.69838037238,3700.21551193701,2554.49491506518,-33.6577267077897,-4016.30953781378,-3731.27310978817,2.97334425817085,-1.22376637680116,0.933355750005067,"USA.NorthSlope.WestDock-C14","presence"
3845.4527971195,4493.98058518409,4583.55758261877,4817.58950962553,3179.13482841975,5764.54322611818,5890.09119117618,2392.02085481391,7067.14701053426,7896.66687949857,7995.01608461597,8345.84048408057,-6912.41922824071,-6744.46833533148,-7245.73118893258,-7197.05993439437,-5745.61154801487,2824.6284535585,1504.87300927756,589.587068357664,5.31217241287232,1,4418.6831953735,4173.63097529869,1844.92372852236,-32.6716060537441,23.9868078393055,-20.0516584957046,7793.6795782296,7486.16679918457,2455.54269464643,-44.3287076012393,-6717.31700797357,-6678.78006873156,-7.98125946755784,-3.65196147824747,-4.90376338772705,"Finland.Kevo.2","presence"
2683.86555229439,2769.39463057686,2878.09229192774,3370.63846577592,2133.16197288396,2590.50728337758,3003.90509390296,1867.11237746871,5147.04020930841,5362.96615030525,5508.30436315959,6190.92163093943,-5517.90102647946,-5600.78476241705,-6303.86102013547,-6005.97260430201,-4708.04306051086,2180.59902970498,1379.20582362022,599.713806028161,0.580276906490326,0,3051.23181804653,2784.14256069823,1813.84450813256,-13.0867259083282,9.0874007209015,-1.7608575563651,5615.39252294951,5245.75500273498,2679.97066173292,-19.6786238612807,-5493.83408669249,-5550.00134917542,0.909228305698957,-3.86063753841324,1.78178026745375,"Canada.CoutureLake.TD7","presence"
118.287386572832,-83.6393809840843,629.032730245234,13.7619946461616,-102.845883458534,-697.221080177203,-651.987313415955,-692.231435437766,513.437895413233,313.915288696274,1184.35743954477,384.948710739122,-894.797041784982,-1066.90311373729,-158.360188303726,-1000.67094879147,-1174.78281401456,1041.12879025771,621.646013610586,490.306003036896,23.4449310302734,0,13.7619946461616,114.919369404322,731.878613703768,-64.7883737481198,-5.29979062396372,-73.3432804479114,384.948710739122,531.434786505088,923.842841412732,-79.1311046225907,-1000.67094879147,-859.102821326405,-50.6565622122883,-2.89181899391787,-17.8356041623759,"nonveg_870","absence"
3385.56218828086,3331.23769774742,4070.27138385221,4487.59837171325,2320.14713657764,5354.00309104569,6201.58138056973,3603.1676089727,6207.14540773343,6227.00347802053,6933.08438172632,7394.62346780254,-6187.76592079789,-6128.45267542433,-6964.0532060692,-7194.21693223704,-4795.67121442041,2765.28879168899,1056.41137547464,594.349821647081,0.458621144294739,1,4007.54363977804,4000.67006016543,2492.2807735086,-51.0726059152051,28.5545184474011,-28.2681002124277,6766.93619389144,6641.82103628384,2462.43795024903,-44.578993837482,-6024.23948793878,-6019.55489803655,3.74584155696786,-3.68401193667497,3.65452533538723,"Norway.Javrresduottar.A-Salix","presence"
2636.48406244281,1571.66970412305,2056.31688846659,2727.0874153686,1347.54341741892,5356.86883706207,6668.27392569279,3938.01648297636,7250.7217905231,6104.95893123958,6811.24634969666,7650.39370201555,-5118.6472796511,-5488.17281140015,-6055.23561630578,-5728.56808525563,-5269.71340088691,1249.17697103568,338.730787727348,343.038634803408,1.39472556114197,1,2256.34433766258,2250.06885291636,1462.9395951964,-10.3606372897837,2.04611476845436,4.05022037879532,7172.6131437932,6824.93071050302,2899.99700104124,-12.7316741897454,-5111.98718356293,-5226.89510535221,0.141133820122812,-2.58747071396695,1.86053920427079,"USA.InteriorAlaska.1","presence"
2567.80974892768,2005.9538773117,2991.90826251708,3411.89036063764,1611.31347586416,2042.98435483223,3829.24713286887,1302.60917097102,4792.27472852644,4066.27673551117,5399.30006434873,6022.00067922015,-5108.54201521599,-4749.2396043645,-5510.4418892721,-5856.99049553972,-4102.52324164241,2413.30910683045,1474.49310794307,683.412222561453,1.99919473197725,0,2811.63252583985,2658.95339022168,907.003359562191,-42.2357829383523,0.176589056776933,-36.8480410523684,5215.37359018068,5008.72774138983,1152.9794951173,-48.4932197293873,-4407.26654076616,-4674.50976709586,5.26454226632304,-10.3071147262705,3.92546888657004,"USA.NorthSlope.Oumalik1","presence"
