"spectral_EVI2b_earlySummer","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_annualMedian","site_code","presence_absence"
472.216613657195,55.9567867744936,539.655320945694,756.87466232994,-1066.28193464275,326.311927876535,-1088.67856767269,-900.066600439126,"nonveg_931","absence"
2117.33727992267,2777.65762086353,3361.37086296847,816.299880833751,-5312.32704206713,-4430.66325946029,-5379.1934406299,-4969.55182136942,"Canada.KluaneLake.Quill-ShrubTundra","presence"
-79.5337733990037,164.188819850767,36.922013171743,-665.04438075439,-804.936584334953,-910.021276737291,-1013.14339381884,-910.021276737291,"nonveg_842","absence"
-182.652375233608,494.864988946005,695.548158276132,-351.571814669592,-1157.4451193489,-922.542214644701,-629.214121049692,-790.869547766346,"nonveg_710","absence"
605.164863791196,852.087915491099,568.307083571029,985.451704901162,-1761.65392946399,-1264.04653129369,-1361.53802744756,-1361.53802744756,"nonveg_866","absence"
867.509802770906,787.57302807932,1102.37154721789,950.807452484718,-1781.31343945234,-1363.05919613242,-1829.14514334508,-1598.60921169404,"nonveg_902","absence"
2636.67168168975,3067.12777305018,3297.37462802325,1866.85846401945,-5564.90986478845,-5558.20685260602,-5816.4741842508,-5538.06114995557,"Russia.Yamal.Laborovaya-2","presence"
-300.994360791152,162.78415144629,147.358167260068,224.675023176832,1665.6325202626,5073.88315953401,2405.27746879882,2371.06106430271,"nonveg_1880","absence"
4423.85052006297,4337.55261361038,4602.11523918404,2491.83040927349,-6648.03846292984,-6607.10613745343,-7526.72445279333,-6910.26749229599,"Finland.Kevo.11","presence"
2321.81370816911,2590.70752211721,2728.6624312769,1518.10300152208,-4586.64048888798,-5141.25359584944,-5339.88075772664,-4540.87543583979,"USA.NorthSlope.Barrow","presence"
1096.374374656,285.627657055676,261.214795938835,-146.237564681629,-1706.71342452441,-1379.33136901519,-1516.45898230247,-1519.27660034752,"nonveg_785","absence"
2755.99771486669,3217.12812137487,3379.59809174502,1505.56888087637,-5082.63260920718,-5076.6057976855,-5606.02751399164,-4941.70363591685,"Russia.Yamal.Kharasavey-2b","presence"
3988.42844219313,4718.60995411971,4805.42549097818,2061.74828960491,-6592.78286764065,-6386.94542808359,-7048.10583062332,-6623.78153815911,"USA.Kougaork.TallShrub","presence"
937.835857826262,796.051627657551,553.562790077013,1014.16761101442,-1865.33024796441,-2226.98916034528,-2227.1738740978,-2226.98916034528,"nonveg_628","absence"
1728.00955492912,1991.04588704106,2124.52662830218,1073.1371040224,-4598.47024159256,-4578.03789722072,-4885.67427875566,-4409.79359227427,"Canada.BanksIsland.GreenCabin-C11","presence"
2850.51071907402,2904.55092848278,3377.7156680367,2169.50001321321,-5394.73447653572,-5572.84010715235,-6138.75061376948,-5418.25338426712,"USA.NorthSlope.Sagwon-C18","presence"
970.376054667974,266.241477829206,-97.706564763775,806.040440316673,-1534.30174191554,-2480.21646109054,-2820.06952899253,-2480.21646109054,"nonveg_663","absence"
2636.67168168975,3067.12777305018,3297.37462802325,1866.85846401945,-5564.90986478845,-5558.20685260602,-5816.4741842508,-5538.06114995557,"Russia.Yamal.Laborovaya-2","presence"
2622.83272547922,3224.4066652975,3226.35657882552,1890.98773054883,-5693.60662744783,-5724.22199611383,-6332.74912719788,-6428.71850879775,"Finland.Kilpisjarvi.20","presence"
807.739899871887,452.245446587843,275.014958378173,777.228212320833,-1702.60677624355,-1086.36484654456,-2584.09838096532,-1702.60677624355,"nonveg_767","absence"
650.222316792487,224.868932541848,418.40766413018,162.120081144894,-1454.64236704943,-1679.93450765552,-2002.5885774494,-1753.30218188634,"nonveg_953","absence"
873.063478614167,789.536467672597,1159.41086416737,479.599263807293,-1217.68492541794,-1275.45787353195,-1396.90137345135,-1217.68492541794,"nonveg_922","absence"
2001.8096557868,2236.34561624679,2701.23408572717,1486.45163239299,-4863.23180254231,-5050.24868195397,-5618.23576566377,-4637.20493054291,"Canada.PayneLake.TD0","presence"
3017.35680726518,3650.35988182498,3974.09594596482,1607.73261170579,-5877.07424831721,-6158.83102952245,-6560.96458698517,-6365.66825224699,"USA.SewardPeninsula.19","presence"
167.812832513374,578.120251853913,-169.755248018634,-389.608615559576,-101.103815398435,270.7090955744,393.269644142664,267.255386215058,"nonveg_1161","absence"
1939.67927208325,1958.45648817233,1824.29724572537,1477.59038701026,-2620.96130155415,-2771.16844379675,-3068.84839371539,-2771.16844379675,"nonveg_898","absence"
