"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_peakSummer","spectral_red_earlySummer","texture_NDVI_peakSummer","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NBR_changeLSES","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeLSES","spectral_SWIR2_changeLSES","spectral_blue_changeLSES","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2601.16187867558,2520.0053502982,3404.64121321158,3435.35842002545,1475.6516376907,4837.49636340125,4877.92353635501,6070.93020594903,3109.98974119134,-5369.1336258917,-5292.16542018983,-5460.93162795085,-5861.71091480395,-5319.0933172945,2628.37510528077,794.254933179706,619.217551909575,0.0238890914867321,0,2638.64558773195,2786.4608595166,3101.4988263843,26.1178163484048,-163.236780336016,42.9237430030693,-280.254006219799,5111.89818621083,3849.07845895099,-202.583076786894,-5302.18642173272,2298.72014008288,-15.4083396761878,-120.985270530678,-49.7504680849294,-24.7086441334254,-36.5834816453723,"USA.NorthSlope.12","presence",0,0,1,0,0
2729.28679110306,2563.13798897039,2751.83876531947,3238.77456211469,1833.72238760276,5565.15968127097,5425.99091221312,6513.93430300933,3989.73795269548,-5351.98148846436,-5448.25026036403,-6313.78425485851,-6134.31472996759,-3988.27955228446,2226.21932898145,665.720287895496,62.9305885741099,-0.0304935868415567,1,2385.09869329098,2355.03816687312,2421.4439597218,17.6658098585534,-1.86066470491389,90.4711684029994,12.8159646480376,5010.27486780642,4123.71476963436,-4.61962071740362,-5944.9902326076,1731.81854765515,-38.5054036572077,44.11586606363,9.53605165568406,7.54117247376538,8.25590077008015,"Canada.LeRoyLake.TDA3","presence",0,0,0,1,0
-250.834482538661,883.756632686825,322.812320257156,584.706518025823,-183.691681106523,-301.893643118183,2832.41979244966,3341.21633863728,-1612.68897319062,986.921358247877,-1603.92721914973,-2963.3555105493,-2911.57583813402,3346.28495534337,649.557442795504,203.505278228869,-197.775713239515,-0.00312332226894796,0,322.812320257156,271.349861464924,1134.59111522549,-1.91836575520395,70.1180390537086,-5.92289654142213,92.6525479891448,1412.39836067061,4953.9053118279,3.68518798434576,-1603.92721914973,6309.64046589267,-67.4103884884427,169.928536424946,30.6712570930373,30.2553977551707,27.7084564708059,"nonveg_1626","absence",0,0,1,0,0
3133.37572858167,2441.58455101967,2637.04125108606,3402.90500688777,1804.10278722035,4991.48575226514,4315.47038952097,5416.11574701384,3216.90304487605,-4609.79217599558,-5368.04165107119,-5915.13575964912,-5580.34988652639,-4277.54741179157,2898.90751067486,1166.1537863331,95.637174063626,-0.0125436820089817,0,2767.14578218131,2763.21506521991,1526.85275978518,23.4071045858563,-6.69702753614099,11.0100905257074,0.212533508235902,4582.64807086148,2107.56952575134,-5.68449415695297,-5221.06892708065,1639.51485178488,-10.9235949434411,22.9973018582516,4.24381437547595,2.47379041010889,6.53213965832979,"USA.YukonKuskokwimDelta.4","absence",0,0,1,0,0
2166.86429406691,2211.77205028963,2397.99221082147,2340.42344182673,1502.07031586256,4447.87981125225,4450.09182580483,4855.45633623857,3272.91432654394,-4472.04433362881,-5062.78160902498,-5221.58736771145,-5679.5593119826,-3645.35382087666,1953.1955143841,806.622435544452,25.4033595284744,0.00620292282352845,0,2588.58569579047,2411.10196769185,1711.0741743086,33.6408253862115,-33.6568075772564,-0.631714735802848,-69.8967594156197,4955.45575443067,3006.51949321349,-65.151633753122,-5176.81010997752,1616.97075735478,-0.5158155313003,-13.5685756190871,-12.8235148861266,-6.02000543377968,-5.63047584994668,"Canada.PayneLake.TD0","presence",0,0,1,0,0
2576.64625728697,2494.71327609584,2816.5389773427,3130.961151143,1490.27738541348,5694.17759079213,5460.6751799915,6696.44312517094,3696.98824972922,-4960.63679471565,-5568.77893684337,-6129.75286587201,-6023.5419665038,-4130.74183035873,2112.07847689145,654.907555367183,82.8999846310923,0.0599079616367817,0,2743.79070980219,2828.59265381908,2360.37182848427,51.8538539065246,-4.31856693195012,42.0781037940667,38.4728171345666,5987.19863591429,3896.05738783426,-12.2353861589155,-5343.25382575604,2121.14927666642,-2.08050302594475,51.2633892899896,24.4224042047767,7.81972285057975,11.5927227836648,"Finland.Javrresduottar.EC-Sphagnum","absence",0,1,0,0,0
867.969696955662,-74.9544923008441,-145.85472602391,133.529948439893,-150.220144223692,1209.12324988349,-21.4194184671799,319.412165491593,-182.41008446018,30.9033791310839,-1007.15979770499,-1241.78160569329,-987.382238487554,-1087.73959360535,1445.4197210383,1796.8344662457,338.440530061578,0.244417130947113,0,-74.9544923008441,126.094056569422,1018.18984117935,28.2830511438709,3.73159124858244,-38.8086145136545,9.65702340160316,247.223231727729,1391.53333434367,3.53528080746818,-1007.15979770499,1272.68498482438,31.0734159093453,12.3485162099104,-5.34214248389217,2.54706447202366,0.343374765298138,"nonveg_703","absence",0,0,0,1,0
417.837199926654,591.323482876869,560.431932183704,557.777070747457,350.79086486012,1028.01769788423,1440.8398425786,1447.86976767125,620.817747337132,-1495.28369320373,-1586.81695629829,-1871.27332787264,-2028.20119631482,-263.083576906545,1193.89898307832,988.769716346632,-162.417581638089,-0.0376502329276668,0,444.606199411002,415.669039714602,253.733875100365,-0.209590893231998,6.96827069839685,5.59149897878611,7.53175581039549,1000.4922474842,913.598203429223,9.79491860017999,-1601.13186335038,1933.28342973126,-35.2112041316955,27.4129162607101,-10.3307639369566,1.80233032359132,0.45554524209278,"Canada.Ivujivik.RTP13","presence",0,0,1,0,0
248.851332804637,584.227237289032,169.744097882505,1105.00920482117,-35.1196219941449,870.071118360811,1330.13894410376,2122.43533045015,259.19944908681,-1882.86124217191,-1553.58979038665,-2294.42733089171,-1142.75740308156,-1717.60184793876,1625.36901626727,910.813969089326,9.52404383924608,0.0654439181089401,0,248.851332804637,414.542450160641,1140.12882681532,12.346563252121,23.0268410781404,49.5326046511757,61.1872137147188,1098.40396170303,1863.23588136334,23.3313320883405,-1717.60184793876,1151.66992781015,-7.18519105361523,41.1576411391702,10.6486999173517,16.6120648280713,16.3557291530231,"nonveg_693","absence",1,0,0,0,0
119.757275193753,-634.145702182237,-456.466602870299,-692.920204234725,-677.196188170656,-1536.69916887039,-2495.22016385916,-2725.316703546,-2074.73486653079,3598.5988478692,3846.34707335751,4153.12299678984,3555.24267939826,3096.31471690603,163.282029236989,794.065306574028,-105.534092192138,-0.156451791524887,0,-634.145702182237,-468.194284452833,812.677479428477,46.879615492024,-16.1526453919944,26.0002518371731,-93.5097698200572,-2225.32283566962,1188.61753467561,-18.2342625743061,3598.5988478692,1056.80827988381,29.546125350775,-27.8887203120307,-11.6558454261743,-26.8904992607943,-54.7567883540221,"nonveg_1367","absence",1,0,0,0,0
