"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_peakSummer","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_peakSummer","texture_NDVI_peakSummer","topo_eastness","topo_slope","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NBR_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeLSES","spectral_NIR_annualMean","spectral_SWIR1_annualRange","spectral_SWIR2_changeLSES","spectral_blue_changePSLS","spectral_red_changeSSES","site_code","presence_absence"
3054.82412660467,1853.2430152063,3202.17597259921,3558.65251211965,1832.12506084746,5309.85267386841,3142.71454149041,6572.77581161208,5068.90893587452,7182.32258269455,4715.49765909488,-5761.98508029653,-6326.3797661119,-6448.11195605553,-7005.27327776526,-5039.24958251686,2192.24012667671,997.619629011884,-0.00246372442537298,0.217862104376157,0.199904292821884,1,2910.14306604137,2692.09090899166,2087.47503150488,-67.0870006869148,4624.69696427754,6074.65814334705,3471.53670119555,-5930.06823214266,-6114.89232691311,-12.6226553404516,1832.13128006767,396.242091874376,-8.83804299948798,7.39104679265813,0.428536130239759,"USA.InteriorAlaska.5","presence"
2847.30225989737,2539.6991468214,3041.20937860432,3517.44547785083,2149.61991721754,5619.67425544932,3262.55515904147,5848.14279859354,5594.50679460453,6870.96489981542,4420.62737975121,-5724.82414053296,-5372.0870304607,-6067.08844859421,-6252.02624774918,-5274.66286799497,2331.8729717444,173.586510758396,0.00293429493904114,0.240478175878525,-0.403401929140091,1,2777.86394390652,2753.7316593834,1422.7289734551,-24.4174962137279,5121.691662776,5659.74817613144,2609.42031170841,-5623.14925649662,-5768.19086818015,30.7158063705858,2018.60498164402,416.566341631892,0.105370549842677,-3.84358978983835,-0.481389674901009,"Russia.Yamal.Nadym-1","presence"
3215.66744830588,3247.28365053505,3886.03593035561,4129.21142736192,2154.38001647791,4043.3831500131,3703.77541326717,5879.3925775583,4792.92123524673,6698.30880051787,4531.26431254152,-5680.77419170848,-7075.63516322676,-5429.80186600063,-6716.27820224098,-3974.37372167917,2722.42775311436,463.539945668629,-0.0645753987133503,6.44422740936279,0.979989188909534,0,3743.21332574138,3606.31749833522,2288.72764612028,-16.220017073441,4020.68636279577,5927.70806807481,2586.4426763665,-6581.57991355755,-6341.73215387135,51.1141225092102,2594.36116466053,258.502526552781,12.7469621612139,-2.36898869207724,-12.7417305259364,"Sweden.Abisko.NT-SparseVeg","presence"
2630.40955025402,2363.00259414218,3131.77596540747,3512.78341082798,2138.09220669557,3877.14333858863,2725.16015554081,4457.50066480368,4449.88356281559,5530.09545488574,3801.34384214055,-5457.0019023179,-5546.91809236206,-5859.75215477899,-6047.92533748324,-4700.15161063264,2912.2843154677,-42.3193766817662,-0.000297194541889,0.480718011105502,-0.8268602931941,0,3056.16462090834,2762.58584149696,1659.7004368547,-24.0929868998961,3345.15934852016,4789.98340407337,2012.29748330398,-5286.19832629659,-5423.00987340922,12.6539983895543,2542.72140590941,460.757061089363,0.775938761683316,2.62677096582508,1.55646405788411,"USA.YukonKuskokwimDelta.UB3","presence"
2617.36734500168,2105.64788320234,2855.04295157704,2917.42090979448,1736.77783186995,2066.6692071797,1659.26322545469,4630.8712088437,4218.41333924323,5334.58868670683,3351.51494933973,-5797.03940534994,-5454.35655014615,-5590.5071368491,-6215.6871323076,-4721.5579000311,2402.95862255688,-40.3236296416161,0.0100413486361504,1.32769923739963,-1.18226111266348,0,2436.10797098184,2256.37986732412,1055.08356532492,-38.0366507026958,1615.77744930089,4324.5349026399,1726.69232080252,-6310.76689374518,-5823.29143523541,6.97487411925222,2038.36964890364,1358.7201481664,-17.8696392431018,-3.8253752179323,-2.18816735112293,"Canada.ChukotkaRiver.TPO3","presence"
2911.03405593966,1879.34784155139,2880.88771701466,3342.87881997328,1747.37614766447,5374.8017610807,2956.83587610754,6346.35655949581,5186.23182686852,7014.79682789289,4550.40386053141,-5631.8668241197,-5681.83604538369,-6026.96305897038,-6209.95008659305,-5489.29174845557,2142.24362837402,-251.743394227357,0.0273685716092587,2.15205955505371,-0.580494821071625,1,2736.5694036195,2695.07627235366,2038.36720257581,-59.6939286562936,4118.26064878567,6073.59132536881,2853.69107427843,-5694.33736448579,-5716.78935315739,-25.6271685886824,1870.31309507397,653.882435472914,-12.8759251722059,-0.213512296907859,-2.06705906344319,"USA.InteriorAlaska.4","presence"
2950.71556400394,3401.61528399531,3523.08596501447,3693.75343845075,2044.92788210194,4453.13919898933,1027.63746576299,5844.18257784481,6643.05591615347,6913.39983354706,4265.96721506111,-6086.28832725547,-5783.88163169548,-6303.57768851819,-6285.95376408379,-5109.24871817425,2539.26053699556,-6.52939351560992,-0.0497120827436447,2.86797575950622,1.79080216884613,0,3438.20227683809,3105.31317274349,1587.23279087956,-5.69104873777812,4191.68649330462,6056.16217037229,2556.3737631774,-5907.8139990686,-5942.6567850311,29.7246441742025,2271.23378165323,383.579748780835,4.50741497345339,3.34391801563419,0.0229818753826073,"Finland.Kevo.5","presence"
2860.05578358358,3154.48086245744,3510.26940971251,3596.57516330303,1464.90048914919,3519.56436049392,3587.09214181062,5143.48175979451,5528.12487106151,6369.43663444862,2577.39178460165,-5072.03470879114,-5557.43582351097,-6006.05525110353,-6273.17750672628,-2948.41157956845,2490.34461867182,-52.0842384812186,0.0382767749418105,9.66538184029715,2.06703912360328,0,3447.48379444956,3161.22654230729,2443.1571199525,-28.9476641579475,3655.04810953104,5211.71403698541,4606.33833310967,-5450.55706786127,-5118.96656379269,-17.9109291982206,2861.85130048129,562.183909802708,-22.2346058746983,-19.4537469218072,-17.5067378887716,"Sweden.Abisko.KJ-Snowbed","presence"
2892.48561591068,3076.27092087754,3873.55825566898,4081.7788978166,2300.6449453497,4428.08978859993,2500.57781521916,4978.33472883587,5614.08233818729,6556.26104224749,4018.72433798717,-6095.07545539373,-6230.85165685019,-6342.69763314615,-6501.66187117437,-4303.41770076793,2971.08270226127,-7.58453185038178,-0.0167822130024433,1.24030292034149,0.477775573730469,0,3153.06710921432,3152.53658661995,1359.50729591583,-24.6549186246465,3531.35070549167,5503.2049666988,2300.1135514303,-6034.30533616887,-5801.56332781944,6.47986481481959,2546.85103643989,579.404034802349,0.0593813031474367,5.63210683516195,-3.70818508347184,"USA.YukonKuskokwimDelta.15B6","presence"
2064.51124707615,2542.41301390125,2761.65546747404,2665.32057308637,848.097902978963,4859.81738402585,1109.8075359634,4913.18121548491,5554.35554658184,5898.03618970601,2767.91099545962,-5321.63805008044,-5739.11398948546,-5913.13783981227,-6096.48835965849,-4957.11730115653,1908.57424611938,-138.584697874158,0.00808296329341828,0.996035635471344,-0.989042639732362,0,2271.81450080803,2131.78788472319,2390.8805258237,-49.3073672038966,4587.54667367838,4888.24078528043,3621.5484648247,-5999.38165459311,-5953.8285114027,-14.6422111665184,1717.8604732357,172.908584965948,-3.47415388213296,3.36640719864232,2.0479485085983,"Finland.Javrresduottar.A-Salix","presence"
