"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
623.689238142253,-702.427539807115,-399.355971552535,-185.49060176568,4043.23152168088,7585.92165692749,4499.56551222401,3351.08525846955,3447.30247197543,0,-399.355971552535,1337.55175432678,46.1224742871303,4585.42128425547,"nonveg_1637","absence",0,0,1,0,0
-504.18770201042,385.40420261183,10000,-258.076091807875,-681.320706293414,-1043.20650686577,-986.701905135222,-756.860827394493,183.775918757155,0,-78.2516732403305,10504.1877020104,-28.3957352513393,-656.862805386349,"nonveg_1241","absence",0,0,0,1,0
362.929303063917,325.63511157609,4.67129744941434,1368.01063160358,-376.803125379092,-1020.88709143678,-961.413162782741,-1528.16122425938,-991.670340680805,0,325.63511157609,957.848031291987,4.44787641096922,-975.786988907761,"nonveg_572","absence",0,0,0,1,0
832.121676947138,667.209585287418,389.754014299925,962.035167403689,-968.594234810058,-509.847296603709,-1509.31203414705,-1373.1936597728,51.6764234216618,0,574.027880608583,442.367662647212,23.0287001713182,-861.854160382391,"nonveg_923","absence",0,0,1,0,0
868.474016162845,313.281537828606,428.489637202353,-188.214270106319,-2756.08692885304,-480.241270390159,-1553.50606248794,-1907.04140249134,-1525.25837981972,0,428.489637202353,952.434990566732,26.54914688955,-1644.42680880844,"nonveg_790","absence",0,0,0,1,0
2045.044047744,2370.57594975955,1352.24017351731,4676.70430211649,-4077.99815991315,-4001.43451784975,-5132.67509255016,-4889.12734641673,-3892.34130645653,0,1539.22438629154,1635.03729564866,-1.14914991295575,-4107.68633258863,"Canada.LeRoyLake.TD1","presence",0,0,0,1,0
2095.16885560145,2303.70311577781,1436.41459094901,3880.77854640181,-4159.88762661619,-4813.10991887274,-4904.41715812541,-4873.36551760236,-3460.80175793024,0,1722.2840437734,1419.94848810384,-18.1185359689958,-4738.34031232988,"USA.NorthSlope.Atqasuk","presence",0,0,1,0,0
448.62931558949,257.056049852356,42.1335365684815,881.873674767082,-285.221211883862,-553.667329129314,-1083.8180988484,-1036.31233514278,-128.045521317271,0,257.056049852356,406.495779021009,212.080551325548,-617.412899264324,"nonveg_761","absence",1,0,0,0,0
112.815473992513,405.516588099668,-78.0079972105041,3194.04581391608,219.236592997232,6473.49868466105,-892.39206958705,-983.800781251573,-544.507622077068,0,112.815473992513,689.837160861326,3.95049246359028,854.406960948519,"nonveg_851","absence",0,0,0,1,0
866.140456918863,288.852328466374,-49.3775998619064,417.756582885779,-2441.77393284472,-1077.19435086516,-1234.03557098211,-2688.27319417152,-2410.62447528535,0,289.835655878945,960.580448606354,-4.50623918255842,-1970.38030482977,"nonveg_866","absence",1,0,0,0,0
499.351111157741,345.040549054246,-60.3092237716556,961.634239445054,-932.723949576473,-1406.24468112073,-1315.74594518175,-1825.03786465704,-1416.86617190435,0,499.351111157741,704.889601422486,-16.0799826393202,-1379.32372248807,"nonveg_936","absence",1,0,0,0,0
-52.4248316107399,1303.2324276251,-24.2486542691718,677.798931419569,-2648.40961101359,-2460.01228991305,-2082.651094595,-1687.57642228229,-2642.75421467582,0,235.370024296264,1355.65725923584,-27.0298451572059,-2304.28072649595,"nonveg_606","absence",0,0,0,1,0
