"spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDVI_annualMedian","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
2791.57298715412,2913.99776273232,1831.46603670264,-5600.0431389886,-5554.74870295041,4611.31848018852,1225.20058954221,-5016.25954524933,"Canada.ChukotkaRiver.TPO2","presence"
2132.64068360722,2151.06398796761,1585.00315647277,-4829.98942155045,-5068.07578976469,2390.65135928845,2950.42395401901,-3419.14476755039,"Canada.Ivujivik.TP13","presence"
2464.25867405131,2774.9143168022,1613.98717351188,-4742.56147116219,-5249.25874774331,5243.00715151741,2349.9465369929,-5161.31581151799,"Canada.PayneLake.TD4","presence"
3280.19438191122,3077.65380756063,1614.59335775156,-5091.23988614688,-5398.97475613849,5261.43973481785,2861.16353565631,-5482.70856272159,"Russia.Yamal.Kharasavey-2b","presence"
3800.22359176531,4278.86472900968,1847.89141310585,-5930.11678975445,-6498.63427557358,5473.67747527911,4084.34673605165,-5983.68767743373,"Canada.ClearwaterLake.LSA2","presence"
171.793894169804,920.396353843144,-348.469111541053,-3180.57775521969,-2925.98226579686,837.696997159448,1808.31831063926,-2645.99112684183,"nonveg_663","absence"
632.059374555773,905.035234473583,416.981694438721,-1771.9399108253,-1595.005907163,1178.37775762912,835.603268055347,-1595.005907163,"nonveg_814","absence"
183.377972063834,176.825472664654,455.101754197066,-708.869834489485,-1223.57960517018,796.954497899036,1292.2219220844,-1081.69185022047,"nonveg_988","absence"
1399.4202700562,1352.63691196871,703.088443368515,-2481.6556705393,-2499.34703262217,2238.32064305929,1123.0525336177,-2499.34703262217,"nonveg_680","absence"
1579.32922592318,779.898006069461,-465.331000696444,-1987.20961812271,-2054.40871755538,2523.1395784529,2700.88054949732,-2163.36863878063,"nonveg_648","absence"
307.114056348234,163.437260422044,-747.742466259834,-1595.81820043488,-932.955531012734,236.409121690685,4353.68741112055,-932.955531012734,"nonveg_1888","absence"
-74.0463562634902,-79.8213692061144,64.1478760266904,107.936010038632,-1368.31768444963,137.953233456832,2562.82666672986,-1364.06997341855,"nonveg_1234","absence"
