"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_EVI2b_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
151.088652495021,723.850434722872,235.020127642515,1138.04209210936,-1127.93091630389,-2039.23835972334,499.007614762619,-1538.70684035754,"nonveg_568","absence"
2148.26231316826,3601.14552440469,1941.53257405427,6017.62081917864,-6285.81884951293,-5757.35799609552,2749.16687557371,-6255.80267245789,"USA.InteriorAlaska.5","presence"
3116.34509811813,3581.4919548481,1853.27412741797,5472.12478422025,-5413.09524549032,-5589.04229228887,2952.00290092391,-5825.3022425484,"Finland.Kilpisjarvi.20","presence"
2187.12946793007,3112.70689841739,964.142375347574,3636.93733408165,-4710.06265081384,-4734.75538445146,2246.98666273433,-4612.95362900556,"Canada.DeceptionBay.TH6","presence"
-108.125727193295,-2.86642150012055,484.680974050538,309.502749480603,-518.297721409672,-1019.11920988918,293.543032217593,-538.939785128688,"nonveg_995","absence"
2430.6087076923,3534.87508093207,2053.28954474703,5319.47327023045,-5318.61376420009,-5581.8764739667,2428.85293574301,-5719.5106270085,"USA.NorthSlope.Sagwon-C18","presence"
1340.54987406495,1626.06777948486,1398.56419547212,2395.19309266116,-4510.69675120291,-3718.72068402765,1523.75299891464,-3653.44640316492,"Canada.BanksIsland.GreenCabin-C00","presence"
1284.47642361709,3013.26799407458,942.633380397556,4091.56036706665,-4319.8466116638,-5114.03769343984,1780.54476929375,-4568.24657045159,"USA.NorthSlope.9","presence"
263.013836122608,-248.338079409583,-100.293629354336,422.781116928807,-2473.34333283653,-1571.10805077273,263.013836122608,-1802.5845143251,"nonveg_785","absence"
126.629806190164,312.867454754737,268.159922104989,824.96452238046,-1346.20043142389,-2141.40066336672,312.867454754737,-1639.57016773191,"nonveg_955","absence"
263.013836122608,-248.338079409583,-100.293629354336,422.781116928807,-2473.34333283653,-1571.10805077273,263.013836122608,-1802.5845143251,"nonveg_785","absence"
2614.87733401354,4704.43036247402,2516.45245231141,5105.37440891117,-6120.88565913055,-6038.80167566944,3044.95659764149,-5873.18796887634,"USA.YukonKuskokwimDelta.72B4","presence"
2850.08753073242,3470.07408748489,1707.90528890885,4484.91732087287,-5388.78767722462,-5484.01353175321,3185.56540426962,-5574.98308369521,"USA.YukonKuskokwimDelta.UB6","presence"
2109.46029416463,2291.64370533933,1379.55766613929,3899.76282655903,-4143.59884194223,-4764.50170409014,2384.08923417525,-4312.61641358004,"USA.NorthSlope.Atqasuk","presence"
1161.82084140446,868.495865965498,745.755312120202,1814.38620828264,-1589.41744114347,-1752.96108849329,1012.99310193061,-1946.34996852578,"nonveg_508","absence"
-299.151448762112,479.477962336129,5918.87092943356,836.037809588941,-789.475649036662,-3667.87712287964,84.4033667834203,-1737.53154373452,"nonveg_1353","absence"
439.649265268067,-498.603775496928,-166.659816688618,584.805778552227,-1191.93720743931,-797.726699786919,-166.659816688618,-1533.84488573354,"nonveg_596","absence"
