"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_peakSummer","spectral_NDVI_annualRange","site_code","presence_absence"
2374.93267505902,2790.26150938943,1580.3430057422,5078.57378077769,-6000.79017079815,-2625.90216504872,638.964791965702,2809.87555718889,"Canada.DaringLake.Tower1-SedgeHollow","presence"
2374.93267505902,2790.26150938943,1580.3430057422,5078.57378077769,-6000.79017079815,-2625.90216504872,638.964791965702,2809.87555718889,"Canada.DaringLake.Tower1-SedgeHollow","presence"
2623.38161660652,2835.68142030321,1667.61330065986,5386.92052503401,-6055.73168866163,-5895.20279887301,642.021708434984,4496.12046721266,"Russia.Kolyma.T1","presence"
697.033352705779,613.784754684872,465.933288846993,1410.51526083679,-2193.1487047381,-1070.91315209069,1328.72551514664,1710.54262592059,"Canada.EllefRingnesIsland.Isachsen-C02","absence"
2280.44510603301,2817.59027472767,1980.72405046926,4912.5305501551,-5565.38823335533,-3898.4737955573,791.682798427088,1984.70136789522,"Canada.Yukon.TOWYK","presence"
532.013137634618,1013.12214557819,-323.36563904977,1535.89148621657,-1080.31595494638,-793.048237256297,954.927763872432,1839.38910387145,"nonveg_923","absence"
209.615531684698,99.5394506575336,-105.486952914545,1420.23905500539,-1314.3966282245,541.939181062093,67.4998799518883,1672.17495451336,"nonveg_1889","absence"
442.944751706616,101.007062469595,-517.294532679233,-1636.65023158027,9627.87251932464,10000,1345.45406053055,2177.35324351052,"nonveg_1236","absence"
2706.57530325789,3296.180403191,2179.96312231188,6456.42463572027,-6621.21731228735,-4193.4360520868,554.832333136315,2484.23507963507,"Canada.PayneLake.TDA0","presence"
639.097643594849,313.58101372115,-161.057354958417,1736.30133792581,-2700.35677452438,-1953.35880871772,1187.12563390052,910.812454618723,"nonveg_719","absence"
1981.6175293568,2504.01151650875,1886.62403382781,5693.06886741012,-5968.4703095763,-4330.04608100267,545.896680503204,1648.90722811236,"Finland.Javrresduottar.A-Salix","presence"
1234.83898904968,-314.322800458638,539.513709911506,674.524273878446,-2262.59592488297,-1656.10517028269,833.992939749681,2178.73286628597,"nonveg_600","absence"
2185.98990532071,2367.46629399353,1465.12001754222,4592.30454458171,-5424.77847122511,-3720.04021469726,667.27988878695,1229.43846750373,"Canada.LeRoyLake.TD7","presence"
626.134119377164,-6.31868877421161,731.750979365151,180.512232210937,-597.686895998108,447.568042527401,1140.05863235379,929.218408219434,"nonveg_710","absence"
