"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NDWI_annualMedian","site_code","presence_absence"
1.82004795259036,625.319759965785,81.6862974122469,-285.195293333376,-1256.10704025722,-1310.13270993397,-1308.55988477537,-1308.55988477537,"nonveg_729","absence"
319.279729551736,657.230209593105,551.108250621859,937.574370274256,-1841.70408016042,-1062.09739848399,-199.974364910189,-1062.09739848399,"nonveg_958","absence"
3575.79876925933,3218.11034085582,4715.30807383237,1855.24352562708,-7061.97370672142,-7564.8205822963,-3950.38957974137,-6423.42629718566,"Finland.Kilpisjarvi.19","presence"
668.411680374978,189.510119872155,489.813532971956,275.183194691915,-2520.54143833374,-1125.59378415723,-988.312948712074,-1697.6929584126,"nonveg_785","absence"
2480.92710327204,2314.40093535016,3548.61763534981,1745.32690081113,-5742.77015742249,-5987.02499421671,-4967.89578768181,-5464.05826335846,"USA.SewardPeninsula.18","presence"
600.228772063729,621.816378120335,655.017693170156,708.083181946646,-1869.20700179966,-1448.52319015946,-1380.05513253145,-1491.26722251578,"nonveg_953","absence"
668.411680374978,189.510119872155,489.813532971956,275.183194691915,-2520.54143833374,-1125.59378415723,-988.312948712074,-1697.6929584126,"nonveg_785","absence"
935.114648336617,1108.66156715302,710.783608898303,745.534921143539,-1547.09717249433,-1983.92544560605,-1702.31505752862,-1621.21811731747,"nonveg_745","absence"
1331.80937929224,546.581994403982,329.559379496321,569.413546080681,-2733.12256684139,-3725.41934497642,-2251.39275730809,-2733.12256684139,"nonveg_680","absence"
2380.50380768601,2597.67302801667,3571.46886090544,1578.02937802125,-6934.27746551982,-6317.94575845692,-4936.5302863764,-6045.94825979469,"Norway.Javrresduottar.EC-Salix","presence"
2380.50380768601,2597.67302801667,3571.46886090544,1578.02937802125,-6934.27746551982,-6317.94575845692,-4936.5302863764,-6045.94825979469,"Norway.Javrresduottar.EC-Salix","presence"
162.223654181798,705.321403085266,719.785407066406,-67.8169961516842,-476.526517561264,-1470.03707341793,-1813.64646614961,-1470.03707341793,"nonveg_871","absence"
725.156998264917,144.840851384284,-560.43849334876,611.428905282849,111.654588963565,-1454.18508394379,-184.70714716654,-184.70714716654,"nonveg_1268","absence"
3109.94979163192,2730.37031928024,3868.03324230674,2024.58602748282,-6194.80162940942,-6032.42760334091,-4917.02916477011,-5433.90838021308,"Russia.Kytalyk.T2","presence"
3120.01923382832,3325.88465654922,3791.85126553868,2248.51229152567,-7111.43460241283,-6942.02384093011,-6144.96493810559,-6723.28682569908,"Finland.Kevo.6","presence"
1314.269646464,1632.76174402814,1726.99365750752,724.550428696051,-4817.35833413131,-5968.05809947844,-218.293430135546,-4751.392585543,"nonveg_1607","absence"
2380.50380768601,2597.67302801667,3571.46886090544,1578.02937802125,-6934.27746551982,-6317.94575845692,-4936.5302863764,-6045.94825979469,"Norway.Javrresduottar.EC-Salix","presence"
3456.53787592517,3008.57690351865,3916.11599408467,2861.03389315794,-6194.12254308926,-6607.38487234747,-4612.5822208288,-6128.3744965335,"USA.YukonKuskokwimDelta.3","presence"
2154.16440285604,1663.66002789834,2822.43909238938,1285.58904303864,-5352.81457318926,-5242.03213933083,-3933.69202026663,-4878.58828599801,"USA.YukonKuskokwimDelta.15B7","presence"
702.728359234952,1164.05785527589,522.824244495896,682.975435013503,-1778.60585161489,-3485.49346708967,-2329.05706982914,-2329.05706982914,"nonveg_832","absence"
464.815682903037,1216.18953386032,1909.03397474884,-376.74401275349,-4313.6860533224,-4580.00745232221,3908.69136175978,-3846.25233827698,"nonveg_1813","absence"
3322.64032265762,2821.84491227829,4230.98858279998,2528.14155606419,-6478.10438311956,-6413.11591837573,-5402.30582144935,-6099.59966108299,"USA.YukonKuskokwimDelta.72B1","presence"
1627.95796658504,350.239921598053,623.622535641177,138.401158025488,-1793.25132762703,-2499.53107807822,-2208.10821861394,-2208.10821861394,"nonveg_628","absence"
-76.4892609410153,153.313005931385,734.85994049788,33.002497979851,-555.052918303722,-728.640243939101,-585.062726578967,-728.640243939101,"nonveg_1499","absence"
837.238772649198,992.484024939251,398.739598710853,695.487448446962,-1946.75051934513,-3102.32727188734,-2301.44562539073,-2301.44562539073,"nonveg_746","absence"
