"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_changeLSES","spectral_NDWI_annualMedian","site_code","presence_absence"
3507.29918782053,1835.95748685051,-6216.73755458493,-7250.44835526275,379.284120469152,1,-44.9470750549093,-6837.11118419395,"Finland.Kilpisjarvi.15","presence"
1694.81708991002,-229.977927011383,-3419.96274339786,-4113.83848832155,747.696936016804,0,-31.3442769801515,-3419.96274339786,"nonveg_1813","absence"
2878.19102245469,2207.67535352271,-6062.2387921465,-6348.4860075935,571.426643921529,1,4.58813317861236,-5534.1776190758,"Sweden.Abisko.NF-DryHeath","presence"
2791.61628521707,1791.72790893411,-3900.16022739651,-4663.14646168629,1150.55291099266,0,-18.5911641127732,-4783.83907848895,"Russia.Tazovsky.Unburned28","presence"
437.458446979443,-10.2116412276612,-581.543069054594,-755.570551855217,1307.34396722204,0,113.033244447782,-755.570551855217,"nonveg_761","absence"
2336.69533257492,2367.08546592985,-5793.71809995311,-6216.16830483096,798.270540156828,0,-48.1259486842092,-5679.36346344755,"USA.YukonKuskokwimDelta.UB7","presence"
513.786501590977,1013.72628525997,-1967.19213083707,-2024.55956474933,1023.30399063428,0,25.077709667422,-2024.55956474933,"nonveg_816","absence"
183.438210436179,-178.159785688699,-3218.74436812198,-2747.97844767112,598.897556254301,0,-45.0148839115076,-2747.97844767112,"nonveg_804","absence"
2562.1766832727,2010.14455128242,-5317.57129615313,-6306.93580711753,574.475089967294,0,-37.1904255972119,-6400.34535731415,"Russia.Kolyma.T2","presence"
1347.26692038649,1660.60019755755,-1683.15517225614,-2408.19925774277,1431.87008369819,0,-39.4346899117618,-1683.15517225614,"nonveg_663","absence"
-84.865804136415,35.2423488656635,-1844.32891547533,-831.657253122556,1046.67872547127,0,-17.712212126337,-1451.27711110214,"nonveg_681","absence"
