"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_blue_endSnowfree","trees_presence","spectral_EVI2b_annualMean","spectral_EVI2b_changeSSES","spectral_NBR_changePSLS","spectral_SWIR2_changeSSES","site_code","presence_absence"
2786.91623563327,3770.8539127695,4077.68100413924,5509.11578423854,6430.79617365049,-5764.60299339225,-6331.19329407661,-6534.5192866099,-5430.03341761378,440.425826468429,0,3437.26488914295,28.2658144449656,12.2885714428129,1.04520647601358,"USA.YukonKuskokwimDelta.72B1","presence"
808.496686475577,462.960896931837,514.112005073024,1281.83709075841,1442.10968511123,-1060.44096184927,-1426.98387099452,-1433.29279245437,-736.01426305422,993.338236378721,0,543.070998266913,5.66004142522261,3.95506696452716,9.27838062076703,"nonveg_874","absence"
565.628262972518,636.518428028979,515.989947305557,1020.7571493645,933.818711363858,-2148.08675860901,-2156.82897457301,-2329.37927775373,-2374.52242015987,1202.6349308628,0,523.904058323399,9.50361557824587,51.0087912738328,4.54646360636808,"nonveg_543","absence"
499.993119613221,-240.021490659302,-175.613458950364,363.689653706849,-41.9985362067706,-660.427944834438,-1055.09837243474,-1035.29498289954,-609.516027568471,836.401385601284,0,97.3396380377402,-3.07637071109832,-9.94035393976201,-5.46991723925188,"nonveg_1268","absence"
2691.18931248791,2966.5460110331,3331.29386052877,5233.51862062137,5738.09949726163,-4824.32611068454,-5862.61995659516,-5853.54546546937,-3529.88916913634,564.817303138703,0,2926.90833093382,13.8783955086776,-34.2767215866318,-4.89450976630462,"Russia.Yamal.Nadym-2-IH","presence"
1858.38447106224,3396.38400641452,3923.29533117898,6203.06487335873,7449.95321719271,-6022.91868721044,-6044.0041770988,-6429.5580021128,-5863.70130518548,278.607188775377,1,2560.05840403523,23.3842534188767,-34.7724109578794,-3.93049850289183,"USA.InteriorAlaska.2","presence"
-188.02441853132,-44.2353018832641,2059.21808297372,1184.16615973956,3662.62769062183,-1588.66214465166,-3314.36861261299,-1517.03348678204,-770.819309738979,534.749033958316,0,355.475191660362,26.1906795541374,-180.433215260816,2.62222912886085,"nonveg_532","absence"
-55.3359730563436,406.452939196877,658.645485136971,643.597721511941,1141.23283078873,-1343.28293028246,-1168.73658644577,-879.840257736494,-1560.98444141957,738.892916007371,0,258.294992568126,25.1419848706964,-10.3123162791513,10.4719983927414,"nonveg_900","absence"
487.83521143844,619.393985245498,581.611277196805,803.9348379534,947.56499927402,-767.612857962908,-846.640550938799,-909.014941536119,-938.52973060611,1844.25190502619,0,472.585753115693,15.612024110988,22.7855433294282,12.5385831627084,"nonveg_994","absence"
3009.46180348063,3235.05407433901,3215.96946348195,5263.40216429161,6135.46024160144,-5637.72699778536,-5982.29548141633,-6319.49622744141,-4803.75207781617,565.799957634626,0,2585.91440834712,24.3231144938328,47.4809496404394,-1.93425018912028,"Norway.Javrresduottar.EC-Betula","presence"
1777.12566647296,1945.88023279991,2511.2740345674,4879.99130971122,5718.56175769747,-5083.31338855959,-5597.96383151231,-5353.89171166443,-3789.56009205281,306.011594187913,1,1254.16471357898,4.21488088417718,-40.1670971744816,-6.26886483717429,"Sweden.Abisko.NF-Wetland","presence"
280.256573929651,291.387631809303,912.60593908844,708.315386324955,1222.7681939553,-1030.77485880937,-1380.3236723888,-571.705054211211,-1271.14931742622,1562.55003034388,0,449.212493853947,11.2016082429806,-395.35139795134,-0.912297799301521,"nonveg_912","absence"
1088.80731908805,1052.94613155638,1228.27271730533,1781.40155238856,2252.13231306035,-2423.3833757868,-2897.28834679787,-2687.93753812585,-1456.83015504984,994.55370242585,0,819.726920184252,32.1894922467578,-220.455065010783,12.7501452374692,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
-396.556009926285,229.820052541219,116.164429488531,-139.89381019154,-373.856370683066,1899.05468253299,2696.70068804685,1400.31084510853,2438.37777488618,254.154551010838,0,-19.3288376495841,20.3656900037872,2.65238360132383,5.4196262871001,"nonveg_1677","absence"
2248.70135698585,2433.12168583452,3282.20037147954,4446.61885153211,5674.99303645728,-4893.41544779813,-5759.71373116268,-5495.66765105537,-4063.77132455324,603.295061725367,0,2185.67727863351,-4.91147195668907,-122.905836693541,-15.5815055935058,"USA.NorthSlope.11","presence"
-396.556009926285,229.820052541219,116.164429488531,-139.89381019154,-373.856370683066,1899.05468253299,2696.70068804685,1400.31084510853,2438.37777488618,254.154551010838,0,-19.3288376495841,20.3656900037872,2.65238360132383,5.4196262871001,"nonveg_1677","absence"
158.233669032059,1134.28818352535,1285.25097051373,2056.86141714586,1814.42933274362,-1340.1120356315,-1652.27216903389,-1586.98245325262,-1209.21779067827,1280.77789117263,0,1135.37785324731,-0.550729674603645,-13.4328264570328,-3.28342675214282,"nonveg_915","absence"
741.965165751907,405.433182017064,120.750536462655,1491.45773658307,805.239893422546,-2896.01749024613,-3561.02244351973,-3948.44760851669,-1899.54621379503,714.129415551336,0,587.642161763951,-4.90744237674966,112.963487370455,21.6259043993547,"nonveg_680","absence"
1416.41849940522,1705.85954896699,1918.83077135338,3031.58914065937,3799.08346519794,-3864.64362896965,-3965.33110485917,-3919.7538005779,-3028.35667830085,676.459196669364,0,1502.61096070353,15.9551831696347,44.1007908119114,2.41977836798955,"Canada.BanksIsland.GreenCabin-C00","presence"
2585.77127630695,2832.26051246337,3497.52199786194,3840.32812697086,5364.25406608198,-4961.68479694358,-5514.07930410669,-4857.66801497627,-4171.83566594728,772.111772920326,0,2981.16888636067,23.6824656074798,-103.566336228226,4.01906829562388,"Russia.Tazovsky.Unburned28","presence"
4332.07637351837,4646.19352031416,4975.44855179208,7452.01104142861,8228.79218535712,-6818.88648309645,-7408.31854747687,-7627.64347350325,-5478.55244605708,437.474939790985,1,4088.00808895428,47.2567281245781,-32.170441922822,-0.558114262213009,"Finland.Kevo.4","presence"
285.657287301741,177.69008596207,789.70005948084,-92.5922739561377,1167.68003705347,-1275.02860821746,-868.496900187991,-229.211984236097,-208.079347291257,920.954836692466,0,337.59840104666,-27.9201078981319,-75.0744899952478,-10.7102344192958,"nonveg_1316","absence"
