"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
3095.30650535493,3825.54558228613,2193.95189698033,6267.02297407555,-5957.62826345066,-4965.20505802244,2306.62577425873,-6092.16954536692,"Sweden.Abisko.NT-BirchShrub","presence"
2110.53150709787,3112.90740112403,2111.20985517686,7784.70487488499,-6945.5312628517,-5804.11130238823,3616.44804633031,-6064.17219497294,"USA.InteriorAlaska.22","presence"
1773.99854889457,2616.46036121773,1448.0861126119,4940.09787613091,-5440.39558310083,-4216.74578848808,2645.90741053826,-4659.02457263842,"USA.YukonKuskokwimDelta.15B3","presence"
961.265966569236,949.880234304354,316.193590369115,2506.00278384689,-4028.50923754198,-447.379681115076,2297.24913311183,-3025.11632191612,"nonveg_671","absence"
3369.63668984046,3976.43509152898,2287.5211726553,6481.90995593219,-6842.54274837391,-4995.78997388276,2118.38272977366,-5917.07000029036,"Sweden.Abisko.NT-MesicHeath","presence"
359.630958647718,187.018290701999,-511.086395503798,241.262035401327,-780.185360235596,3808.16111377107,4022.57919474693,-1160.62719307909,"nonveg_1888","absence"
2651.77626908512,2947.66387831181,1649.32466900252,5285.10835266432,-5469.59709818884,-4355.58622960792,2987.91805735189,-5205.16436128125,"Canada.PayneLake.TD4","presence"
-783.780664964632,377.335737398411,876.77481191246,678.97930646296,-439.761720613658,611.503841707052,1900.45023882104,-439.761720613658,"nonveg_1089","absence"
-62.6283834005491,1139.94382095679,480.996914377065,1695.94569468433,-928.362394808386,-889.726236835288,1743.03159287678,-1502.10308467786,"nonveg_684","absence"
3040.48974006711,4437.24053818032,1942.55884792627,6823.41171696552,-6492.9876586173,-4776.38875239402,2774.61255131938,-6075.94533278106,"USA.YukonKuskokwimDelta.15B6","presence"
267.686818749669,677.081576684299,415.834317469398,-188.185296481446,-44.756946199201,-213.064626243958,958.034189564882,-535.03250699013,"nonveg_995","absence"
567.369433751372,592.223190748812,-12.0393012745498,912.500029584341,-1042.2581659729,-1180.18516088793,1049.97744517724,-1136.67106775959,"nonveg_907","absence"
522.602004078013,863.229162690956,221.740654550834,224.14203007932,-569.69194850498,-805.126554130181,1311.6043898514,-805.126554130181,"nonveg_709","absence"
699.974041818839,294.520853736846,426.404663043477,861.882736958589,-1908.86010998442,-609.310810207477,680.326214591095,-1073.37124618575,"nonveg_936","absence"
1777.95162603112,2679.62800165903,1069.21342064515,4791.1915428888,-5291.91208270289,-4134.6012811879,2566.62920723202,-4604.65209556024,"USA.YukonKuskokwimDelta.1","presence"
