"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","trees_presence","spectral_NDVI_annualRange","site_code","presence_absence"
2687.19114794903,2149.53106046431,2278.57413344205,7029.28339207045,-6479.40097835407,-5999.27805684526,1,2246.56011300412,"USA.InteriorAlaska.22","presence"
955.270698773365,260.64410779477,-235.517697059686,589.6982548123,-79.6636922339715,-1321.44178786706,0,1720.0622761977,"nonveg_994","absence"
3300.70679875201,3285.99856567158,2178.47037163837,7223.2134688648,-6375.43476799236,-6656.48245826137,1,3903.14631892746,"Norway.Javrresduottar.A-Salix","presence"
1010.05344145851,1772.44842569566,1753.2166622464,4051.25502430154,-3784.45392977787,-2836.76546645853,0,1816.33642815558,"nonveg_662","absence"
2733.79843789467,2182.61990074804,1941.25155711333,5628.58694346626,-5689.39859437217,-6014.80564069181,0,3150.86992970624,"Canada.ChukotkaRiver.TH4","presence"
3121.70906482982,3114.14655717604,2024.38288771912,6369.16046100774,-5437.62428167918,-5926.42107719575,0,2852.51691739376,"Sweden.Abisko.NT-SparseVeg","presence"
955.270698773365,260.64410779477,-235.517697059686,589.6982548123,-79.6636922339715,-1321.44178786706,0,1720.0622761977,"nonveg_994","absence"
-184.41044354206,310.536009501607,154.545041010049,1366.74888532384,-2107.61535878793,-1715.78366621732,0,1228.37942072756,"nonveg_637","absence"
2175.95151329159,2348.52786021629,1798.29008754399,5108.51285141632,-4718.31181141925,-5378.78300597653,0,2016.84663410949,"Canada.PayneLake.TD2","presence"
2904.16330527491,2290.14777783377,1421.54505874886,5147.01267040838,-5098.62016767422,-5859.39554470729,0,1997.31823034485,"Canada.ChukotkaRiver.TH1","presence"
1442.14419376266,1803.78010722112,958.162960516086,4049.97962423947,-4850.16010478577,-5505.1660915384,0,1780.7256040003,"USA.NorthSlope.FranklinBluffs-C17","absence"
3022.89716925179,2586.41247283789,2814.11603076238,5600.98144676305,-6059.35310658034,-6534.40920830339,0,1626.07975630291,"Russia.Tazovsky.Burned28","presence"
-71.9547930994318,-598.564395170184,-742.731783310809,428.116026626791,2350.66503129833,3074.13492581828,0,2700.56562406858,"nonveg_1646","absence"
3008.31446580474,2375.86552757863,2064.82335372376,5556.58626046732,-5364.38319968716,-5658.73335543213,0,2655.70471008087,"Russia.Tazovsky.Burned12","presence"
141.113996333981,852.971344116132,452.046252315154,2060.20043900571,-1776.8127326386,-499.158201810697,0,1643.88495196491,"nonveg_659","absence"
970.770135686333,567.783864662201,781.475435396023,1548.48752301553,-2286.34944540327,-3004.27959847653,0,735.558633863051,"nonveg_832","absence"
3671.40568786618,2661.12090471097,2285.69317871386,7135.28995497908,-5644.51102970044,-6107.16310083734,1,2535.45230778171,"USA.InteriorAlaska.20","presence"
2377.07624827246,2044.68880606023,1303.54823058666,6021.59976573927,-5175.40592638176,-6038.86434343178,0,2968.51977936734,"Finland.Javrresduottar.EC-Salix","presence"
3448.70417996412,3358.09713029927,2357.82287682509,6838.44265757065,-5862.83204303537,-6314.72391371462,0,3468.05794048596,"Sweden.Abisko.NT-MesicHeath","presence"
2571.18516883784,2369.01991071459,1718.17110277167,5224.36499301169,-4485.24854121044,-4860.5006253983,0,2352.74288337921,"Russia.Yamal.VaskinyDachi-3","presence"
104.495752325429,407.837860544611,155.026146667534,1001.07315740831,-1542.7601388717,-1788.19958208201,0,646.737428873538,"nonveg_874","absence"
1632.52724807345,1613.23056018814,515.896988203371,4329.47136076899,-3994.168331005,-4594.28887052816,0,3719.01810554737,"USA.NorthSlope.WestDock-C14","presence"
-355.027690108318,477.161440063379,60.2356283863982,523.789471472893,-1610.3085305958,-978.976796200126,0,1516.44486006236,"nonveg_582","absence"
88.6356332074383,-736.650397863721,-760.208883987213,-1756.25791042701,5900.64205791963,4421.76203568553,0,4143.86176446845,"nonveg_1810","absence"
99.9171324477315,515.210343233287,251.727270893632,490.919670221083,173.408628570116,144.298149161419,0,2001.97161920031,"nonveg_1642","absence"
