"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
3686.77969532327,4298.41713327344,4863.36785983356,2435.00528469818,5644.04306761361,-6498.30547300296,-5968.45729406058,-6884.50962574199,-5420.98058348311,0,4458.53771699153,-35.6622629850439,68.9025809148334,-6620.68337738547,"Norway.Javrresduottar.A-Betula","presence",0,1,0,0,0
302.296177273783,642.853281196173,898.439393998261,1101.11761772572,834.090680889419,-1604.82931627084,-1615.61418422036,-1559.57968459932,-361.412085267177,0,642.853281196173,-28.3797586601992,7.73222411891334,-1311.17684452508,"nonveg_922","absence",1,0,0,0,0
3543.83807747823,4394.71865839505,4905.68995891555,2618.00113478205,6316.79372967702,-6188.77350526372,-6716.6945231279,-6931.51916524369,-5508.76964422867,0,4412.26132546704,-54.4959579439557,15.0601534452257,-6224.75066490066,"Norway.Javrresduottar.A-Sphagnum","presence",0,1,0,0,0
2852.95473964816,3304.26977135847,3968.05368850024,2484.5262305175,5934.92427680073,-6485.10650143899,-6442.76621839793,-7069.88802182736,-4834.45348850035,1,3025.49424643691,-38.5379074558893,77.4095302062932,-6401.43609179135,"Sweden.Abisko.NF-BirchShrub","presence",0,0,0,1,0
2632.28691838475,3167.36992718823,3314.10095889114,1021.23715493608,4552.48284013438,-4584.84458514296,-5055.91058778476,-6074.33317241277,-3579.50311166682,0,3005.95747537617,-25.4997724785131,22.6450818824453,-4700.01931360903,"Canada.DeceptionBay.TH8","presence",0,0,1,0,0
-18.3118152191203,-202.260694982202,-318.659845965133,25.9139418393305,-34.9946190984015,-547.195310627746,-400.318098942399,-607.344349477502,215.084320767149,0,-120.873701312891,8.75947046490868,-12.363167828262,-444.383302776582,"nonveg_689","absence",0,0,0,1,0
1475.78940317277,2319.11153854996,2691.21801201107,885.673543514839,3825.327159294,-4573.46145776885,-4596.8686865112,-4968.60235583787,-3858.07401540784,0,2056.8851150787,-85.1350378447268,32.0151801946799,-4746.41821853616,"USA.NorthSlope.FranklinBluffs-C15","presence",0,0,1,0,0
2392.79260714306,2806.14022893072,3093.63218859272,1457.67506692637,4883.98188020747,-5819.90657685955,-6119.33572421635,-6263.05478715373,-4813.93770676031,0,2552.03158186598,-57.7200362669495,36.7851549975247,-5851.03054207508,"Finland.Javrresduottar.A-Betula","presence",0,1,0,0,0
564.683478305848,-244.075645092277,-112.723717326056,-117.719324907034,194.713836359567,-1101.29058138702,-809.514312917911,-1636.58139876321,-441.095546561251,0,-112.723717326056,67.3965936165104,-8.45420104072081,-1075.87066534332,"nonveg_1416","absence",1,0,0,0,0
2524.05384146303,3118.99204478554,3904.95004492708,2496.81837685982,4961.75700000137,-5243.14485574877,-5819.51551803576,-6368.59822680738,-4798.30379432306,0,2788.4604840752,-25.9480473754448,32.1834573769046,-5838.81080054011,"USA.YukonKuskokwimDelta.UB7","presence",0,0,1,0,0
411.485565570521,373.80312364774,1061.45368938934,317.508266733245,1376.50298336738,-1155.14542467486,-1850.69135812898,-1987.6398759575,-1846.58435850283,0,411.485565570521,2.69160299448436,4.48213708038272,-1595.19932167214,"nonveg_894","absence",1,0,0,0,0
45.9292201538391,224.077246304621,532.006789669052,19.0614300817475,1140.14507147806,-1026.96205160659,1224.82839816176,-983.262435700811,-1722.93746285959,0,224.077246304621,-5.93826753835941,4.32427415709706,-701.303934561459,"nonveg_594","absence",0,0,0,1,0
