"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_SWIR2_earlySummer","topo_eastness","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_NBR_annualMedian","spectral_NBR_changeESPS","spectral_NDMI_changeESPS","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeLSES","spectral_NIR_changeESPS","spectral_SWIR1_annualRange","spectral_SWIR1_changeESPS","spectral_red_changeESPS","site_code","presence_absence"
3151.03414336006,2274.26535042026,3675.94264731667,3813.92054018143,2049.54390369749,4227.147831949,5514.14583704932,4443.22065253939,6115.01411647292,6342.61830422101,3812.16235769951,-5795.75215488149,-6116.86264871907,-5941.32984090137,-6459.4612583133,-5227.54477959521,1297.05881265638,0.0459540635347366,4.06684494018555,0,3087.88292405496,3019.19801291641,1637.43589661897,17.0976564933712,3118.24053580694,27.2007812354469,16.1018078800153,5288.18680947664,2278.35097625801,-84.9266195892722,-5859.43338638846,-5842.2962643594,-18.1929086882124,2.8865289505209,496.932149036404,-8.14075535410788,-7.52104996334688,"USA.NorthSlope.HappyValley-C19","presence"
61.0820514336473,730.198868068631,153.900440064364,-669.074367217124,-81.1775636850915,-2043.42768006592,228.684046155015,658.301185985383,324.392691310594,-436.559768369236,-35.6433876391141,-526.85589042656,526.176956689384,-416.050469567992,-1359.03512165723,-230.059264831258,1081.89503158642,0.505668878555298,31.5680522918701,0,61.0820514336473,38.9858857328853,1399.27323528575,-30.4231841104488,-956.964884472073,-45.2692831497436,-38.1901367405785,147.834953488528,1094.86095435462,17.5741312986731,-416.050469567992,-401.16475795873,49.5909171714408,-23.0227721961139,585.287009118098,-16.4894322723147,-8.86762796069615,"nonveg_1089","absence"
3208.50615156124,2488.40720842261,3326.65976354219,4085.9599190617,2246.518745878,4713.43977651451,5125.11033623994,4363.23092627646,5303.10267020325,6411.50655634455,3921.01628441653,-6792.45931044612,-6477.91555588314,-6956.50595448694,-6524.20818065023,-5719.42022429918,1026.3562831527,0.018050198443234,1.32016229629516,0,2606.2091966129,2909.66964058008,2735.86447204569,61.6003576311616,2307.85002888988,167.95455736387,113.667250179338,4768.05844473624,4037.21985209343,-6.80137631172042,-6611.14806651157,-6934.32373723518,50.084435152114,34.696874213765,676.856118478745,21.1517537024608,9.95951726961954,"USA.BrooksRange.7","presence"
3092.27105680313,2316.05299362661,3428.24570790603,3709.27387929959,2505.92919114374,4586.17034472214,5747.50963337092,4634.62551393322,6228.299448509,6665.99774315221,4826.25213302891,-5858.8267197015,-6206.48843545296,-6119.82754942831,-6331.99870928132,-5450.81905519194,1076.4692422262,0.00911545318861803,0.893373171488443,0,3232.55138566185,2907.14399685142,1149.84898175891,6.28693045733702,4024.60884827751,4.70002653580183,-1.94849965947504,5451.81280400639,1761.22842055253,-65.5998735344118,-6383.94286025676,-6382.57523814118,12.5031987313875,-2.163700863063,378.246799651457,-10.0565535024692,-7.13658265256434,"Russia.Tazovsky.Burned28","presence"
35.5301691268205,586.386124842904,-7.17301549521349,412.52912311291,350.060072721682,-2206.84883039764,259.463424759047,922.379346943497,214.290041861428,714.023372022638,569.756363566534,-963.895216870619,-415.691580317477,-1065.00232988637,-630.136432308527,-571.675311609469,2049.51548970186,-0.321381032466888,18.9579315185547,0,350.060072721682,275.466494861821,593.559140338117,11.0882045290026,-2206.84883039764,11.3747342359874,9.3019484279013,535.982509830629,708.089305082068,59.0074420901724,-630.136432308527,-729.280174198492,54.1092291307409,6.02000752435757,468.877855772825,5.42494073730436,2.70162886373069,"nonveg_1316","absence"
3304.75675489451,2563.58159823756,3675.17786028126,4134.79582028144,2232.52212640144,4996.1756848819,5347.96716123159,4592.34271021314,5950.04790331181,6611.272495554,3851.65139060151,-5755.92198757552,-5591.07671193087,-6207.76346378723,-6455.04499398708,-5318.67777322126,1321.52483356186,0.011951564270773,2.00870864626802,0,2866.7275091822,2924.29484644311,1453.2197354135,23.7836706939481,2915.60523424159,47.3756311650506,36.6318672992382,5089.95356613479,2064.12188847027,-26.7358789426818,-5686.38970357784,-5397.55872790853,59.4046184001605,8.67525311925766,487.714071689753,-2.34613550637798,-2.60043310083107,"USA.NorthSlope.Ivotuk3","presence"
1171.17244756922,783.07075147787,992.740840512173,715.041115489467,399.271447019428,-2930.78764525022,2581.79649422948,1879.35989978807,2358.34973545564,1904.83948471053,930.420300977222,-445.137709681257,-1115.4860563898,-1035.65900891082,-1831.57936186124,-1227.38920508167,2443.38094922708,0.031349066644907,1.84379136562347,0,783.07075147787,812.259320413632,771.901000549795,-16.8937530399909,-2558.4339951047,-32.9475031490668,-33.7454799468839,1930.95318303219,1651.37619325225,-31.9326557111708,-1115.4860563898,-1131.05026838496,-5.32180316526551,-15.8148801146842,601.531787390039,-18.9376536226129,-12.7037425615841,"nonveg_769","absence"
2917.05979206865,2006.67867850602,3592.99858300593,4318.29297040077,1830.27318629881,6374.13057159563,5874.95667729289,4910.66958025321,7064.64569914686,7752.19716740795,4546.70792882225,-6508.40024173756,-6130.27431261057,-6374.0121556076,-6674.6057984629,-4947.47375103582,656.885413132961,0.00264868838712573,0.793582916259766,1,2453.39064328195,2729.56508660109,2226.53255730786,39.6233856151856,2826.33413129571,78.4464841093526,57.5740288492496,5664.2052850345,2877.43916487367,-102.765684459774,-6617.15342119895,-6481.28110111942,-17.3231719922957,19.6698250844184,489.523026965906,6.76156254069659,2.1964209291334,"USA.InteriorAlaska.2","presence"
1710.86521291826,1680.71062804094,1885.98109027296,2276.88559464708,1208.49747902713,2065.84355753332,3406.83086231009,3283.72328389624,3630.05048592757,4286.7965190609,2607.00440123984,-4523.16992100965,-4319.32950601479,-4966.31143077394,-4772.33330179278,-3469.10759928074,1259.83883368517,0.047760559245944,2.86141055822373,0,1453.29291551897,1581.06701466367,875.692640394574,32.6094591768841,1175.19601815395,47.0632499481874,32.7614834995346,3134.89083329625,1456.40539935038,-61.7239633974631,-4903.2007366387,-4567.4935146819,17.3738439756422,20.3635378004251,744.620407517721,30.0718382123517,6.34708205350301,"Canada.BanksIsland.GreenCabin-C10","presence"
1201.09106237025,730.152359478629,1007.84404881317,378.844983730991,-375.903794522894,-1453.3392443989,1717.2293795609,1229.31083488324,1468.77729833955,1095.4307246873,-1402.5381253617,-1576.24337038043,-2251.20173055247,-2377.86009821531,-3428.73460754015,196.920828091879,2089.85308807267,0.000872678123414516,0.182796254754066,0,730.152359478629,588.405731974028,1576.99485689314,-43.276109402066,-214.325838617955,-165.237030967956,-126.838724808981,821.642022421857,3119.76750492261,-11.9733231728155,-2251.20173055247,-1887.4237957193,6.33291838314237,-6.3438255020663,3175.2012518103,22.8574498211081,8.26242244883371,"nonveg_1672","absence"
138.658602441454,276.303092175063,392.610946935081,-11.7800354164877,147.457914787974,-1889.54619422751,320.904221707712,555.099559887335,811.326628359866,-27.0330592767957,228.649179905711,-962.902513471035,-983.689483528794,-694.381165322994,-1707.16480481949,134.780502112776,1633.13899359703,-0.37727501988411,24.4778156280518,0,147.457914787974,188.650104184617,404.390982351569,-6.26827657741425,-1172.29068789811,-29.2392759077675,-27.4177820189877,377.789306116766,838.359687636662,-256.227068472531,-962.902513471035,-842.671493005908,-289.3083182058,-8.79055618848627,469.118786668036,-9.21687097696119,-7.47117018853046,"nonveg_761","absence"
