"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","site_code","presence_absence"
-16.0173189124953,1123.52556201903,2053.87891326453,-1670.20949162569,-2876.47239398729,-1735.32091534639,866.551803978356,1139.54288093152,"nonveg_745","absence"
638.164780425635,560.817869880468,878.817833003755,-649.514661654503,-1122.4661379395,-1459.62437038091,560.817869880468,643.073572343778,"nonveg_1473","absence"
3718.60293996992,2681.40875210448,6812.85782720147,-6070.43462451874,-6111.46413221865,-6784.12984849504,3403.52535062108,1168.64486354857,"Sweden.Abisko.NT-MesicHeath","presence"
365.264915924301,731.576389672629,2879.1401663693,-2326.94597512878,-3425.26421504978,-2226.19543748714,1132.48484918671,905.786806361081,"nonveg_758","absence"
2289.52303187961,1894.82879327074,6608.67903001134,-5738.47208451115,-5933.14376698197,-6121.07618457755,3065.52090684802,1480.3750891674,"Canada.LeRoyLake.TDA4","presence"
232.316787767836,-509.188379632446,870.774990252367,-1431.96396436574,-1758.66522213873,-1294.28670586357,344.371617833587,1122.27200576735,"nonveg_733","absence"
77.7536394452102,504.634367789562,476.838321081396,-1797.87817581036,-2246.64787501321,-2009.00096629238,494.984405133497,553.099721817533,"nonveg_1261","absence"
482.420820347772,726.308453540187,1333.64235527911,-1306.38935165631,-1131.25663060641,-1471.17249866844,423.979022851979,858.45179528862,"nonveg_874","absence"
2936.04346129794,1938.77614523625,7491.96665443841,-6600.3350864733,-6753.94863781067,-7201.79762074622,3786.90319721076,2001.98607284756,"Finland.Kilpisjarvi.19","presence"
67.3837647630829,-84.9265152422877,874.651310375037,-23.4724130176332,-1617.56776230466,-944.857241861251,498.850705596085,902.813596424024,"nonveg_806","absence"
208.684173876688,-173.185342467752,667.590649348998,-1645.56899537909,-1032.72711357453,-1309.06085294096,208.684173876688,588.089696101978,"nonveg_932","absence"
3681.7104316524,2521.52052342646,5968.99091616471,-6228.0373190698,-6010.85555132156,-6895.66898741677,3766.27433017033,2225.16262261999,"USA.YukonKuskokwimDelta.72B3","presence"
2619.21552918028,1892.75693142457,4994.87613260732,-4726.968522673,-5014.72442905819,-5052.41036642021,1631.44886917342,802.779357172538,"Russia.Tiksi.ShrubTundra","presence"
-216.208799302431,-34.2042539366147,1940.03624899992,-348.731643581437,-1445.15664509852,-1567.15410990313,463.684789587361,1255.0582084686,"nonveg_547","absence"
981.638638357509,246.310674382255,1810.09003431759,946.619141797201,10000,2438.86671825897,540.099205921855,1181.4306178684,"nonveg_991","absence"
582.267459627109,-26.501439023185,2230.58852174618,-3301.53323912323,-2486.69246458345,-1895.42765442157,545.635361800563,1044.73014380163,"nonveg_986","absence"
2142.1630546228,2283.76956781475,6599.51527968129,-5960.34222210091,-5780.02599482793,-6670.39586924506,2851.57030746827,1711.21745992019,"USA.InteriorAlaska.17","presence"
770.237047085029,525.092094324316,1399.49270149892,-2419.02187767612,-2351.77831538467,-3186.79226711831,592.580013726632,384.166112919337,"nonveg_832","absence"
532.387346575548,-90.397022951083,824.024367147088,-813.97394735045,-653.121980464437,-1887.36257432688,435.560785269314,622.784369526631,"nonveg_794","absence"
533.395733695202,418.222231729,1401.22997209538,-750.234498668791,-1616.81961368729,-1819.34505114585,533.395733695202,1210.84238330856,"nonveg_693","absence"
1710.45901614315,1095.32637921702,3548.57910235575,-4491.07289086219,-4352.83894181863,-5152.62451414584,1851.01345161087,1474.92267525401,"Canada.BanksIsland.GreenCabin-C11","presence"
3213.13594158112,2224.25171650334,7479.88352167515,-6059.90002127297,-6396.66992667355,-6816.39420822322,3316.34708932979,2457.28610565763,"Canada.BonifaceRiver.AB8","presence"
2559.31725047954,2222.37976175949,6585.86454889385,-5581.57834531953,-5434.63654034057,-5983.82199117847,2754.00614024979,1514.67224425588,"Russia.Yamal.Nadym-1","presence"
1913.27118968549,1524.64888855817,4497.70560492023,-3411.30851119725,-3732.25231397939,-2352.46949721804,1913.27118968549,1215.93187903947,"nonveg_1177","absence"
2993.77239080509,2378.11550036093,6450.74690801969,-5986.66915235204,-6307.49971920191,-6572.8694698238,3315.28099557081,1765.05210301758,"Sweden.Abisko.NF-BirchShrub","presence"
3098.45212285168,1932.04418908575,7606.50994340889,-6054.13157744967,-6114.22171833968,-6319.89179390958,3452.38510151328,2433.04285726489,"Sweden.Abisko.VJ-SalixShrub","presence"
2071.50092163669,877.131295313758,5003.1503683189,-4238.30216499777,-4809.13085382171,-4974.78077696887,1946.85697924517,2041.6075943863,"USA.NorthSlope.Deadhorse-C15","presence"
1478.96837452571,1588.29885022496,4959.93796571665,-4899.85034790471,-4963.21342991376,-4672.53407421776,1893.06709069626,1425.4852691359,"USA.NorthSlope.9","presence"
1453.61655390535,460.061265666351,6050.77839640115,-5480.45240071434,-3805.22084189166,-4979.99572308263,2234.90957676639,4075.2471467351,"Canada.KluaneLake.Quill-ShrubTundra","presence"
1871.33959906863,1390.08377138466,6015.05458332321,-5729.23317763115,-5868.96125433279,-6445.87369293124,3293.29465087339,3646.92266363768,"Canada.DaringLake.MediumBirch","presence"
482.420820347772,726.308453540187,1333.64235527911,-1306.38935165631,-1131.25663060641,-1471.17249866844,423.979022851979,858.45179528862,"nonveg_874","absence"
-80.8821670027701,-204.031748711906,1421.11977162444,-2214.45410544259,-2133.14643457414,-1672.83375025343,-80.8821670027701,1214.23630925474,"nonveg_637","absence"
295.631410128306,-117.354616706134,-392.238246164928,-46.8780076018112,-41.4231383367382,-737.308567628694,-117.354616706134,632.725505921769,"nonveg_689","absence"
1710.45901614315,1095.32637921702,3548.57910235575,-4491.07289086219,-4352.83894181863,-5152.62451414584,1851.01345161087,1474.92267525401,"Canada.BanksIsland.GreenCabin-C11","presence"
3167.73963387183,2868.21208381707,5950.10559103314,-5765.84831674096,-6014.01640986185,-6573.70924614648,3415.38668909235,1586.75559761683,"USA.YukonKuskokwimDelta.72B2","presence"
-273.971069014993,-515.304686871732,-730.104446720264,1476.28398197021,1303.59585312437,2850.77027018599,12.7360284692345,925.055928164951,"nonveg_1677","absence"
718.762442621445,404.434644293804,1298.10232191653,-1959.50348188426,-1991.85587283527,-2497.07679847188,763.967195418462,1232.56211721032,"nonveg_998","absence"
476.427285191241,677.552917455378,1593.80354609511,-864.339400203338,-1493.88226115972,-947.055299704638,1212.02391142625,738.272334545819,"nonveg_700","absence"
2085.56740712873,1581.60065705413,4906.4364057596,-5016.5806679445,-5128.28849489762,-5377.80913476934,2086.37448745636,1483.37737418187,"USA.YukonKuskokwimDelta.15B3","presence"
951.646894428068,495.055754601473,2043.89188055943,-2353.29145462265,-1946.89840273625,-2495.6499925399,760.93185690767,456.591139826595,"nonveg_575","absence"
2957.98262607026,1986.71076488414,6672.917320949,-5988.9918303232,-6108.70003204233,-6913.36909914207,3406.18378028329,2269.82581632899,"Canada.ClearwaterLake.LSA2","presence"
1181.79936772196,981.471604643044,1040.04841731371,-2268.21101461866,-1725.77418377735,-2502.66352908588,981.471604643044,932.906153241671,"nonveg_508","absence"
4392.59078608514,2678.87576285762,8725.98836311837,-6862.83373621251,-6549.97160423018,-7040.31305033303,4066.01242699305,2679.42421391777,"Finland.Kevo.9","presence"
2085.56740712873,1581.60065705413,4906.4364057596,-5016.5806679445,-5128.28849489762,-5377.80913476934,2086.37448745636,1483.37737418187,"USA.YukonKuskokwimDelta.15B3","presence"
-217.714255104105,472.8197423957,637.476138918071,-2317.54246105193,-2144.72616444552,-1601.33406289914,277.12211768584,948.180843590597,"nonveg_578","absence"
2216.23935511386,1660.89315420152,5484.80257230447,-4991.94683332722,-5176.59447289756,-5487.45977678822,1403.97070745946,1599.79923195516,"Canada.CoutureLake.TDO4","presence"
1429.81065166337,1109.4740207129,4726.07712897544,-4277.58888662782,-4884.25986027016,-4787.22838362297,2012.87119450634,1204.46205925078,"USA.NorthSlope.FranklinBluffs-C17","presence"
395.438036034912,1237.72191602916,806.027370346955,-2084.06691881216,-933.511554120958,-1376.73674252744,268.296277009589,1473.25254828318,"nonveg_958","absence"
2425.50450705588,1126.26676915735,5266.02430923926,-4222.42483631848,-4662.58400023489,-5721.07374875639,2463.66510635587,1494.02985963916,"Canada.DeceptionBay.TH7","presence"
932.338274711449,62.4849176094335,2445.87385392505,-2695.79204053971,-1286.16454329733,-1507.3472247926,932.338274711449,1713.45930347223,"nonveg_627","absence"
2322.3819625304,1784.25825020995,5612.82274655116,-5570.47794412708,-5962.71475035613,-5952.14795797293,1522.18078835865,643.489152915219,"Russia.Kytalyk.T1","presence"
1016.27755980914,110.467327374762,860.964690539511,-2178.31423129385,-1744.26249138315,-2817.28877769131,424.755216417917,905.810232434376,"nonveg_725","absence"
685.081511709156,550.310504974448,697.571778739636,-2767.00053555152,-1172.82831131927,-1904.88708027478,550.310504974448,1320.40961687572,"nonveg_695","absence"
685.081511709156,550.310504974448,697.571778739636,-2767.00053555152,-1172.82831131927,-1904.88708027478,550.310504974448,1320.40961687572,"nonveg_695","absence"
2026.06078129944,1421.67460978699,4458.12193350048,-4281.0149224752,-4914.23733254986,-4872.29172806184,1847.85818552435,2072.34785516967,"USA.NorthSlope.Atqasuk","presence"
2685.05300377898,2367.78769451826,4914.60735359463,-5000.10587869053,-5622.89285206767,-5951.56940702854,2860.63695635784,673.13271748815,"Finland.Kevo.10","presence"
2428.38342398605,2091.40526785786,5256.11306901502,-4982.97693721575,-5203.5052977128,-6228.06167240976,3111.0405960935,1070.96867461504,"Russia.Tazovsky.Burned44","presence"
424.655206566337,1548.56894012306,2302.5648153894,-1509.49086988672,-2997.22097295787,-1766.02480544509,1522.87627233969,1260.32569591345,"nonveg_561","absence"
2715.28473014002,2208.98029866125,5597.90556392753,-5193.77311360034,-5497.52910757988,-5455.11495534936,2732.89525511924,2100.69568368804,"Finland.Kevo.8","presence"
1913.27118968549,1524.64888855817,4497.70560492023,-3411.30851119725,-3732.25231397939,-2352.46949721804,1913.27118968549,1215.93187903947,"nonveg_1177","absence"
3363.05102005155,1640.0791027585,7394.28797631515,-6133.91597551416,-5807.50493387875,-6329.52360387622,3268.84334345615,2898.80237825764,"Norway.Javrresduottar.A-Salix","presence"
