"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_changeSSES","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
1581.99581218808,1742.68867514725,1254.54098469652,-5099.25230807336,0,28.4425101657673,3231.20889017766,-4460.85075490823,"Canada.LeRoyLake.TD1","presence"
2305.51755919459,2354.64335569253,1060.29093153422,-5891.82317730009,0,12.7538079683258,2196.51964780256,-5529.63175269339,"Finland.Javrresduottar.EC-Betula","presence"
38.3851842592596,-239.09189396107,10000,-1460.14700530452,0,-398.46459262963,1351.31462089126,-810.319301368599,"nonveg_1241","absence"
143.313818667343,564.834645232146,-567.547797779458,-1926.78518913368,0,21.5412611044485,2537.70513003852,-896.574338041749,"nonveg_903","absence"
805.78904329829,964.676222299028,680.017387803634,-2321.1692768347,0,6.2885827747328,1332.75673071418,-2321.1692768347,"nonveg_807","absence"
-174.518882215443,273.720054514906,375.92027062871,2915.5652858496,0,-22.0175661137661,2893.51908344329,2969.17320104528,"nonveg_1736","absence"
-201.80120288224,853.245725117916,-350.876000445357,-2591.8480940451,0,4.25927993037478,5495.67840862516,-1635.09426089515,"nonveg_1626","absence"
2338.67084349811,2349.55201421733,1524.38785091457,-5250.71030018617,0,42.6727288907597,2199.02540346999,-5413.34843982679,"USA.NorthSlope.Barrow","absence"
2734.11194930524,2506.26840033322,2036.73985820794,-5025.77153440773,0,12.9905783780436,1420.44224876459,-4756.61190350733,"Russia.Tazovsky.Unburned28","presence"
518.980649194266,54.6538865837317,214.693473124466,-1013.29442109386,0,9.22082351726667,1374.2087481165,-1013.29442109386,"nonveg_794","absence"
3017.96701218447,2704.94989586108,2116.69618137503,-5740.3589327561,0,56.5327829558343,2140.19504722673,-5849.33884703152,"Russia.Yamal.OstrovBelyy-1","presence"
3652.87812262855,3097.86540722365,1166.22780953247,-6716.90682482086,1,92.8131302859323,2703.41623518398,-7306.38191071017,"USA.InteriorAlaska.BABBAGE","presence"
3175.11402234461,2851.37235220276,2006.29057867557,-6328.78818989478,0,29.6552516932515,3331.17199298541,-5332.16808578485,"Canada.ClearwaterLake.AB3","presence"
844.471507272397,782.876971363837,898.089573812724,-2841.77605741529,0,-1.98585431630841,714.054833267081,-2822.95004329112,"nonveg_758","absence"
236.560341796253,145.625774968854,187.787853541484,-1852.93124387756,0,2.12054296759862,245.29156226411,-1541.48442418813,"nonveg_775","absence"
634.363978491485,1067.00560990417,174.8668623394,-1301.3108041189,0,19.9781354848733,1365.64402692145,-1519.99350388359,"nonveg_674","absence"
592.481944094218,310.392160871231,10000,-408.409331528932,0,-391.979918996074,1755.9366825418,-38.2348871594851,"nonveg_1477","absence"
3050.80127591476,2214.32794155836,2124.26819700432,-6363.42197841366,0,33.838524595225,2121.37937666255,-6182.86772737128,"USA.NorthSlope.HappyValley-C20","presence"
261.247388801015,691.999146339014,227.46252859073,-1384.50640305006,0,1.35139440841138,797.474138012621,-1384.50640305006,"nonveg_752","absence"
3535.10337853447,4165.46128598049,3287.27434149664,-7866.95758415617,1,10.3151856391838,1478.63718147111,-7620.37704712429,"Finland.Kevo.2","presence"
3125.97117675229,3141.37534210887,2186.89510431412,-5929.58808256328,0,15.872099697076,1785.27191115612,-5060.33469402382,"Sweden.Abisko.NT-SparseVeg","presence"
3462.70109112559,3141.40522101485,2597.60839281817,-6906.61409512211,0,33.4216962619157,2383.50424609435,-5784.80000522084,"USA.YukonKuskokwimDelta.72B2","presence"
3131.14252647066,3008.83306735183,1577.21391368188,-6757.73211104056,0,39.9539748556743,3062.76041988351,-6757.42315257628,"Sweden.Abisko.VJ-Wetland","presence"
416.086539638364,652.519641808676,30.7363853658291,-1558.89312671585,0,8.02812821401115,954.77982024319,-1295.35829330476,"nonveg_956","absence"
3195.72968170244,2431.76580080996,1736.78793844959,-6639.08085452155,0,39.4232586626146,2992.33856293965,-5680.60338784275,"Russia.Kolyma.OW1","presence"
