"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualRange","site_code","presence_absence"
2298.49230619769,3242.94950274892,1839.44700874632,-5468.86508768765,-5888.59233360011,-5093.36919439657,0,2266.80063975261,"USA.YukonKuskokwimDelta.UB5","presence"
1938.4606341998,2198.98683854939,783.045553199233,-4820.23850643473,-5093.9354504374,-3249.46104535161,0,2040.72540116068,"USA.NorthSlope.Deadhorse-C15","presence"
646.28290953148,639.454877735775,354.610037628412,-1918.64818820352,-1617.18615440034,-1940.10881610292,0,724.889833731645,"nonveg_867","absence"
316.21600498349,1335.00300284158,1110.14543767122,-3509.73411913086,-2521.54511914468,-1548.53115923463,0,1018.78699785809,"nonveg_758","absence"
301.595012972704,422.411396021215,358.280768088759,-1630.73567718329,-704.610792325552,-1294.21802985041,0,1046.08521900559,"nonveg_871","absence"
2899.12110024228,3309.64671996293,2298.36547365509,-5347.82918655244,-5514.69300611811,-4276.49823909494,0,2307.33986802047,"Finland.Kevo.8","presence"
758.494346564877,337.251302170594,491.01447798535,9852.6569154192,508.812564256267,1516.92425960226,0,634.817537976368,"nonveg_991","absence"
3244.27594974103,3851.60109306285,1714.73586410603,-6074.85926838396,-6610.01988812861,-3888.21283450542,0,2892.80800276745,"USA.YukonKuskokwimDelta.15B2","presence"
565.824806526578,420.901915861038,672.80093739145,-1186.45066462491,-730.490177439077,-921.583311052641,0,384.415778635817,"nonveg_768","absence"
93.1027301718831,1241.86196073899,-283.74482670117,-1743.62665003103,-1560.30793885265,-638.240818357114,0,1525.60678744016,"nonveg_673","absence"
2409.34985905434,2928.71303736688,1504.83856850064,-5991.64324215034,-5444.84212312917,-4118.38915411421,0,2313.84455914844,"Russia.Kytalyk.T3","presence"
1022.26149308837,274.458032155464,20.3645052311809,-583.967695469153,-2642.07270691269,-2069.37830250543,0,1001.89698785719,"nonveg_769","absence"
-520.053010439871,-98.1596283345761,-1656.69974645927,8290.23827264239,6952.53266176096,10000,0,1574.66768839846,"nonveg_1797","absence"
1307.5759671723,1464.91002376881,704.585278899758,-2943.75758630939,-2805.77580697061,-1849.12590505382,0,1496.2229636863,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
249.619903883935,78.6192251560813,-126.697879856326,5875.971448204,3191.42866622779,2422.06282873675,0,577.125528604574,"nonveg_1736","absence"
2029.95572509319,3469.2126336452,1960.58425183719,-5961.3346814656,-6049.6029429007,-5141.36824727287,0,1669.13704241127,"USA.NorthSlope.10","presence"
307.788452667458,-45.8793711635608,-431.61502034751,7710.30853660807,8589.69374835561,8072.63859865925,0,954.788295685747,"nonveg_1994","absence"
2564.02056073912,865.688533525736,1462.4923546802,-2266.74561522875,-3908.63563080057,-2162.09272941664,0,1698.33202721338,"nonveg_662","absence"
877.568998266776,813.205839281221,1238.93047908486,-1129.92554391415,-1058.67808099724,-67.2909737983739,0,518.131249973772,"nonveg_677","absence"
587.246690852904,-95.5832849019652,638.33233124138,-1012.42931735674,-1339.88936372967,-465.624029108719,0,733.915616143345,"nonveg_874","absence"
674.396207895269,517.536640802906,623.171833547046,-173.830385777566,-1996.11746477045,-34.2150217629476,0,1322.06939755062,"nonveg_670","absence"
2853.37184603939,2894.84626290034,2131.12256988369,-5115.96921865228,-5628.28384424233,-4612.15976296827,0,939.890757942341,"USA.YukonKuskokwimDelta.6","presence"
2228.65258963449,3260.78216098185,2369.10020255536,-5385.82319082856,-6705.62314181055,-3248.77763569603,0,1534.98681071363,"USA.BrooksRange.8","presence"
2546.61402768465,3581.30585871216,2073.16948426479,-5327.73483479388,-6376.65669252823,-4884.67331337125,0,1958.12788585808,"USA.NorthSlope.Oumalik2","presence"
2717.23984455423,3241.17910963108,2148.94503734278,-5918.06776048307,-6010.90966091797,-4533.16057110618,0,1550.69532490798,"USA.YukonKuskokwimDelta.15B1","presence"
2812.56606589679,3122.1533817521,2107.42924276534,-5698.6919787556,-6180.1461218614,-4196.49650312461,0,753.936905447969,"Norway.Javrresduottar.EC-Sedge","presence"
2872.50565207667,3098.92078011389,1928.0678281439,-5602.18310003737,-5641.43485375945,-4378.86178277411,0,1176.17494322726,"Russia.Tiksi.ShrubTundra","presence"
-212.734776596026,777.258688824839,-86.1920523365191,60.3140149529549,-1423.44111199784,6572.942097827,0,1020.22410334851,"nonveg_1794","absence"
1307.5759671723,1464.91002376881,704.585278899758,-2943.75758630939,-2805.77580697061,-1849.12590505382,0,1496.2229636863,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
