"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_changeLSES","spectral_NIR_changeSSES","site_code","presence_absence"
800.416331904398,564.72274460937,110.739428082884,2142.16929124096,-3563.38874875675,-3052.05952364921,39.6531599342918,-3.50818858355164,"nonveg_619","absence"
3078.45125137517,3963.20305928766,2336.76921711124,5462.05549109824,-6807.74467354742,-6097.38688449194,-41.3786383298183,5.37423125711267,"Finland.Kevo.5","presence"
2032.26392194743,3634.27834338726,1997.63527184686,5106.91618124595,-5716.45888942088,-5947.59205944433,-21.2331405722868,13.6769539754357,"USA.Toolik.S2","presence"
1283.08565447227,1159.41874372669,532.54508298198,1400.55649115518,-1740.79082023104,-1630.72821461931,19.5222061461594,13.3950789814722,"nonveg_926","absence"
1616.69968942155,2749.09439403526,1255.5371708897,4241.14514493476,-4564.45726999293,-5508.01126422651,-78.8771359413049,-1.36657514171584,"USA.NorthSlope.14","presence"
2153.34529914725,2355.59977754346,1533.13513985398,4023.54581589727,-5098.8267692059,-5509.25871506606,-4.2291922655045,8.70647899388442,"Canada.BonifaceRiver.LSA4","presence"
801.554032410975,955.824764422481,375.103946164369,746.05187741248,-2831.35509385842,-1949.39112028965,27.7339854005436,0.75101144128376,"nonveg_849","absence"
2327.14377933174,4381.09189753783,2082.69116920397,5351.62687164125,-6051.62331821172,-6199.65944864117,-50.7554829310905,19.4013038698794,"USA.InteriorAlaska.LOWERQUARRY","presence"
776.165184876284,881.896598723431,725.435808348912,1464.77405843525,-2716.9116781845,-2579.74444618963,9.22210286325233,-2.43665516847961,"nonveg_998","absence"
2638.88895296356,3394.23433709655,1878.83703275264,5725.7565111594,-6562.32637604759,-6816.78270542544,-110.961574804722,16.9829560710954,"Finland.Javrresduottar.EC-Spring","presence"
2450.48754254019,3429.62021695902,1789.94244659826,5091.99012379287,-5422.16146837606,-5780.72584962091,-5.75428552476554,-2.98633549493107,"USA.Kougaork.LowShrub","presence"
1118.22459183117,893.847556431492,1740.83876460978,2874.30409979937,-3459.53372323291,-3146.91288823461,80.0277807393732,-5.68684571735274,"nonveg_764","absence"
787.874242194459,452.772187843737,477.872551594186,1132.02588879977,-1642.53347224082,-1709.03700457713,40.4975146200538,11.0666890246202,"nonveg_953","absence"
2411.1227132168,3884.32015215491,1740.15163323697,5089.67071135365,-5750.15359919168,-6817.67948839642,-85.1076492302972,6.24847741128018,"Russia.Kolyma.WT1","presence"
188.831172783704,-70.9111115335008,92.0434380528121,-1079.7897392738,4545.28147698959,2676.95689934699,15.5456837369123,-23.6125113516919,"nonveg_1720","absence"
