"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_blue_endSnowfree","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","spectral_NDWI_changeSSES","spectral_SWIR1_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2315.04884760511,3311.95360509508,3797.13509440028,1866.25205177289,7778.00307320959,5012.65132466217,-6618.56198247102,-5698.39619718813,390.562962710078,1,1885.78136136861,-6081.67460793103,-8.45943515168783,-14.9519958054444,"USA.InteriorAlaska.17","presence",0,1,0,0,0
3512.94727690885,3861.74553934656,3962.90485426653,2493.30909725953,6876.23571380932,4331.07247259594,-5929.73683327279,-5971.41897021378,369.928138347146,0,1534.6464550755,-5704.04815564908,-41.7195674237504,-16.3663112050766,"Sweden.Abisko.VJ-BirchShrub","presence",0,0,0,1,0
50.6697422618041,147.507626830933,457.356946532664,95.9148272072481,780.393724197806,150.238609869602,-1086.10874413392,-1403.39460122163,881.553837676235,0,406.68720427086,-1148.24522606926,-10.3972990409729,-12.8242306065669,"nonveg_976","absence",1,0,0,0,0
2589.93388714473,2896.26676897937,3393.76824332042,1667.38295426342,5814.87577768115,3199.9235010968,-4830.19997748246,-6032.01354736166,517.862022461004,0,1988.66107862417,-5881.99861339527,26.6193139212636,26.8117841919757,"Russia.Yamal.Nadym-2-IH","presence",0,1,0,0,0
2700.01020679399,3065.27486172829,3275.68324401396,2572.06425169678,5153.95939154848,4444.0122718562,-5001.32598630365,-5101.70672748905,783.664211427775,0,1816.97348713645,-3371.27258979969,-81.1897692840762,-17.6867458692075,"Russia.Tazovsky.Unburned28","presence",0,0,0,1,0
50.6697422618041,147.507626830933,457.356946532664,95.9148272072481,780.393724197806,150.238609869602,-1086.10874413392,-1403.39460122163,881.553837676235,0,406.68720427086,-1148.24522606926,-10.3972990409729,-12.8242306065669,"nonveg_976","absence",1,0,0,0,0
2616.17837074765,3411.98213950478,3915.69082486839,2722.40059459156,6452.82451139518,4808.09507242226,-5620.94684050062,-6363.47449104534,486.01159799053,0,1152.72851026326,-6138.41529771176,-37.0008873867476,1.60625990943855,"USA.NorthSlope.HappyValley-C19","presence",0,0,1,0,0
2002.33547086859,2955.91384134815,3419.55364632922,1681.19341382077,6031.62768509781,3237.33147728745,-5181.47421736887,-5651.72527896242,512.93807153756,0,1505.39417022833,-5261.48650600219,-27.375917966902,-31.2978072250172,"USA.NorthSlope.Oumalik1","presence",0,0,1,0,0
298.382046969194,812.056375500936,392.722031075347,318.141587740637,310.430233233625,-226.860872142739,-769.549721744864,-1403.94840846187,604.076872404687,0,997.892663289851,-1492.65570260839,22.7316107783948,-26.4911100888374,"nonveg_700","absence",0,0,1,0,0
382.426368734392,438.755035598928,43.852864125965,975.751542636356,-110.883202249314,1477.66751998766,-1735.3312949917,-2430.46938029554,1104.55732682059,0,931.898678510391,-2240.82590047874,-22.0354603266492,-51.5688322595804,"nonveg_801","absence",1,0,0,0,0
2580.81474603155,3044.07237724321,3253.714932404,1687.24195269367,5793.02471647035,3054.29698392786,-4913.95307276322,-5541.80345340258,524.17517798727,0,2227.57185140926,-5371.21301212929,-24.7044810207885,-29.459605214098,"Canada.BonifaceRiver.LSA6","presence",0,1,0,0,0
1216.93289355448,1222.84459628242,601.383454925649,612.657240053759,1863.7317616733,1485.64846272358,-2827.33349101159,-1905.68435234229,854.814770418532,0,734.106836956841,-2227.61545597306,-29.0363377132673,-2.96214340717252,"nonveg_575","absence",0,0,1,0,0
2236.1100867634,2779.74529394693,3309.13516316683,1930.9087804061,5100.16698752916,3280.67873781172,-4778.46822510293,-5504.30830357941,514.774818650476,0,1465.8182052611,-4939.20413885087,-26.5640562338035,-17.8959515700363,"Canada.Yukon.TOWYK","presence",0,0,0,1,0
2700.01020679399,3065.27486172829,3275.68324401396,2572.06425169678,5153.95939154848,4444.0122718562,-5001.32598630365,-5101.70672748905,783.664211427775,0,1816.97348713645,-3371.27258979969,-81.1897692840762,-17.6867458692075,"Russia.Tazovsky.Unburned28","presence",0,0,0,1,0
