"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
425.926893815472,291.153867501113,654.751745368771,1043.50385619963,1876.6763995473,1458.27546646367,-2795.48344661239,-2169.28604680855,-1555.22359713791,-2806.17749756678,-1475.9952660345,0,425.926893815472,598.135879308428,-2160.43317083203,"nonveg_816","absence"
478.388301534731,595.717525249333,332.766643329265,1084.44741688907,1606.87375727551,772.05651919834,-1758.73358265971,-1670.69292588157,-1902.03590613922,-2351.45234887784,-1503.65746348038,0,595.717525249333,422.950048431414,-1837.31444540775,"nonveg_1968","absence"
106.676499725747,44.6858823142239,-249.291550753602,428.347424297816,896.497082229989,56.0753317275114,-1683.26001333542,-1481.02023406629,-1101.76012182887,-1575.80557331846,-1889.24308031487,0,44.6858823142239,714.829106229497,-1546.21780457278,"nonveg_900","absence"
470.300885507997,828.010153068408,295.07711002288,678.613836442798,642.81158302215,208.157565317658,-81.5578513100031,98.3797519441315,-600.47636030784,-306.284202538426,502.586125748983,0,470.300885507997,583.778842277238,-77.4705072926309,"nonveg_921","absence"
2868.3109890319,3391.30885464415,1907.78207381424,5134.91403745023,5362.35490618775,3414.30650105368,-4757.07018311031,-5222.12903339911,-5911.65502018294,-5795.50389264549,-3291.85555371115,0,3310.08549853055,1611.9499974427,-5546.37179483834,"Canada.BonifaceRiver.LSA6","presence"
1113.48614167085,1232.79508549691,572.423444893312,2118.07263774509,2794.53354107237,889.692582458599,-2636.85847366063,-2800.56677793836,-2676.34233258061,-3379.45926747938,-1318.05867850958,0,1258.51243000122,525.568326797571,-2349.84399729104,"Canada.Ivujivik.TP12","presence"
1643.20461554139,2020.71853210966,1383.33465329823,3335.11929955571,4090.76964503267,2612.11008496378,-3879.75518987719,-4159.57232902689,-3880.85221957976,-4509.07458775467,-3122.9672414876,1,1980.75756375729,974.961386498459,-3851.91277579696,"Canada.ClearwaterLake.LS1","presence"
495.492154306496,-91.560296197984,778.617290961364,790.805450151678,1032.88393472453,1419.83741680524,-1402.17394759935,182.877043084533,-737.208091147658,-2041.65655492883,-600.026631744738,0,495.492154306496,870.177587159348,-919.637636467208,"nonveg_988","absence"
2448.34633625621,3117.94729066241,1378.48780118107,5317.77245655255,5776.48828580274,3622.43724348586,-5444.08918449041,-5604.96239299792,-6330.38707139662,-6101.89215927445,-4691.07702308203,0,2716.79862485544,1674.16958731905,-5461.66047927592,"Finland.Javrresduottar.EC-Betula","presence"
1343.6813012893,304.046583083434,457.667903763717,2147.94614603531,525.101957317002,630.798978094624,-770.097105371714,-461.5456343041,-2343.03028174716,-2417.96628634195,-1699.03716132265,0,457.667903763717,1039.63471820586,-1538.33529381752,"nonveg_583","absence"
1428.07388603184,2102.09099028066,1046.39840586703,3982.25990527007,4933.59307661624,3505.44687003083,-5337.54152648975,-5050.5166967681,-5528.91215192869,-5666.98857784277,-4501.93122750861,0,1318.34036772697,1240.05526073186,-5314.9382141533,"Canada.ChukotkaRiver.TH5","presence"
791.403997487796,944.197968989607,684.557688026398,1705.97563385457,1542.14131863431,1347.69390136346,-1046.96100293331,-1042.22452228894,-1664.00993244919,-1194.21209996725,-613.262796549161,0,791.403997487796,393.524649712941,-1112.13407083757,"nonveg_684","absence"
3246.22376669045,3655.44940100882,2710.47201172519,5505.86010994711,5855.2839552109,4804.06386980641,-5597.99457985097,-6259.94422160051,-6299.03448054145,-6221.06263105732,-4544.20546868057,0,3235.74729891356,1121.19196016417,-5935.86338850617,"Finland.Kevo.1","presence"
2280.96033253516,3113.74840259925,1978.91411558532,5153.14431489942,6339.21700901877,3268.75111323203,-5318.51727070207,-5844.07113567477,-6389.62899437698,-6783.85939319804,-3599.81555112325,0,2695.5974557332,1103.77519327772,-5654.23132584635,"Canada.DeceptionBay.BEGL1","presence"
104.912072310156,-179.1587947568,-85.4524577374374,1427.78512802182,1667.43720773172,1394.56304940858,-2829.96799007727,-2785.29913318172,-2707.95415811257,-3309.02250712232,-1866.99340796426,0,104.912072310156,444.889819049591,-2699.84743929163,"nonveg_719","absence"
1874.23589398135,2211.49488417571,1118.30416607531,3843.23885462319,4306.28276103785,2075.27929212758,-4729.50775671785,-4745.06008797463,-4528.0940106623,-4541.31707416455,-3205.17013732715,0,1796.56210099904,1192.50175241723,-4386.87936576898,"Russia.Yamal.OstrovBelyy-2","presence"
1492.09407526488,1525.54341413236,701.115723178779,2626.2912622395,2552.0364909809,1263.89500468898,-3063.46939394029,-2577.43664355664,-3310.11111612427,-3375.70682221744,-1888.72933676937,0,1329.95888324139,699.559671348917,-2701.15408823907,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
2520.43128990019,3513.94795893782,2248.82558061168,5512.86382996758,6500.12758384436,4693.40926420805,-5824.96922685743,-5819.28221195217,-6283.5216271456,-6561.95333711606,-5344.32314049281,1,3130.60273574723,1238.26361908503,-6082.31805464042,"Russia.Yamal.Nadym-1","presence"
2460.68112470618,3401.72429041677,1654.76005491399,5269.21231534831,6371.87963175812,3957.83889487836,-5662.15150767022,-6467.09232702739,-6470.09638909558,-6640.69248959911,-5172.94282297564,0,2869.9389192693,1861.12461730138,-5931.71393679228,"Norway.Javrresduottar.EC-Salix","presence"
429.20199770588,575.654628264366,339.69827287279,999.1246159744,1200.31277216821,386.729011049351,-893.783551651824,-377.157284632735,-1262.88616310675,-1310.7883906828,305.394704935557,0,389.458269557625,558.170768779767,-707.844137027709,"nonveg_1469","absence"
1948.02998931474,2499.06348984405,1015.45739759195,4218.84462858417,3957.25237410989,2255.93318030253,-4219.55857218166,-4487.2578669232,-5759.57411178244,-5323.46448309058,-3296.97879950264,0,1631.94575231892,980.77052945677,-4307.9837963376,"USA.NorthSlope.FranklinBluffs-C17","presence"
