"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_peakSummer","spectral_green_lateSummer","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NBR_changeSSES","spectral_NBR_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeSSES","spectral_SWIR1_changePSLS","spectral_blue_changePSLS","spectral_red_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
1273.24475141516,1632.79664877831,1198.30936227783,689.97610948131,1367.14094913881,3717.33918750491,2119.7807440545,2756.6995741617,2198.17194379621,1517.69012196816,2157.96933985278,-2359.82114246377,-2039.2830591288,-2714.1531485374,-3340.45903260856,-1399.3418819826,1843.73317809161,1196.84113787131,-0.000548839918337762,0,1273.24475141516,1232.29356421828,942.820539296995,-3.61139222014032,-21.6025422938462,36.2072738750393,-110.921424990168,141.271669105042,2157.96933985278,46.5439691971236,-2359.82114246377,-2370.61165294422,-36.9415100185065,-4.99245914088909,13.4444601390044,13.1040417594173,"nonveg_680","absence",0,0,1,0,0
3207.98581329273,3402.83532325345,3878.95427755506,4199.4674396538,2252.06741905779,2908.83647568197,5255.68093067029,5670.80082219241,6151.67894828198,6589.0007676194,3616.2739319879,-5587.94758358761,-5161.71972617702,-5949.95003165418,-6129.22927778843,-4328.847725322,3123.08841837009,752.461897134175,-0.000835127488244325,0,3371.08550478874,3508.02503213665,1351.0941013782,6.03442013170699,36.3758461654776,-13.9121386685949,-26.4732538679796,28.3751729178292,5608.50394199719,0.940143497063048,-5607.14697451669,-5217.91362354604,-84.2187326310586,-19.2018291624304,-10.0704309402966,-9.02252840388936,"Russia.Yamal.VaskinyDachi-1","presence",0,0,1,0,0
3554.72464315264,2022.32059600193,3240.87165361209,4100.3955475065,2050.68727600522,3756.26198210029,7301.71827515016,5787.82628671707,7433.53828734209,8263.84775147695,5253.76687739741,-6003.85016465761,-6000.02392326344,-5829.67636498956,-6221.38570939468,-5582.6807784185,2508.75056591242,531.536626255629,-0.00241755857132375,1,3220.92919885962,3011.59649553098,2326.0677150996,44.2601738861776,19.8027420323569,-26.4229372387981,64.2743458815268,-7.38734998118725,7042.24742389244,-29.8736322063983,-5937.67941597513,-5858.12903656873,-7.47747063395483,-8.60000652632248,-2.83748480259859,-2.0348782982923,"USA.InteriorAlaska.17","presence",0,1,0,0,0
861.010939652042,280.677449537767,-179.68836380077,1209.60040209147,-79.3261754494881,-3716.81359061079,1451.48766827857,753.440591405027,191.66859850596,1935.14363913058,208.641262273991,-1179.10291145223,-1724.90181898803,-2454.22835568371,-686.065443687249,-2312.00268872039,2183.69947105476,841.635079600534,-0.207187607884407,0,280.677449537767,418.454850406205,1389.28876589224,31.3445705033843,11.6196487479811,20.9257187881153,57.3203319545665,41.5381228084904,753.440591405027,25.5350905863212,-1724.90181898803,-1671.26024370632,37.7633259089385,-53.6296119324916,-27.1567391385804,-27.9274846567981,"nonveg_695","absence",0,0,0,1,0
356.894280289856,1114.41803638829,238.177167036834,584.93784212414,-266.88377309939,-2265.95259978639,800.557688193442,1750.73516091256,674.641359082008,1199.33498684431,-313.397098528373,-730.437070751481,131.113646699795,-1302.1544108913,-936.120819404281,-1013.03077693836,1035.59946146315,584.160740541382,0.103764846920967,0,356.894280289856,405.508710547946,1381.30180948768,20.7926017796415,7.35624393013821,41.7257556834027,14.5205489320649,57.6890576849502,800.557688193442,51.242561991931,-936.120819404281,-770.125886257125,9.41979020622919,-14.8186564619,-5.03465324995979,-6.14764403349359,"nonveg_932","absence",0,0,0,1,0
2178.07462399024,2002.54618652942,2167.41362227953,2354.63253187907,1303.8398286511,637.926164369988,4094.94124775576,3757.59208270707,4041.42296262238,4358.54366724646,2672.20372538569,-4376.00288864172,-4246.22758935105,-5096.40884640214,-5305.10622005181,-3655.7919500482,2186.5189988457,721.446409067114,0.0389875080436468,0,1855.40285744716,1946.76142788811,1228.0481428321,18.7497192359202,31.1221952468006,-11.0182185494885,6.86612708549185,16.3426412345074,3511.68070962512,-19.1608092192375,-5097.66684650251,-4920.29659724728,-62.1595398253455,-47.444431209431,-10.991879686401,-12.9763381383941,"Canada.BanksIsland.GreenCabin-C10","presence",1,0,0,0,0
2978.7701368151,3226.03249785387,3924.05020777687,4371.77092785573,1794.75138072349,2550.57033554269,5250.93923881066,5519.13787285766,6313.7646143832,6944.11546315198,3285.65036772687,-5552.26214724519,-6063.65093141336,-6290.59341814063,-6419.38872580885,-4020.51230525526,3145.99948133928,676.128839939947,0.00264745854117252,0,3375.93767464226,3397.36362276111,3311.81802914711,52.067528667006,34.1859471743816,-48.3338777927952,85.1143036065005,-61.6989304213887,5678.51965605656,-66.879274524928,-5721.04509370474,-5911.31606296695,-12.8320919396723,7.93959346513655,5.80497499418272,7.79005135861444,"USA.YukonKuskokwimDelta.15B2","presence",0,0,1,0,0
2418.06753048448,2190.69444947991,3157.9036058881,3033.8938947969,1788.41503629688,2921.62295505307,5190.68491979225,4997.68086714248,6446.98797157697,6216.9820794926,4164.18606217197,-5577.4420014864,-6239.69550497065,-5707.04732292703,-6215.449875353,-4419.86854266006,2155.93291981141,632.90491386987,0.00668902731267735,0,2337.20410430661,2554.30964431468,1311.88246181511,11.9969754518771,22.8051606124005,-78.7933538616593,2.44287281462608,-143.899782787944,4799.45544315439,-129.522294633441,-5852.39451100536,-5698.55016546085,-54.1786516091482,20.4738470665462,7.07757419147552,8.76219825743955,"Finland.Javrresduottar.A-Betula","presence",0,1,0,0,0
2051.57172677235,2102.37422860805,2453.92034250961,2607.64561649989,1660.26211382562,1275.87599610443,3845.97025748137,3944.86877155357,4558.15856211843,4862.6617100058,3009.48913446948,-4554.70675959207,-4718.13026684362,-4674.17255334078,-4632.10426442802,-3335.42812080495,2359.24065877264,802.771947027844,-0.0377863020532661,1,1771.50358887294,1836.17695272685,945.258740375908,9.39084375330112,7.54293440623187,-32.318086873663,1.11230969753698,-59.6604255017115,3381.57391193749,-57.5449133441135,-4158.32418150105,-3989.84635519314,-26.0577091050605,18.5104479716728,17.4833747699422,13.741881484192,"Canada.BonifaceRiver.LSA4","presence",0,1,0,0,0
2091.91422591827,2142.25964735369,2603.16644322929,2959.37006257991,1486.33783282027,628.485596875852,4976.39428529542,4932.65674260423,5794.58815761523,6445.14752938052,3723.33498024418,-5381.47291960891,-5776.53565844735,-6087.6683070474,-5882.51856142871,-4164.04422699793,2029.66877428902,473.842545520418,0.0544188823550939,0,2129.57983837196,2164.11534933063,556.068915295663,13.4290390657633,3.42153412501433,-4.04519842600549,30.5444027709649,19.8109482243624,5043.4083782871,-16.0429887123239,-5864.10576488575,-5591.6484723383,-38.8043735141354,-15.7656619749787,-4.18268460279704,-2.09314968313111,"Finland.Javrresduottar.EC-Hummock","presence",0,1,0,0,0
