"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_lateSummer","topo_slope","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
1780.06989184232,1456.74270971702,3945.51477391688,-4245.05964336697,1.74130713939667,1256.7138515406,574.525874592224,-4029.48074725156,"Canada.ChukotkaRiver.TPO5","presence"
381.769634568433,349.455185776132,1043.96188116166,-1802.34841688029,2.42607045173645,423.954455799439,501.942619051566,-1488.39454985313,"nonveg_922","absence"
183.672075518016,127.258702009828,1350.23122219823,-243.323321194013,1.25127553939819,240.273975713456,687.29213943607,-826.550453600458,"nonveg_806","absence"
487.364039315926,615.197024822677,641.338161042494,-1779.89445198327,0.287813544273376,475.20454238139,373.444504821446,-1720.99798138403,"nonveg_953","absence"
2294.28634075356,1966.26724329514,5321.45342643359,-5289.35137711539,6.29570726818509,2636.92359414133,1487.42637987735,-4772.1959675763,"Canada.Yukon.TOWYK","presence"
432.591749383013,515.933669597494,750.054834130943,-1010.77361939121,2.72493457794189,515.933669597494,225.66556693334,-1264.3526769355,"nonveg_768","absence"
812.038257823305,858.360813218275,2189.80442874905,-2193.89646342394,12.3717584609985,812.038257823305,752.209096751454,-2692.76832724297,"nonveg_758","absence"
3984.29638849766,3099.25290925524,8311.33841366543,-7436.80143309558,12.2089864730835,4147.23539233124,1783.57316734055,-7062.27551127054,"Finland.Kevo.9","presence"
-228.767292165806,-420.128121538388,904.830202730883,-2324.75463774582,22.3764839172363,-228.767292165806,1010.1751365544,-1747.75093035494,"nonveg_907","absence"
2401.23045218269,2085.76104978143,6987.88655322106,-5830.51556718199,0.223388397693634,2815.16515407492,1957.00110176156,-5497.29221352445,"Russia.Yamal.Nadym-1","presence"
3301.81621593171,2357.20095365676,5823.99136846855,-6397.84784882335,1.56989701227708,3267.06256487881,1114.21900310737,-6132.41507873037,"Russia.Tiksi.Bog","presence"
2383.36179649563,1654.83465965863,7184.75416796478,-6530.80974693055,5.82782729466756,2727.20433106037,2181.3327947183,-5446.84387676875,"Canada.DeceptionBay.BEGL1","presence"
