"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_blue_earlySummer","texture_NDVI_peakSummer","topo_eastness","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_annualRange","spectral_NDWI_changeESPS","spectral_NDWI_changePSLS","spectral_NIR_changeESPS","spectral_SWIR1_annualRange","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
1895.55295025847,2104.57033464715,2262.49626970199,2367.4188734671,1554.7568462407,3674.65272988508,4109.35331975932,4578.2955815798,2912.47131542577,-4275.92698990036,-3885.49646741613,-4344.79385603454,-4459.47304886645,-3124.66347785413,686.466048648099,138.364786637745,-0.0382153487039937,-1.67254309852918,1,2070.50771634857,2041.30502924952,919.309397755152,7.34713110352357,13.839801670011,-15.5236775776174,4045.30825592291,3983.99635146551,1839.45659775579,-29.5735753799417,-4194.21637900234,-4135.88720822535,1709.11955605385,-1.29068626390288,22.7781949660394,5.24145398960334,376.246428314573,"Canada.BonifaceRiver.LSA2","presence",0,1,0,0,0
981.024210200231,1097.71317093232,824.447561696518,1538.28000988575,824.817651425591,1566.59513519777,1831.32583426207,2418.55184766013,1358.22350566417,-2211.68732634691,-1766.99158690148,-2400.77429722379,-1224.79738992645,-2148.36736298597,1215.22768387528,519.824119410472,0.00663080858066678,0.204385504126549,0,981.024210200231,1053.25652082808,713.832448189235,6.24826235098561,21.4329153725201,24.8423281123453,1566.59513519777,1716.58022377296,1060.32834199596,38.4655489255834,-2148.36736298597,-1950.52359267692,1175.97690729734,37.957305246941,-117.597690729734,13.7019333218318,669.545031601767,"nonveg_863","absence",1,0,0,0,0
452.472710783936,490.132285412181,593.082026569429,492.289876256154,361.856313268125,1145.21600586978,1221.74020564493,1278.93661230911,662.462600921119,-1244.8471561592,-1769.1536677544,-1707.84665845247,-2065.77220161554,50.0319382181714,967.303337295504,89.0228136616079,-0.0314123593270779,2.37711191177368,0,512.930568762209,339.228305824075,1388.29513142582,-1.59505042065291,-7.62337382090255,-31.3065725225755,1259.06870670208,846.269703287884,1951.49418299599,-49.5793284844205,-1816.85705668132,-1386.70955781383,3978.04273365888,-28.4001351237488,-34.8904962265576,-8.32211759410788,1107.75623228193,"Canada.Ivujivik.RTP13","presence",0,0,1,0,0
459.80890734992,262.505511230623,566.310176321857,163.299844505289,177.977134007754,903.287998849228,613.650135409938,552.196878752615,564.1581649239,-1095.72888215596,-1304.37736266205,-987.527445042589,-1441.34851254574,-1404.90472375026,881.698710337209,217.751431710012,0.0202740374952555,-0.758910953998566,0,262.505511230623,325.980314683088,403.010331816568,35.2289716677708,-32.9454514271812,-12.6585277121347,613.650135409938,729.924628819186,464.133087407633,-16.7783262812629,-1304.37736266205,-1246.77738523132,453.821067503154,-38.4021811544209,19.7313507610067,-26.0176199413431,276.605928242773,"nonveg_900","absence",1,0,0,0,0
994.622423996813,1123.35879795089,1249.71973146118,1437.47284132006,772.080572638659,1977.29614879571,2231.30274301479,2883.41344899756,1236.66835442364,-2843.96834954332,-3005.75844669214,-3349.33996692306,-3119.55264127844,-1496.96009867352,891.451730316185,125.510040807809,-0.0702248099260031,-2.85111099481583,0,1149.32527098512,1206.04581527648,1244.17330488054,19.6470294544345,13.4338390665697,-33.546562564093,2342.02572216145,2315.77778120105,2932.71206465375,-82.3609550424527,-2210.49949862375,-2270.9710719097,1825.22503271561,-24.9839977929303,25.4324436842891,6.9971886862388,820.337580349934,"Canada.Ivujivik.TP12","presence",0,0,1,0,0
794.554399183497,-58.6033419696748,1192.68314741455,-173.806242920602,248.040341909678,1507.5694418971,-317.534400709247,216.295190952356,411.526041679232,-425.374884873531,-1135.53459497969,105.580348040391,-2021.42629981699,-302.734194558822,1116.59179889437,660.824609606595,-0.0916774719953537,23.57275390625,0,248.040341909678,400.573660723489,1366.48939033515,21.8605622909528,-38.7344256841639,-48.1264034378547,411.526041679232,772.975064212616,2364.55344795288,-90.9443633828031,-425.374884873531,-755.897925237729,2127.00664785738,-63.8420565977385,81.8079479945148,-21.3146118026573,769.567224342672,"nonveg_616","absence",0,0,1,0,0
68.9984407215575,-33.2985963785006,7.33048508135244,-1038.15409368515,-885.044982901316,-1589.97266575784,-1864.60626671765,-3087.65395431869,-2292.88077618934,3554.00710874852,4374.1924754834,4560.5696800308,3251.95400671558,2913.71912881673,730.221817863462,466.095003496357,-0.156451791524887,-11.6280612945557,0,-33.2985963785006,-376.033749432411,1107.1525344067,56.1202013895808,-61.5084741337058,-3.69355285998664,-1864.60626671765,-2128.59654109235,1497.68128856085,-5.15792947631071,3554.00710874852,3730.88847995901,1646.85055121407,-16.7807278907188,130.861567331521,-44.6333402309342,433.197506257295,"nonveg_1367","absence",1,0,0,0,0
884.665834729276,975.326669258921,1073.79978003308,1270.81750695246,587.379497816265,1891.10026190566,2304.74842231447,2639.87727613637,1265.80373898926,-2754.18959275256,-3123.16392359785,-3050.78036407218,-2852.63363237177,-1386.47230807256,803.908923774697,27.5347792882787,-0.0264334059320391,1.30301579833031,0,874.172718664,850.233627727934,1120.60704984187,11.0894081111654,18.4002510951997,22.4075645513301,2129.57453843824,1920.12911874146,1906.94095372877,31.835334271566,-2704.47313832538,-2515.10937308616,1488.09245537384,5.84878180656806,-107.202288695337,9.71044534671404,515.678101479998,"USA.NorthSlope.HoweIsland-C13","presence",1,0,0,0,0
76.6983369567493,9.92645048761096,449.197711590882,609.721519492523,577.881249995787,102.866011399142,36.7540092396764,872.499605853823,794.344240801862,-1840.05901665007,-2012.8983601494,-1481.6385073844,-1258.88077536285,-619.36650341101,1735.13153596251,-523.580494765376,0.00290045770816505,-0.096672385931015,0,449.197711590882,344.68505370471,599.795069004912,-20.0473165215615,20.5008916359913,-146.42375370109,645.803741810764,490.453521821053,835.745596614146,-203.016577523696,-1481.6385073844,-1442.56863259154,1393.53185673839,22.3530092802778,-74.2525773405166,14.4801782797174,571.801981500596,"nonveg_733","absence",1,0,0,0,0
532.545657004597,220.998641798806,154.093279969626,433.51030326915,609.613324153971,911.501552698663,553.588677697463,810.208349032124,773.961830005677,-339.841970495089,-1033.58770013585,-1018.77898244543,-689.83237561634,307.942194869836,1101.86495791963,287.233092819778,-0.247904986143112,-15.6846303939819,0,433.51030326915,390.15224123923,455.520044184344,-2.26669609262864,-2.9128045216308,2.90892877518173,773.961830005677,689.995019512959,510.786864567797,6.64669519854772,-689.83237561634,-554.819766764575,1341.52989500569,-10.2938354447427,-14.9521184922314,-6.54930634771405,481.580570583147,"nonveg_710","absence",0,0,1,0,0
