"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","spectral_green_endSnowfree","trees_presence","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
633.80711575635,817.441289327995,367.271630294098,927.880162918146,733.687965499781,-1329.05046809374,-1996.03264838775,-1311.80596821494,1992.88055135202,0,696.017632759274,560.608532624048,-4.99404248717158,-1329.05046809374,-1509.82008896647,"nonveg_894","absence"
-62.7758768738732,-105.362450853417,408.855486512176,1059.48627766849,-472.500568797353,-966.312328199023,-668.511567099722,-146.872870407198,269.013607345253,0,165.540573531205,1531.98684646584,17.0718621634783,-499.353111936231,-474.838052649839,"nonveg_1213","absence"
3301.99834014332,3399.74556961313,3939.37079685422,3918.28273548253,1340.06065770794,-6721.12987334256,-6307.17634712011,-2378.54502927211,547.079672048871,0,3029.73102075048,3489.32669400531,74.0354090453087,-6412.19518644784,-5412.88858943194,"Sweden.Abisko.KJ-MesicHeath","presence"
2756.24855449923,2819.33899705261,3124.34901293922,3343.80147562372,1800.15087246942,-5726.91398088353,-6175.45941813678,-5206.84762862241,624.613137146429,0,2882.71562947243,1860.0559203194,43.2888473350921,-6087.75788965921,-6236.48748476947,"Finland.Javrresduottar.A-Sphagnum","presence"
693.087172350496,584.596730389836,403.403251047308,1053.17914465158,552.701724976651,-803.05254695377,-1553.41338621284,244.69585426064,1169.10609042878,0,657.393604683173,649.775893604267,4.12898374628955,-827.562755247221,-771.065383047516,"nonveg_923","absence"
2974.31695547195,2932.67649330026,3258.96325547508,3570.13256798964,2316.75104688461,-5842.89009561237,-6355.204333028,-4776.62134423884,646.194015260546,0,3474.14426870732,1656.1885210086,20.5508124930421,-6342.10413225408,-6025.63539256749,"Sweden.Abisko.NF-BirchShrub","presence"
2603.57081162743,2524.25795535518,3020.34131363405,3378.58720821244,2062.25265100461,-5521.36239950289,-5758.11599519928,-3016.21162110933,698.223213419316,0,2629.70257697111,501.727425541138,11.9458910843128,-4694.30781234645,-4548.05707983824,"Canada.BonifaceRiver.LSA6","presence"
1881.86260674966,2128.29703761372,2536.75196408402,2278.67285948642,1625.04949337219,-4613.72333263901,-4612.31449071259,-2352.37693300891,883.721298808362,0,1892.08857280132,464.47080688196,2.42397630870977,-4652.91120171991,-3890.16160375817,"Canada.Ivujivik.TP13","presence"
2544.63753403909,2885.90637267004,3046.14411826353,3035.48377204557,1825.20117280401,-5605.79219253454,-5882.88967991257,-4345.97974528092,703.000917143305,0,2637.16542814604,1164.95123137855,9.73198777741322,-5691.26930559396,-5801.94116869563,"Russia.Tiksi.DryFen","presence"
298.160917683978,535.984199583213,92.5061423677156,493.915115468602,443.503798079956,-1389.11962776507,-2286.26377676124,-940.647029347125,815.799788361824,0,372.814034636693,443.478057215497,-6.92108954266561,-1750.26815185848,-1634.4113075704,"nonveg_684","absence"
3593.92822742899,2778.55857755995,3865.92482283024,4705.34223810561,1887.36881701632,-5985.0318456207,-6451.27924841534,-4928.68900222665,629.314468765616,0,3546.52649642632,2576.94886757946,50.9760333784524,-5881.40296925787,-5840.44276787587,"USA.Kougaork.GraminoidShrub","presence"
188.823368268852,188.511198936498,109.375553802756,155.99791823315,502.151196025796,-1348.40410303888,-1810.33051606353,84.6283118936922,1437.81157996418,0,228.97184705341,392.77564222304,-14.9203727503307,-1421.34806385108,-1266.06173559131,"nonveg_806","absence"
971.579719312202,1034.19847760749,354.113359575139,525.946210528385,559.35118710865,-953.493982957863,-1777.56225641426,-1155.66932281693,1119.18702014522,0,689.037790826374,680.085118032355,14.2147769725363,-1155.66932281693,-1314.88029369832,"nonveg_714","absence"
1851.38918660854,2112.16636941698,2058.29268608716,2340.56812554027,1410.84150130666,-4793.07736226172,-4946.31165062434,-3477.35174592042,677.980565131445,0,2066.77148505066,1343.9905918646,-4.44361261063933,-4442.71300581219,-4284.66240374438,"USA.NorthSlope.Atqasuk","presence"
401.149657868746,178.499671809651,897.811196923687,658.846805291593,760.766200716754,-289.076343958664,-159.897660308415,-626.604178432904,795.933671822619,0,579.414706522086,719.311525114036,-21.1539142851769,-626.604178432904,-671.13972232062,"nonveg_988","absence"
2567.22448413031,2939.52112182578,3264.6075470695,3406.53040932948,1452.89849144293,-5769.08424963775,-6126.32985845627,-3446.8490798415,649.755568622302,0,3018.43744533283,1668.14160113693,11.3692850195633,-5840.13887330787,-5398.36530267179,"Russia.Tiksi.FloodMeadow","presence"
852.718076850185,1201.06680098576,527.932894895247,1432.05695314228,699.337455173983,-1231.59845845353,-2117.09783504235,-1717.92238567437,2052.91544559939,0,942.622436209491,904.124058247035,4.94776198955489,-1717.92238567437,-1619.46198949311,"nonveg_902","absence"
-176.786712257263,686.922302750895,709.965569590755,504.318091558592,-500.401692113831,-418.205507903638,-695.920509473125,-1313.09427644118,791.597333711709,0,244.80351190583,1210.36726170459,10.7871659952189,-1039.71477307534,-976.627230977778,"nonveg_932","absence"
3036.03817184131,3200.73214601145,3642.36098797325,3883.47225830341,2098.8862539565,-5960.78770116478,-5838.76448668784,-4255.19422947991,657.96057665884,0,3714.8095031507,2034.77232178734,32.6713638991987,-6355.15080302017,-6058.39413634626,"Sweden.Abisko.NT-DryHeath","presence"
436.858610150968,741.016516794472,836.896360541502,1310.48005407937,451.769649166385,-1909.93777281575,-2071.28818122261,-1989.33196840594,1483.79919872375,0,755.40423814654,873.621443928407,-0.677774500700777,-1989.33196840594,-2003.64172474758,"nonveg_975","absence"
-382.186694820484,-100.834637858073,49.7010273551991,653.909988825807,-260.118338766043,-776.95327464345,-558.206133872436,648.800180561405,956.886428219024,0,-7.90573105271882,1036.09668364629,-4.35958414480147,-321.58793662067,-171.794727217076,"nonveg_1927","absence"
65.536437060207,-255.252520525854,-265.517021129901,318.386948465749,-512.069204396905,10000,8172.14748583985,6864.82232418602,389.055054467065,0,-129.783072105341,830.456152862654,41.2575458183651,7928.54861525145,8084.56064683409,"nonveg_1695","absence"
2441.89499142151,2624.40755533878,3182.48213381723,3359.94476875776,2093.60487446257,-5334.01980744667,-5443.68084206912,-4732.33828965968,800.457231224872,0,3004.29011075923,1230.15849146681,-9.10008290802498,-5004.23945552438,-5019.17758906036,"USA.YukonKuskokwimDelta.6","presence"
374.709472991122,-67.8369726864857,193.636938271944,566.326613192325,489.34789592511,-1775.06125422523,-1699.03509226401,-346.774469873507,472.344429718669,0,311.236789538803,634.163585878811,-2.8659605733497,-1572.412068243,-1350.78646393044,"nonveg_608","absence"
1721.6223013371,1103.43782157639,1647.19950926998,1541.17695163147,1020.7879240132,-4142.78649059353,-3932.0238411308,-3383.1281500588,668.245235909275,0,1526.4753120084,1051.7589457602,47.8072248072817,-4131.26029136875,-3975.06251765826,"Canada.BanksIsland.GreenCabin-C00","presence"
