"spectral_EVI2b_endSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","topo_slope","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
2092.03712490629,1624.36519834632,28.8211347897052,-1179.83411291066,14.9154071807861,0,2415.84153693605,-891.819348267946,"nonveg_608","absence"
1334.64173876951,2226.50520295219,-2820.51132054175,-3637.69236565233,4.77928537130355,0,1228.85293022729,-2164.42813237119,"Canada.Ivujivik.TP12","presence"
1930.7708249944,4617.7603461372,-4918.63813514514,-5627.83253995859,1.40715373754501,0,2009.43278518784,-4940.70718381762,"USA.NorthSlope.Sagwon-C15","presence"
2512.10876975685,5970.12674356012,-6122.27915853128,-6463.86632117856,2.42747497558594,0,1253.07814625054,-5973.2120364899,"Norway.Javrresduottar.EC-Betula","presence"
2951.02924717242,7124.26866946052,-6384.3963408583,-6390.95915918412,2.8545602162679,0,2844.04886577876,-5784.44054297709,"Sweden.Abisko.VJ-Wetland","presence"
1966.64462285172,5458.28877229702,-4793.13582918672,-5448.20580870811,2.02509793572955,0,3008.18136329897,-5108.95047804034,"USA.NorthSlope.Oumalik1","presence"
2079.97776219177,4448.08844812703,-4738.79824461052,-5182.47293487874,0.745348870754242,0,1254.46839472414,-4978.57500356914,"Canada.PayneLake.TD0","presence"
2723.53316453846,5976.74748207962,-5133.20608207011,-6040.35418148637,3.09379275639852,0,1062.37474191113,-5500.29432467489,"Canada.DeceptionBay.BEGL2","presence"
329.174173717955,1505.41530198494,-1833.98819058629,-974.324286004615,1.57385766506195,0,1116.0468797722,-1055.09506383895,"nonveg_568","absence"
304.043983892753,1105.9451908147,-1813.03925719529,-1902.75858598707,3.24181699752808,0,339.764965764817,-1650.62555295682,"nonveg_792","absence"
2470.10473992353,4736.58639087342,-5084.21978390714,-5300.44762338401,0.347720118694835,0,1142.31497037744,-4234.4721237807,"USA.NorthSlope.Barrow","absence"
1572.29523018576,1510.33901072518,-774.814569035392,-1233.50080868983,3.06557130813599,0,1805.61264187468,-1750.95013721946,"nonveg_624","absence"
3329.89778382347,6631.71137190065,-6039.86455049246,-6454.63641754795,2.7032479763031,0,1201.7956509648,-6193.0952863917,"Finland.Kevo.5","presence"
1328.01594838668,4621.60485137421,-5115.0940953199,-5008.84554223047,0.74075581630071,0,1857.7147771086,-4790.97049022896,"USA.NorthSlope.9","absence"
449.263192389975,1889.10257908972,-2707.37305752636,-2333.1751197933,12.6318216323853,0,352.860810188978,-2512.01937901167,"nonveg_986","absence"
474.231690778326,114.249324290951,-1507.98165805678,-2113.11876599611,2.23169207572937,0,588.008367013982,-1633.60311869358,"nonveg_876","absence"
925.655078206678,-15.6828119423579,-1635.76005613303,-3035.64394542638,26.8513469696045,0,1366.96188768286,-2183.11350846728,"nonveg_1309","absence"
454.214216323256,553.113059776963,-1534.09244001909,-2141.55847307104,7.42058801651001,0,566.63596554362,-1607.10098337964,"nonveg_535","absence"
679.455162094665,2204.99416924689,-2637.76235405361,-2838.79622792347,2.7245466709137,0,1168.25058233954,-2240.20892369685,"nonveg_612","absence"
1044.34294590012,2455.97267725154,-2493.01365351648,-2792.53008403784,7.18504291110569,0,824.311828213098,-2229.7250074892,"Canada.Ivujivik.TP10","presence"
2230.99802737939,6268.45513713149,-6109.05999917105,-6119.61880290578,2.39694466590881,0,1940.05327770481,-5623.42171543,"Norway.Javrresduottar.EC-Salix","presence"
2230.99802737939,6268.45513713149,-6109.05999917105,-6119.61880290578,2.39694466590881,0,1940.05327770481,-5623.42171543,"Norway.Javrresduottar.EC-Salix","presence"
152.948117689133,304.98352255729,-261.361374655091,-922.516541389325,19.1562118530273,0,321.752299102837,-503.43828562973,"nonveg_921","absence"
-265.326339210629,2045.5311592729,-2067.43274517506,220.81049959147,2.04955005645752,0,1596.09428579119,-694.760181512626,"nonveg_729","absence"
2455.31067664597,5528.8408625725,-5500.39042581213,-5984.72631258825,2.83822631835938,0,1222.17110463171,-5239.50001635218,"USA.NorthSlope.Sagwon-C19","presence"
688.418466002164,418.10874108897,-447.398616927992,-1874.00581137163,3.12220048904419,0,1171.77790562351,-1297.21187584061,"nonveg_958","absence"
2479.85434663326,5800.40704990221,-5435.13048759175,-5602.21172083172,1.76392314169142,0,1476.51517943557,-5204.9160807856,"Canada.ChukotkaRiver.TH1","presence"
3022.59660306633,6444.06923610948,-5910.25413049865,-6548.20224019541,3.73264516724481,0,1615.11220958625,-5814.23043172112,"Canada.PayneLake.TDA0","presence"
398.932159733434,1071.21469401777,-788.264176209924,-913.695537970748,28.9719467163086,0,574.410506146422,-904.89553251518,"nonveg_932","absence"
1233.49733754271,2565.20592486569,-2740.91775982,-2867.83410957112,1.5232081413269,0,1077.12392115997,-2472.78743918903,"USA.NorthSlope.HoweIsland-C13","presence"
1834.5817356518,4052.28272791968,-4079.05057777122,-4586.45699540571,2.43865742002215,0,1276.09163936494,-4227.47960029999,"Canada.BanksIsland.GreenCabin-C09","presence"
396.794405652862,715.382720763329,-671.577733129298,-1270.65696403414,19.6606674194336,0,607.284082349844,-1173.42610370862,"nonveg_682","absence"
295.387953848262,1379.05826595354,-1446.64491031848,-1219.43064178939,1.47925400733948,0,510.410914230658,-1046.75571219589,"nonveg_715","absence"
-30.4728178758602,-486.061621217049,1166.84246532326,-545.159470355506,32.0399475097656,0,899.167306047029,-4.88511756490494,"nonveg_1145","absence"
1339.57144075625,5600.78129755082,-4865.8137147508,-5816.01512333367,0.222558622558912,1,2059.12753282344,-5161.68468748879,"USA.InteriorAlaska.23","presence"
1145.75659073861,2618.01546763103,-3143.40694461868,-3740.94193596139,3.05511329174042,0,1191.79676459661,-3540.61705345512,"Canada.BanksIsland.GreenCabin-C08","presence"
2421.20841579812,5715.93434192166,-5960.67784710623,-6310.76760023352,4.06684494018555,0,1842.67467379218,-5498.14390262122,"USA.NorthSlope.HappyValley-C19","presence"
1721.29281153623,4139.49618528441,-4960.90843578101,-5671.46323132041,0.790813326835632,0,1329.35299289584,-4673.11518123959,"USA.YukonKuskokwimDelta.1","absence"
2465.3607010566,5779.76450613961,-5332.09289606673,-6155.19798802648,3.4374789595604,0,995.850975856468,-5798.43523056958,"Finland.Javrresduottar.EC-Salix","presence"
212.375380022052,1163.71581863417,-1795.51548133324,-1288.4334297621,14.6236114501953,0,936.362159661763,-1572.03914881765,"nonveg_700","absence"
264.543650765153,827.478752919857,-2013.84811936011,-2009.64627420859,13.9480972290039,0,519.759580902228,-1706.67264120793,"nonveg_984","absence"
1527.64992771476,5161.09867714488,-4989.17616799327,-5460.15553738232,5.85148700078329,0,1145.82504540573,-5436.1387169881,"Canada.ChukotkaRiver.TH5","presence"
2403.16362583334,6237.83730552111,-5603.28918116392,-6675.51921408858,2.09739465183682,0,2840.06084940447,-5674.59092561247,"Canada.LeRoyLake.TDA4","presence"
-495.936880957308,-184.92582523143,610.447728724553,612.027850578026,0.0454504862427712,0,899.114113752067,865.586579839069,"nonveg_1509","absence"
3394.78289825707,6920.11032697503,-6077.10634028886,-6813.7534089322,2.53379434347153,1,1906.82365348035,-6264.10311747612,"Sweden.Abisko.VJ-MesicHeath","presence"
3231.75756088174,6068.81985273772,-6262.0059532764,-6735.43312470041,0.486080683767796,0,2010.93483946101,-6063.86355973672,"USA.YukonKuskokwimDelta.72B3","presence"
3056.59112634505,6298.68105814483,-5679.64110298628,-6388.48481655065,6.21462841033936,0,5331.08367926992,-5284.81825151602,"USA.InteriorAlaska.BABBAGE","presence"
200.5037314437,700.021819626959,-527.451996386414,-755.345071184194,13.9842510223389,0,302.053050178095,-494.594107793395,"nonveg_842","absence"
2754.69342649121,6466.70466528885,-5268.08907695789,-5417.34006223591,1.16029638051987,0,606.640114258081,-5610.87043725368,"Russia.Tazovsky.Burned28","presence"
1108.25422079814,3502.12894355969,-4041.27277517419,-4735.23019308771,0.409284752607346,0,1074.71860290624,-3672.73107993365,"USA.NorthSlope.WestDock-C14","presence"
2478.99539598827,4751.2731885841,-5448.2587945265,-5497.28700174991,1.43036685056157,0,1710.09828835331,-5558.40793742596,"Russia.Tiksi.ShrubTundra","presence"
3022.59660306633,6444.06923610948,-5910.25413049865,-6548.20224019541,3.73264516724481,0,1615.11220958625,-5814.23043172112,"Canada.PayneLake.TDA0","presence"
1979.31750780711,5080.7300528815,-4474.94545159702,-5619.1644287794,6.51558132171631,0,2973.0421551341,-4853.71297964721,"Canada.KluaneLake.Outpost-MixedTundra","absence"
-247.173260058886,1114.611605144,-817.418797890135,-540.881347796059,30.6112365722656,0,10247.1732600589,-534.182087424833,"nonveg_1241","absence"
1764.86336467083,6515.52409778907,-6358.06526957493,-6082.81691537554,1.11997365951538,0,1588.82744916822,-5817.59212369142,"Canada.DaringLake.Tower4-LowShrub-2","presence"
387.274575494984,2326.32233559359,-3027.08073347651,-2503.86294314523,0.619643092155457,0,643.791202166374,-2518.91338581136,"nonveg_957","absence"
