"spectral_EVI2b_earlySummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","topo_slope","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
1197.57792465664,97.9533584800776,-230.245512896193,-103.968348320406,-3309.46258261938,6.91941452026367,2273.57296047161,-1577.66619862688,"nonveg_673","absence"
209.134746628963,667.638293075702,239.565004382735,-3074.5318446881,-1606.26540886471,6.23371505737305,1396.47286118698,-2148.88062116436,"nonveg_619","absence"
1245.22226027999,1755.29910442296,1264.60775779694,-3393.60492085833,-3777.00622088535,1.23239513238271,1108.23777877328,-3269.25000410032,"Russia.Tiksi.BareSoil","absence"
-118.173988817637,754.310323770299,5424.76468836754,419.565767591379,-2486.53650878189,36.3343353271484,5550.3690057429,-1343.8472508446,"nonveg_1353","absence"
-102.637660919589,656.228903919527,5.43328100404551,-1777.56006814043,-1074.38642252015,9.87068748474121,876.649388366766,-1313.97831182047,"nonveg_874","absence"
3491.9221563116,4538.9662161014,2470.9403095652,-5853.97802325864,-6346.61089852473,6.21278064901179,2270.27475568689,-6115.38742109471,"USA.SewardPeninsula.QuartzCreek2","presence"
1638.86490544303,2776.39852258142,1137.27173584375,-4586.11462868183,-4939.77225483207,0.345743691921234,1808.74412499643,-4375.95738360575,"USA.NorthSlope.FranklinBluffs-C17","presence"
487.224889839176,320.453397249691,43.7199643244945,-1415.97360144122,-1640.40858087135,0.59255313873291,873.564981183374,-1528.68521597436,"nonveg_955","absence"
2588.09148562574,4122.64594745048,1066.32236382482,-4669.85728917008,-5260.92874259193,8.98996829986571,3526.9698918081,-4851.50455206858,"Canada.KluaneLake.Quill-ShrubTundra","presence"
3629.35213312873,5262.26380786822,2057.75176139669,-6299.56672935154,-6764.04455516034,0.666959929466248,2804.9522151016,-6123.10678854909,"Norway.Javrresduottar.A-Hummock","presence"
3347.31739376651,4005.9850357473,2316.07303331265,-5566.43606883871,-6361.37159479791,3.57138351202011,1776.14512759203,-5820.3412829772,"USA.NorthSlope.HappyValley-C18","presence"
2912.68641809666,5003.25819756621,1590.70898288695,-6285.87264082454,-7479.72592472258,0.522195279598236,3534.98991422838,-6084.25331966278,"Finland.Kilpisjarvi.17","presence"
3424.94370368741,4106.30744082248,2515.62695173038,-6583.64770968757,-6950.68960301212,7.01353435516358,2565.53270537713,-6516.46228331909,"Finland.Kevo.7","presence"
377.015667085963,318.158320639965,541.196402622877,-1751.84184082848,-1762.70466165461,1.49644756317139,345.442548526904,-1736.93684385969,"nonveg_916","absence"
2292.5960842044,2703.98008085379,808.790172298829,-4360.11257322015,-5051.42513726702,0.368111550807953,1804.9358264176,-5073.29284064582,"USA.NorthSlope.16","presence"
291.85594829585,621.704204491945,462.267027024513,-1037.53558784718,-989.167082267459,21.7044715881348,748.331057932117,-960.258939117466,"nonveg_709","absence"
3353.17825597022,4113.99069018397,2269.57683908603,-6098.35072014632,-6651.11910450589,2.89864826202393,2265.3290218944,-6352.75376838569,"Sweden.Abisko.NF-BirchShrub","presence"
1134.84472752545,825.179723282567,472.888905013517,-1792.41332012211,-2379.07780821215,25.4662761688232,661.955822511929,-2095.40117479261,"nonveg_915","absence"
2255.07480501167,2617.71700147144,1230.66717336763,-5100.21961045568,-5926.71759977495,0.448746154705684,1413.01807126117,-5077.54157451316,"Russia.Kytalyk.T1","presence"
3462.93214841676,4654.21432146053,2520.67046496216,-6199.15337103588,-7017.98896902762,0.846246890723705,2423.50029697449,-6620.20704788336,"USA.YukonKuskokwimDelta.72B3","presence"
2365.14490397373,3109.35234970745,1194.45129696178,-4312.52543139728,-4540.78835279807,11.6419059753418,1313.08906733317,-4819.12762935969,"Canada.KluaneLake.Ruby-MixedTundra","presence"
3358.48330073064,3936.35095596065,2236.29315118196,-5794.65474476158,-6306.33519171038,6.34340516726176,1490.94178765412,-6032.3832898336,"Sweden.Abisko.NT-MesicHeath","presence"
306.007585770408,377.653652215798,35.3095524227226,-545.300543661638,-1258.91217349231,24.4778156280518,608.969118768669,-987.011822769927,"nonveg_761","absence"
1708.8006857882,2235.2881460524,879.405601451582,-3140.73355127857,-4034.22405871383,18.7420558929443,1817.04271402096,-3196.11608575994,"nonveg_1177","absence"
2766.42653639576,3288.29565895696,1508.83710246156,-4235.65761001175,-5513.95450552686,0.212965349356333,2195.45980874752,-4800.04415518021,"USA.InteriorAlaska.23","presence"
3496.89886619347,4122.41911459666,2408.9624379653,-4712.01248510148,-5996.3122853494,3.13988290230433,2072.74720551524,-5609.31802192547,"Sweden.Abisko.VJ-MesicHeath","presence"
2129.9256389438,2442.0685633511,1421.65261554772,-4833.38399336886,-5235.01352736722,11.6933036804199,2138.86932522902,-5495.23234397687,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
-636.867755499345,-29.7788886029769,-20.5953692224166,101.131901968668,603.732024626921,21.7526779174805,845.713347399756,514.874359494625,"nonveg_593","absence"
2862.40283007948,3837.28169183707,2394.75003894769,-5703.60809022682,-6011.96295835835,0.13522672901551,2515.56152597658,-5862.4484958607,"USA.YukonKuskokwimDelta.15B4","presence"
-118.125309515768,481.985028442921,430.461215930218,-548.65007973399,-1400.34369523853,5.54349136352539,894.812799362956,-582.342065597765,"nonveg_1213","absence"
2562.37533858854,3447.3561252667,2191.24521181401,-5397.73671360416,-5788.34176448035,0.534133434295654,1338.93517991182,-5733.4459894171,"USA.YukonKuskokwimDelta.UB6","presence"
1615.9168444788,2448.15884450858,528.067770572223,-4239.64639290183,-4983.66423163255,0.528860193490982,1810.12815300471,-4292.03869146418,"USA.NorthSlope.WestDock-C14","presence"
2766.42653639576,3288.29565895696,1508.83710246156,-4235.65761001175,-5513.95450552686,0.212965349356333,2195.45980874752,-4800.04415518021,"USA.InteriorAlaska.23","presence"
594.202263764763,198.682235728096,362.789713222389,-949.305273943158,-1635.37749015274,2.04955005645752,630.150519658853,-1076.42393859142,"nonveg_729","absence"
2300.12601102291,2664.5585140913,1460.36771675471,-4587.25771072576,-5293.46683691337,0.354522271619903,2521.15387981274,-4447.92118351791,"USA.NorthSlope.Barrow","presence"
3086.22695328107,4096.54719609507,1982.91947414666,-5630.91392131042,-6076.20452606214,1.19852760500378,2930.45070888838,-5640.71507139437,"USA.NorthSlope.Oumalik2","presence"
836.358984856616,213.65152541664,489.905409809282,-1051.31309974045,-1144.21389658258,13.1733207702637,622.707459439976,-1253.03675050747,"nonveg_757","absence"
244.55278330773,417.602900919996,305.691146756248,-1507.08604756172,-1995.22277137441,8.26713180541992,831.574966251238,-1456.23666810786,"nonveg_645","absence"
