"threshold","metric","estimator","estimate","outer_fold","model","mtry","max.depth","feat_thresh"
0.9,"mcc","binary",0.577350269189626,"24","rf",7,13,90
0.95,"mcc","binary",NA,"24","rf",7,13,90
1,"mcc","binary",NA,"24","rf",7,13,90
0,"sens","binary",1,"24","rf",7,13,90
0.05,"sens","binary",1,"24","rf",7,13,90
0.1,"sens","binary",1,"24","rf",7,13,90
0.15,"sens","binary",1,"24","rf",7,13,90
0.2,"sens","binary",1,"24","rf",7,13,90
0.25,"sens","binary",1,"24","rf",7,13,90
0.3,"sens","binary",1,"24","rf",7,13,90
0.35,"sens","binary",1,"24","rf",7,13,90
0.4,"sens","binary",1,"24","rf",7,13,90
0.45,"sens","binary",1,"24","rf",7,13,90
0.5,"sens","binary",1,"24","rf",7,13,90
0.55,"sens","binary",1,"24","rf",7,13,90
0.6,"sens","binary",1,"24","rf",7,13,90
0.65,"sens","binary",1,"24","rf",7,13,90
0.7,"sens","binary",1,"24","rf",7,13,90
0.75,"sens","binary",1,"24","rf",7,13,90
0.8,"sens","binary",1,"24","rf",7,13,90
0.85,"sens","binary",0.5,"24","rf",7,13,90
0.9,"sens","binary",0.5,"24","rf",7,13,90
0.95,"sens","binary",0,"24","rf",7,13,90
1,"sens","binary",0,"24","rf",7,13,90
0,"spec","binary",0,"24","rf",7,13,90
0.05,"spec","binary",1,"24","rf",7,13,90
0.1,"spec","binary",1,"24","rf",7,13,90
0.15,"spec","binary",1,"24","rf",7,13,90
0.2,"spec","binary",1,"24","rf",7,13,90
0.25,"spec","binary",1,"24","rf",7,13,90
0.3,"spec","binary",1,"24","rf",7,13,90
0.35,"spec","binary",1,"24","rf",7,13,90
0.4,"spec","binary",1,"24","rf",7,13,90
0.45,"spec","binary",1,"24","rf",7,13,90
0.5,"spec","binary",1,"24","rf",7,13,90
0.55,"spec","binary",1,"24","rf",7,13,90
0.6,"spec","binary",1,"24","rf",7,13,90
0.65,"spec","binary",1,"24","rf",7,13,90
0.7,"spec","binary",1,"24","rf",7,13,90
0.75,"spec","binary",1,"24","rf",7,13,90
0.8,"spec","binary",1,"24","rf",7,13,90
0.85,"spec","binary",1,"24","rf",7,13,90
0.9,"spec","binary",1,"24","rf",7,13,90
0.95,"spec","binary",1,"24","rf",7,13,90
1,"spec","binary",1,"24","rf",7,13,90
0,"precision","binary",0.5,"24","rf",7,13,90
0.05,"precision","binary",1,"24","rf",7,13,90
0.1,"precision","binary",1,"24","rf",7,13,90
0.15,"precision","binary",1,"24","rf",7,13,90
0.2,"precision","binary",1,"24","rf",7,13,90
0.25,"precision","binary",1,"24","rf",7,13,90
0.3,"precision","binary",1,"24","rf",7,13,90
0.35,"precision","binary",1,"24","rf",7,13,90
0.4,"precision","binary",1,"24","rf",7,13,90
0.45,"precision","binary",1,"24","rf",7,13,90
0.5,"precision","binary",1,"24","rf",7,13,90
0.55,"precision","binary",1,"24","rf",7,13,90
0.6,"precision","binary",1,"24","rf",7,13,90
0.65,"precision","binary",1,"24","rf",7,13,90
0.7,"precision","binary",1,"24","rf",7,13,90
0.75,"precision","binary",1,"24","rf",7,13,90
0.8,"precision","binary",1,"24","rf",7,13,90
0.85,"precision","binary",1,"24","rf",7,13,90
0.9,"precision","binary",1,"24","rf",7,13,90
0.95,"precision","binary",NA,"24","rf",7,13,90
1,"precision","binary",NA,"24","rf",7,13,90
0,"distance","binary",1,"24","rf",7,13,90
0.05,"distance","binary",0,"24","rf",7,13,90
0.1,"distance","binary",0,"24","rf",7,13,90
0.15,"distance","binary",0,"24","rf",7,13,90
0.2,"distance","binary",0,"24","rf",7,13,90
0.25,"distance","binary",0,"24","rf",7,13,90
0.3,"distance","binary",0,"24","rf",7,13,90
0.35,"distance","binary",0,"24","rf",7,13,90
0.4,"distance","binary",0,"24","rf",7,13,90
0.45,"distance","binary",0,"24","rf",7,13,90
0.5,"distance","binary",0,"24","rf",7,13,90
0.55,"distance","binary",0,"24","rf",7,13,90
0.6,"distance","binary",0,"24","rf",7,13,90
0.65,"distance","binary",0,"24","rf",7,13,90
0.7,"distance","binary",0,"24","rf",7,13,90
0.75,"distance","binary",0,"24","rf",7,13,90
0.8,"distance","binary",0,"24","rf",7,13,90
0.85,"distance","binary",0.25,"24","rf",7,13,90
0.9,"distance","binary",0.25,"24","rf",7,13,90
0.95,"distance","binary",1,"24","rf",7,13,90
1,"distance","binary",1,"24","rf",7,13,90
