"permafrost_index","trees_cover","trees_presence","spectral_EVI2b_annualRange","spectral_NDVI_annualMean","spectral_NDWI_annualRange","spectral_red_changeSSES","site_code","biomass_density_gm2","ecoregion_Canadian.Middle.Arctic.Tundra","ecoregion_Eastern.Canadian.Shield.taiga","ecoregion_Canadian.High.Arctic.tundra","ecoregion_Canadian.Low.Arctic.tundra","ecoregion_Watson.Highlands.taiga","ecoregion_Alaska.St..Elias.Range.tundra","ecoregion_Brooks.British.Range.tundra","ecoregion_Interior.Yukon.Alaska.alpine.tundra","ecoregion_Scandinavian.and.Russian.taiga","ecoregion_Scandinavian.Montane.Birch.forest.and.grasslands","ecoregion_Kalaallit.Nunaat.Arctic.steppe","ecoregion_Northeast.Siberian.coastal.tundra","ecoregion_Yamal.Gydan.tundra","ecoregion_Taimyr.Central.Siberian.tundra","ecoregion_West.Siberian.taiga","ecoregion_Arctic.foothills.tundra","ecoregion_Interior.Alaska.Yukon.lowland.taiga","ecoregion_Copper.Plateau.taiga","ecoregion_Beringia.upland.tundra","ecoregion_Arctic.coastal.tundra","ecoregion_Beringia.lowland.tundra","ecoregion_Kalaallit.Nunaat.High.Arctic.tundra","ecoregion_Pacific.Coastal.Mountain.icefields.and.tundra","ecoregion_Ogilvie.MacKenzie.alpine.tundra","ecoregion_Davis.Highlands.tundra","ecoregion_Northwest.Russian.Novaya.Zemlya.tundra","ecoregion_Ahklun.and.Kilbuck.Upland.Tundra","ecoregion_Chukchi.Peninsula.tundra","ecoregion_Torngat.Mountain.tundra","ecoregion_Russian.Arctic.desert","ecoregion_Cherskii.Kolyma.mountain.tundra","ecoregion_Russian.Bering.tundra","ecoregion_other"
0.853370070457459,25,1,1667.48132877962,5941.36855568414,1675.97817202644,1.80643379946229,"Russia.Tazovsky.Burned44",233.52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.104449324309826,4.16666666666667,0,2693.99599347351,6203.8563795434,1884.8353447325,8.09568542170715,"Sweden.Abisko.NF-DryHeath",153.391666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,736.97017000773,616.229464801822,838.419161284919,-8.46289130886809,"nonveg_1261",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.316349476575851,0,0,438.162338973322,2984.02085523947,1153.23239085104,-10.4964519536775,"nonveg_1069",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999980181455613,0,0,961.068431990015,2369.34496219451,1542.26573101705,-1.74888078644685,"Canada.BanksIsland.GreenCabin-C07",1.4575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999996304512024,0,0,852.707876023033,1186.82483511138,1229.24800080313,-14.3154959543562,"nonveg_643",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.883681356906891,1.08888888888889,1,1437.79135289376,5101.45127307,1782.57377451572,-14.6299048567667,"Canada.Yukon.SOUTHSTONEBOY",156.900222222222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.994602259000142,0,0,1332.81148743109,3616.25481084195,1465.14597449203,4.24508478073432,"USA.NorthSlope.Atqasuk",5.56111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.989387691020966,0,0,778.077176729154,1343.20815412442,2048.90139472166,-3.1132526717,"nonveg_680",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.849919676780701,21.5555555555556,1,2334.47687870672,5654.49641848993,2702.3142308279,-4.87542902212281,"Canada.LeRoyLake.TDA3",1266.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.977302405569288,0,0,1930.84520830178,4386.20304928889,2858.78207092316,-16.0215233219582,"USA.NorthSlope.Deadhorse-C15",17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.118911124765873,0,0,631.017197949744,3557.28642748643,1889.39949965909,-6.81574325856432,"Finland.Kevo.3",100.716,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248646378517151,0,0,1968.44577872689,6034.90965831056,1820.76061805315,-1.98523883377927,"Norway.Javrresduottar.A-Sphagnum",15.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.961778879165649,0,0,1219.26934243298,-1285.64975052018,7128.77494366278,-0.79063282385943,"nonveg_1720",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.693538367748261,0,0,1206.35385156113,-286.94037690474,2084.31715547946,-8.34015624929149,"nonveg_592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,0,0,1028.41113465123,627.034505021452,7556.3873502753,3.26481329591787,"nonveg_1794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.79019695520401,63.4444444444444,1,2418.73919232721,6232.16427091661,3257.38932831505,-7.22400290604102,"Canada.BonifaceRiver.AB8",1839.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999950230121613,0,0,1199.37323723693,1764.96173157193,2339.09045131104,-3.90353590681279,"nonveg_986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.892463326454163,0,0,650.620426860796,4882.49952730679,2083.70692263762,-3.34238644397716,"Canada.PayneLake.TD2",476.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950726509094238,0,0,644.371462207339,964.969646918304,1667.12404401289,-11.8529165859289,"nonveg_923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.99999988079071,0,0,1141.92177079251,844.849906316682,1163.96532123578,-15.0609857117931,"nonveg_535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
