ds_type,mod,ds_subset,axes,bias_adj,rmse,mae,bias,rsq,mape,rmspe
woody,xgb,all,log-log,uncorrected,2.12,1.49,0.89,0.56,NA,180
woody,xgb,presence,original,uncorrected,611.85,312.49,9.3,0.49,Inf,12035
woody,xgb,presence,log-log,uncorrected,1.84,1.26,0.35,0.23,Inf,180
woody,xgb_log,all,original,uncorrected,472.79,165.05,-67.43,0.49,Inf,6332
woody,xgb_log,all,log-log,uncorrected,1.35,0.8,0.11,0.78,Inf,162
woody,xgb_log,all,original,binned_smear,461.36,175.78,-26.55,0.51,Inf,8141
woody,xgb_log,all,log-log,binned_smear,537.27,223.53,223.43,0.34,Inf,18815
woody,xgb_log,presence,original,uncorrected,643.31,304.05,-126.4,0.43,Inf,6332
woody,xgb_log,presence,log-log,uncorrected,1.75,1.24,0.03,0.26,Inf,162
woody,xgb_log,presence,original,binned_smear,627.06,322.12,-51.72,0.44,Inf,8141
woody,xgb_log,presence,log-log,binned_smear,730.26,410.35,410.16,0.23,Inf,18815
woody,svmLinear,all,original,uncorrected,518.79,211.5,-28.22,0.37,NA,19167
woody,svmLinear,all,log-log,uncorrected,1.93,1.3,0.69,0.6,NA,180
woody,svmLinear,presence,original,uncorrected,704.31,377.95,-65.91,0.29,Inf,19167
woody,svmLinear,presence,log-log,uncorrected,1.89,1.34,0.31,0.17,Inf,180
woody,svmLinear_log,all,original,uncorrected,592.44,205.49,-95.26,0.21,Inf,22752
woody,svmLinear_log,all,log-log,uncorrected,1.46,0.96,0.04,0.73,Inf,183
woody,svmLinear_log,all,original,binned_smear,603.07,243.84,42.42,0.27,Inf,43764
woody,svmLinear_log,all,log-log,binned_smear,626.18,292.94,292.92,0.29,Inf,59132
woody,svmLinear_log,presence,original,uncorrected,806.13,378.64,-178.22,0.14,Inf,22752
woody,svmLinear_log,presence,log-log,uncorrected,1.85,1.33,-0.19,0.2,Inf,183
woody,svmLinear_log,presence,original,binned_smear,818.7,443.48,72.11,0.18,Inf,43764
woody,svmLinear_log,presence,log-log,binned_smear,850.08,534.02,533.98,0.09,Inf,59132
woody,svmPoly,all,original,uncorrected,531.61,213.56,-28.39,0.34,NA,17269
woody,svmPoly,all,log-log,uncorrected,1.96,1.32,0.72,0.6,NA,164
woody,svmPoly,presence,original,uncorrected,722.21,382.12,-65.86,0.25,NA,17269
woody,svmPoly,presence,log-log,uncorrected,1.9,1.32,0.26,0.23,NA,164
woody,svmPoly_log,all,original,uncorrected,589.95,211.99,-79.94,0.23,Inf,19565
woody,svmPoly_log,all,log-log,uncorrected,1.49,0.97,-0.05,0.72,Inf,179
woody,svmPoly_log,all,original,binned_smear,592.98,242.99,41.68,0.28,Inf,27431
woody,svmPoly_log,all,log-log,binned_smear,624.93,293.28,293.26,0.33,Inf,43915
woody,svmPoly_log,presence,original,uncorrected,802.74,390.81,-149.71,0.16,Inf,19565
woody,svmPoly_log,presence,log-log,uncorrected,1.92,1.44,-0.33,0.21,Inf,179
woody,svmPoly_log,presence,original,binned_smear,803.29,440.38,70.8,0.2,Inf,27431
woody,svmPoly_log,presence,log-log,binned_smear,846.58,532.71,532.67,0.13,Inf,43915
