dataset_id,citation_short,site_code,plot_code,coord_type,year,latitude,longitude
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.002,Finland.Kilpisjarvi.002.HA,plot,2016,69.056882,20.811565
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.002,Finland.Kilpisjarvi.002.HB,plot,2016,69.05692,20.811732
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.002,Finland.Kilpisjarvi.002.KA,plot,2016,69.056887,20.811563
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.002,Finland.Kilpisjarvi.002.KB,plot,2016,69.056928,20.811715
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.006,Finland.Kilpisjarvi.006.HA,plot,2016,69.05678,20.812821
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.006,Finland.Kilpisjarvi.006.HB,plot,2016,69.056743,20.812789
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.007,Finland.Kilpisjarvi.007.HA,plot,2016,69.056666,20.811258
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.007,Finland.Kilpisjarvi.007.HB,plot,2016,69.05666,20.811119
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.010,Finland.Kilpisjarvi.010.HA,plot,2016,69.056716,20.813021
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.010,Finland.Kilpisjarvi.010.HB,plot,2016,69.056736,20.813065
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.013,Finland.Kilpisjarvi.013.EA,plot,2016,69.056498,20.812028
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.013,Finland.Kilpisjarvi.013.EB,plot,2016,69.056487,20.812088
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.013,Finland.Kilpisjarvi.013.HA,plot,2016,69.056455,20.812078
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.013,Finland.Kilpisjarvi.013.HB,plot,2016,69.056435,20.81209
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.019,Finland.Kilpisjarvi.019.HA,plot,2016,69.056402,20.812905
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.019,Finland.Kilpisjarvi.019.HB,plot,2016,69.056351,20.812957
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.020,Finland.Kilpisjarvi.020.HA,plot,2016,69.056468,20.813636
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.020,Finland.Kilpisjarvi.020.HB,plot,2016,69.056451,20.813621
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.032,Finland.Kilpisjarvi.032.HA,plot,2016,69.056286,20.814338
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.032,Finland.Kilpisjarvi.032.HB,plot,2016,69.0563,20.814461
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.038,Finland.Kilpisjarvi.038.HA,plot,2016,69.056147,20.813369
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.038,Finland.Kilpisjarvi.038.HB,plot,2016,69.05614,20.813391
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.040,Finland.Kilpisjarvi.040.HA,plot,2016,69.056157,20.814643
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.040,Finland.Kilpisjarvi.040.HB,plot,2016,69.056153,20.814604
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.043,Finland.Kilpisjarvi.043.EA,plot,2016,69.055957,20.812067
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.043,Finland.Kilpisjarvi.043.HA,plot,2016,69.05594,20.812074
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.043,Finland.Kilpisjarvi.043.HB,plot,2016,69.055977,20.81201
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.043,Finland.Kilpisjarvi.043.KA,plot,2016,69.055999,20.812031
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.043,Finland.Kilpisjarvi.043.KB,plot,2016,69.056022,20.812056
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.045,Finland.Kilpisjarvi.045.EA,plot,2016,69.056107,20.813008
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.045,Finland.Kilpisjarvi.045.EB,plot,2016,69.056075,20.813162
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.045,Finland.Kilpisjarvi.045.HA,plot,2016,69.056078,20.813177
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.045,Finland.Kilpisjarvi.045.HB,plot,2016,69.056072,20.813046
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.045,Finland.Kilpisjarvi.045.KA,plot,2016,69.056035,20.813126
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.045,Finland.Kilpisjarvi.045.KB,plot,2016,69.056056,20.813134
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.047,Finland.Kilpisjarvi.047.EA,plot,2016,69.056121,20.814313
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.047,Finland.Kilpisjarvi.047.HA,plot,2016,69.056134,20.814278
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.047,Finland.Kilpisjarvi.047.HB,plot,2016,69.056116,20.814264
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.047,Finland.Kilpisjarvi.047.KA,plot,2016,69.056111,20.8143
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.047,Finland.Kilpisjarvi.047.KB,plot,2016,69.056152,20.814333
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.068,Finland.Kilpisjarvi.068.HA,plot,2016,69.055689,20.812388
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.068,Finland.Kilpisjarvi.068.HB,plot,2016,69.055748,20.812367
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.072,Finland.Kilpisjarvi.072.HA,plot,2016,69.055774,20.81488
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.072,Finland.Kilpisjarvi.072.HB,plot,2016,69.055756,20.8147
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.074,Finland.Kilpisjarvi.074.HA,plot,2016,69.055501,20.811486
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.074,Finland.Kilpisjarvi.074.HB,plot,2016,69.055481,20.811474
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.075,Finland.Kilpisjarvi.075.HA,plot,2016,69.055543,20.812063
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.075,Finland.Kilpisjarvi.075.HB,plot,2016,69.055565,20.811984
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.076,Finland.Kilpisjarvi.076.HA,plot,2016,69.055565,20.812772
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.076,Finland.Kilpisjarvi.076.HB,plot,2016,69.055584,20.812745
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.077,Finland.Kilpisjarvi.077.EA,plot,2016,69.055611,20.813158
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.077,Finland.Kilpisjarvi.077.EB,plot,2016,69.055619,20.813303
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.077,Finland.Kilpisjarvi.077.HA,plot,2016,69.055628,20.813161
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.077,Finland.Kilpisjarvi.077.HB,plot,2016,69.055613,20.813279
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.077,Finland.Kilpisjarvi.077.KA,plot,2016,69.055595,20.813159
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.077,Finland.Kilpisjarvi.077.KB,plot,2016,69.055604,20.813305
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.084,Finland.Kilpisjarvi.084.EA,plot,2016,69.055421,20.812385
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.084,Finland.Kilpisjarvi.084.EB,plot,2016,69.055486,20.812331
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.084,Finland.Kilpisjarvi.084.HA,plot,2016,69.055461,20.812375
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.084,Finland.Kilpisjarvi.084.HB,plot,2016,69.055484,20.812272
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.084,Finland.Kilpisjarvi.084.KA,plot,2016,69.055467,20.812349
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.084,Finland.Kilpisjarvi.084.KB,plot,2016,69.055482,20.812359
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.086,Finland.Kilpisjarvi.086.EA,plot,2016,69.055509,20.813751
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.086,Finland.Kilpisjarvi.086.EB,plot,2016,69.055506,20.813652
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.086,Finland.Kilpisjarvi.086.HA,plot,2016,69.055488,20.81373
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.086,Finland.Kilpisjarvi.086.HB,plot,2016,69.055487,20.813732
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.086,Finland.Kilpisjarvi.086.KA,plot,2016,69.05547,20.813563
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.086,Finland.Kilpisjarvi.086.KB,plot,2016,69.055487,20.813704
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.091,Finland.Kilpisjarvi.091.HA,plot,2016,69.055312,20.812086
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.091,Finland.Kilpisjarvi.091.HB,plot,2016,69.055301,20.812159
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.092,Finland.Kilpisjarvi.092.HA,plot,2016,69.05539,20.812804
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.092,Finland.Kilpisjarvi.092.HB,plot,2016,69.055382,20.81278
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1003,Finland.Kilpisjarvi.1003.A,plot,2017,69.054028,20.832624
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1009,Finland.Kilpisjarvi.1009.A,plot,2017,69.056715,20.831841
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1015,Finland.Kilpisjarvi.1015.A,plot,2017,69.059356,20.831064
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1021,Finland.Kilpisjarvi.1021.A,plot,2017,69.062024,20.830322
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1027,Finland.Kilpisjarvi.1027.A,plot,2017,69.064702,20.829493
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.103,Finland.Kilpisjarvi.103.A,plot,2017,69.061896,20.801492
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.103,Finland.Kilpisjarvi.103.B,plot,2018,69.061904,20.801447
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1033,Finland.Kilpisjarvi.1033.A,plot,2017,69.067405,20.828974
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1039,Finland.Kilpisjarvi.1039.A,plot,2017,69.070087,20.828002
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1043,Finland.Kilpisjarvi.1043.A,plot,2017,69.054033,20.83388
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1045,Finland.Kilpisjarvi.1045.A,plot,2017,69.054941,20.833489
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1045,Finland.Kilpisjarvi.1045.B,plot,2018,69.054949,20.833529
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1057,Finland.Kilpisjarvi.1057.A,plot,2017,69.060315,20.832195
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1063,Finland.Kilpisjarvi.1063.A,plot,2017,69.062929,20.831287
