dataset_id,citation_short,site_code,bioclim_zone,mat_degC,gdd_degC,map_mm,latitude,longitude
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1039,Oroarctic,-2.64999999999998,894.9,837.6,69.070087,20.828002
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1043,Oroarctic,-2.84999999999997,858.2,796.7,69.054033,20.83388
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1045,Oroarctic,-2.84999999999997,858.2,796.7,69.054945,20.833509
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1057,Oroarctic,-2.24999999999994,967.2,788.5,69.060315,20.832195
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1063,Oroarctic,-2.24999999999994,967.2,788.5,69.062949,20.831267
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1069,Oroarctic,-2.24999999999994,967.2,788.5,69.0656175,20.8305775
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.107,Oroarctic,-2.14999999999998,989.9,740.7,69.0551255,20.81212875
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1075,Oroarctic,-2.24999999999994,967.2,788.5,69.0683145,20.829727
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1087,Oroarctic,-2.84999999999997,858.2,796.7,69.055916,20.834579
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.109,Oroarctic,-1.74999999999994,1045.8,726,69.064537,20.8007005
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1093,Oroarctic,-2.14999999999998,989.9,740.7,69.058523,20.833814
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1099,Oroarctic,-2.24999999999994,967.2,788.5,69.061229,20.832881
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1105,Oroarctic,-2.24999999999994,967.2,788.5,69.063938,20.83235
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.111,Oroarctic,-2.14999999999998,989.9,740.7,69.055192,20.814799
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1111,Oroarctic,-2.24999999999994,967.2,788.5,69.066609,20.831503
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1117,Oroarctic,-2.64999999999998,894.9,837.6,69.069241,20.830789
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11201,Oroarctic,-2.14999999999998,989.9,740.7,69.051819,20.8207835
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11202,Oroarctic,-1.34999999999997,1142.6,689.2,69.050485,20.8210985
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11203,Oroarctic,-1.34999999999997,1142.6,689.2,69.0496345,20.823873
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11204,Oroarctic,-1.34999999999997,1142.6,689.2,69.048536,20.8248875
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11205,Oroarctic,-2.24999999999994,966.2,737.2,69.048222,20.8272305
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11206,Oroarctic,-2.24999999999994,966.2,737.2,69.048097,20.833127
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11207,Oroarctic,-2.84999999999997,858.2,796.7,69.049682,20.8313065
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11208,Oroarctic,-2.84999999999997,858.2,796.7,69.0508285,20.8290805
